#,Code,Description,Inner,UPC,Barcode,Cases,Units,Price,NettValue
1,FNSTP,Frozen Sticker Pad,12,24,5012128424458,1,24,0.58,13.92
2,SPSTP,Spiderman Sticker Pad,12,24,5012128423932,1,24,0.58,13.92
3,SPCRP,Spiderman Carry Pack,10,20,5012128424007,1,20,1.1,22
4,FNBUP,Frozen Busy Pack,12,24,5012128424519,1,24,0.9,21.6
5,CBR/3,Colouring- Large Chalk Board&6 Chalk,,12,5012128413285,3,36,1.1,39.6
6,VIPN,Stat-Vintage 3 Ballpoint Pens In Box,12,24,5012128416446,1,24,0.48,11.52
7,WOGF,Stat-Photo A5nbook X2design Dogfathr,12,24,5012128414671,1,24,0.54,12.96
8,SCOW,Stat-Font Design 5 Balpoint Pens,12,24,5012128415630,1,24,0.48,11.52
9,SLNB,Stat-Slogans A5 Notebook 80sh 70gsm,,24,5012128415432,1,24,0.54,12.96
10,SLPC,Stat- Slogan Retangle Pencil Case,12,24,5012128414725,1,24,0.5,12
11,PSPQ,Glitter Princess Stat Set,12,24,5012128415487,1,24,0.52,12.48
12,QWAU/1,Stat-A5 Tribal&Stripe Notebk 80shs,,24,5012128384899,1,24,1,24
13,WRK/3,"Stat Jotter Block, White, 700 Sheets",12,36,5012128087219,1,36,0.48,17.28
14,KKG/2,Stat Copier Paper - 90 Sheet - 70gsm,,32,5012128087370,2,64,0.51,32.64
15,VTR/3,Stat Laminating Pouches Pack Of 18,12,24,5012128091018,1,24,1.07,25.68
16,LCO/4,"Stat,6x4' Photo Paper,Gloss,36 Sheet",24,48,5012128136467,1,48,0.48,23.04
17,LNO/4,"Stat,A4 Photo Paper,Gloss,9 Sheet",24,48,5012128136450,1,48,0.48,23.04
18,LOM/4,"Stat,A4 Photo Paper,Matt,9 Sheet",24,48,5012128136481,1,48,0.48,23.04
19,XGQ/3,Stat A4 Display Book 40 X Pocket Cdu,12,24,5012128117213,1,24,0.72,17.28
20,EVA/1,"Stat Foolscap Clipboard, 4 X Colours",,36,5012128465215,1,36,0.5,18
21,EGP/3,Stat 10 Pocket Expanding File,12,24,5012128018305,1,24,1.1,26.4
22,EXP/1,Stat 6 Pocket Expanding File,,30,5012128052347,1,30,0.57,17.1
23,EXGO/1,"Stat Box File, Elastic Corners",,24,5012128360435,1,24,0.65,15.6
24,LTT/1,"Stat 2 X Letter Tray, 2 X Colours",,12,5012128572005,1,12,1.99,23.88
25,DOCC/5,Stat 5xdocument Wallet,24,48,5012128270444,1,48,0.48,23.04
26,RAO/3,"Stat Lever Arch, 4 X Mixed Colours",,24,5012128087417,1,24,0.85,20.4
27,UGO/6,"Stat A5 Ruled Notepad, 170 Sheet",10,20,5012128082887,1,20,0.52,10.4
28,UGC/3,"Stat 4 X Chunky Jotters, 40 Sheets",24,48,5012128082764,1,48,0.45,21.6
29,STNM/1,Stat 10 X Mini Memo Pads 50 Sheet,12,24,5012128370274,1,24,0.46,11.04
30,AAIA,Stat- 60 Sh Combination Pad,12,24,5012128415913,1,24,0.52,12.48
31,PFEN/4,Stat Pens - 4 Soft Grip Pens,24,48,5012128233593,1,48,0.5,24
32,LAUN/3,Stat Pens- 2 Laundry Pen With Labels,12,24,5012128323744,1,24,0.46,11.04
33,WHI/1,Stat Pens-4 White Board Markers,,36,5012128123443,1,36,0.48,17.28
34,BQV/2,Stat- Bingo Marker 40ml In Cdu,24,48,5012128064333,1,48,0.24,11.52
35,MGU/4,Stat Pens-8pearl/Met Gel Pens,24,48,5012128082146,1,48,0.48,23.04
