Line,Code,Description,Ordered,OrderedOuter,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
1,TICO,"ACC,10 SHEETS TISSUE PAPER CONTEMP",48,1,0.28,13.44,0.0092,2.24,5012128430770,5024004714904,48,24,0,2.69
2,TIRP,"ACC,10 SHEETS TISSUE PAPER TRAD",48,1,0.28,13.44,0.0092,2.24,5012128430787,5024004714928,48,24,0,2.69
3,TIMT,"ACC,5 SHEETS TISSUE PAPER GOLD/SILV",48,1,0.24,11.52,0.0058,1.52,5012128438677,5024004725122,48,24,0,2.3
4,CTBN,"XPARTY, XMAS BANNER/BUNTING CONTEMP",24,1,0.35,8.4,0.0093,2.16,5012128440397,5024004728260,24,0,0.01,1.68
5,CTNA,"XPARTY, 25 NAPKINS CONTEMP",48,2,0.39,18.72,0.0354,5.36,5012128440373,5024004728222,24,0,0.03,3.74
6,TQLA,"XPARTY, 8X9"" PLATES TRAD",24,1,0.31,7.44,0.0151,3.3,5012128440335,5024004728147,24,0,0.01,1.49
7,CTTC,"XPARTY, TABLE COVER CONTEMP",48,2,0.39,18.72,0.0094,4.4,5012128440380,5024004728246,24,0,0,3.74
8,KPTC,"XPARTY, TABLE COVER KIDS",48,2,0.39,18.72,0.0094,4.4,5012128433863,5024004718643,24,0,0.01,3.74
9,TQTC,"XPARTY, TABLE COVER TRAD",48,2,0.39,18.72,0.0094,4.4,5012128440359,5024004728185,24,0,0,3.74
10,TRCC,"TAGS, 50 CUTE",48,2,0.4,19.2,0.0272,6.84,5012128435447,5024004720769,24,0,0.02,3.84
11,TRTR,"TAGS, 50 TRAD",48,2,0.4,19.2,0.0272,6.84,5012128435430,5024004720745,24,0,0.02,3.84
12,WFWW,"WRAP, 12 PAPER SHEETS 6 DES CDU",500,20,0.39,195,0.2964,108.4,5012128440328,5024004728123,25,0,0.22,39
13,WNVW,"WRAP, 3M EXTRA WIDE KIDS 3 DES(FSDU)",120,3,0.4,48,0.1932,26.88,5012213343053,5012213343060,40,0,0.17,9.6
14,TCTD,"TAGS,20 SELF AD - ELEGANT TRAD",50,2,0.17,8.5,0.0036,1.2,5012213344296,5012213344388,25,0,0,1.7
15,TCLA,"TAGS,20 SELF AD - GOLDEN CLASSICS",50,2,0.19,9.5,0.0036,1.2,5012213344319,5012213344401,25,0,0,1.9
16,TCOP,"TAGS,20 SELF AD - OPULENT",25,1,0.17,4.25,0.0018,0.6,5012213344326,5012213344418,25,0,0,0.85
17,TCBE,"TAGS,20 SELF AD - CUTE BEARS",25,1,0.19,4.75,0.0017,0.62,5012213344371,5012213344463,25,0,0,0.95
18,TCCH,"TAGS,20 SELF AD- NOVELTY KIDS",25,1,0.17,4.25,0.0017,0.62,5012213344302,5012213344395,25,0,0,0.85
19,TCSA,"TAGS,20 SELF AD - SANTA & FRIEND",50,2,0.17,8.5,0.0035,1.24,5012213344333,5012213344425,25,0,0,1.7
20,PRBR,"CARDS, 12 ROBINS (CDU)",24,1,0.41,9.84,0.0161,3.88,5012128433405,5024004718025,24,0,0.01,1.97
21,KCIR,"CARDS,32 SCHOOL PK CUTE CHARACT(CDU)",24,1,0.36,8.64,0.02,4.3,5012128432774,5024004717349,24,0,0.01,1.73
22,PTRR,"CARDS, 12 TREE & WREATH (CDU)",24,1,0.4,9.6,0.0161,3.88,5012128433382,5024004717981,24,0,0.01,1.92
23,PCHS,"CARDS, 12 CHURCH SCENE (CDU)",24,1,0.4,9.6,0.0161,3.88,5012128433481,5024004718100,24,0,0.01,1.92
24,MCTY,"CARDS, MONEY WALLETS CUTE 4 DES(CDU)",320,2,0.04,12.8,0.0334,6.88,5012128436031,5024004721780,160,80,0.03,2.56
25,MMOR,"CARDS,MONEY WALLETS CONT - 4 DES CDU",160,1,0.13,20.8,0.0165,3.24,5012128447884,5024004738139,160,80,0.01,4.16
26,EPIK,"CARDS,20 COMPENDIUM HUMOUR 4 DES CDU",24,1,0.47,11.28,0.0093,3.5,5012128447860,5024004738115,24,0,0,2.26
27,EBBE,"CARDS, 20 COMPENDIUM CUTE 4 DES(CDU)",24,1,0.47,11.28,0.0093,3.5,5012128447846,5024004738078,24,0,0,2.26
28,FPJY,"CARDS, 12 PHOTOGRAPHIC PUPPY (CDU)",48,2,0.47,22.56,0.0313,8.72,5012128447235,5024004737132,24,0,0.03,4.51
29,FSRT,"CARDS, 12 HEART & STAR (CDU)",48,2,0.47,22.56,0.0313,8.72,5012128447129,5024004736975,24,0,0.03,4.51
30,FPRO,"CARDS, 12 TRADITIONAL ROBINS (CDU)",48,2,0.47,22.56,0.0313,8.68,5012128459917,5024004755426,24,0,0.03,4.51
31,FWOD,"CARDS, 12 WOODLAND SCENE (CDU)",48,2,0.47,22.56,0.0313,8.72,5012128447242,5024004737156,24,0,0.02,4.51
32,FBRD,"CARDS, 12 PHOTOGRAPHIC ROBINS (CDU)",96,4,0.47,45.12,0.0626,17.36,5012128446795,5024004736494,24,0,0.05,9.02
33,FWRT,"CARDS, 12 PHOTOGRAPHIC WREATH (CDU)",48,2,0.47,22.56,0.0313,8.72,5012128447174,5024004737071,24,0,0.02,4.51
34,FCTS,"CARDS, 12 CUTE KRAFT SANTA (CDU)",72,3,0.47,33.84,0.047,13.02,5012128459931,5024004755464,24,0,0.05,6.77
35,FGOD,"CARDS, 12 RELIGIOUS MARY/JOSEPH (CDU",48,2,0.47,22.56,0.0313,8.68,5012128447259,5024004737170,24,0,0.03,4.51
36,FBIR,"CARDS, 12 PHOTOGRAPHIC FOLIAGE (CDU)",48,2,0.47,22.56,0.0313,8.72,5012128348150,5024004556696,24,0,0.03,4.51
37,FPVL,"CARDS, 12 PHOTO WINTER SCENE (CDU)",48,2,0.47,22.56,0.0313,8.68,5012128447150,5024004737033,24,0,0.03,4.51
38,XSTC,"XACT, STICKER & SCENE BOOK",24,1,0.57,13.68,0.0068,4.88,5012128451683,5024004744895,24,12,0,2.74
39,XPNL,"XACT, 6PK PENCILS & NOVELTY ERAS",48,1,0.52,24.96,0.0392,8.92,5012128463037,5024004760918,48,24,0.04,4.99
40,XFGR,"XACT, 6PK FESTIVE FIGURINES PYO",24,1,0.53,12.72,0.0267,5.16,5012128451942,5024004745236,24,0,0.02,2.54
41,GTSK,"SS, GIANT KRAFT PAPER SACK 2DESIGNS",48,1,0.95,45.6,0.0504,11.3,5012128476273,5024004783221,48,0,0.06,9.12
42,XAFTC406,"TS CARDS, 24 LUX POSTBOX WINTER",24,1,1.3,31.2,0.0381,9.38,5012213358842,5012213358927,24,0,0.05,6.24
43,XAFTC407,"TS CARDS, 24 LUX CHURCH SCENE",24,1,1.3,31.2,0.0381,9.38,5012213358859,5012213358934,24,0,0.05,6.24
44,XAFTC500,"TS CARDS, 20 LUX SLIM WHIM TEXT",24,1,1.3,31.2,0.0459,9.48,5012213358743,5012213358767,24,0,0.06,6.24
45,XAFTC602,"TS CARDS, 10 DELUXE GEESE",36,3,1.3,46.8,0.0638,13.74,5012213360241,5012213360302,12,0,0,9.36
46,XAFTC601,"TS CARDS, 10 DELUXE WREATH",36,3,1.3,46.8,0.0638,13.74,5012213360234,5012213360296,12,0,0,9.36
47,XAFTC1200,"TS CARDS, 18 MULTIVIEW PHOTO FOLIAGE",48,2,1,48,0.0693,10.68,5012213359108,5012213359160,24,0,0,9.6
48,XAFTC1205,"TS CARDS, 19 MULTIVIEW KRAFT ICON",48,2,1,48,0.0667,8.88,5012213359153,5012213359214,24,0,0,9.6
49,XAFTC1201,"TS CARDS, 18 MULTIVIEW WOODLAND",48,2,1,48,0.0673,10.88,5012213359115,5012213359177,24,0,0,9.6
50,SMGF,"SS, FELT GARLAND - 2 DESIGNS",48,1,0.49,23.52,0.0132,1.28,5012128476174,5024004783016,48,24,0.01,4.7
51,PERC,"PET SHOP, PET REINDEER CAPE HOODY",24,1,1.81,43.44,0.0305,2.08,5012128472008,5024004776285,24,0,0.03,8.69
52,TREH,SS SANTA HAT - CHRISTMAS TREE,24,1,1.02,24.48,0.0368,2.22,5012128468209,5024004769447,24,0,0.05,4.9
54,SJBS,"SS, JUTE SHOPPER BAG (MEDIUM)",24,1,0.91,21.84,0.0213,4.16,5012128471889,5024004776049,24,0,0.02,4.37
55,SHEA,"SS, STOCKING HESSIAN APPLIQUE CHRCTR",24,1,0.99,23.76,0.0144,1.44,5012128468254,5024004769546,24,0,0.01,4.75
56,TGTL,"TAGS, 36 GLITTER/FOIL 3CLRS",96,2,0.45,43.2,0.0271,4.4,5012128470318,5024004773550,48,24,0.02,8.64
57,TTRE/1,"TAGS, 12 FOILED - RED",50,2,0.33,16.5,0.0047,1.04,5012213344364,5012213344456,25,0,0,3.3
58,TTGD/1,"TAGS,12 FOILED - GOLD",50,2,0.33,16.5,0.0047,1.04,5012213344357,5012213344449,25,0,0,3.3
59,TTSV/1,"TAGS, 12 FOILED - SILVER",50,2,0.33,16.5,0.0047,1.04,5012213344340,5012213344432,25,0,0,3.3
60,TKRF,"TAGS, 20 KRAFT",48,1,0.44,21.12,0.0099,2,5012128466267,5024004766248,48,24,0,4.22
61,THCN,"TAGS, 24 HANDCRAFTED CONTEMPORY",48,1,0.48,23.04,0.0221,3.12,5012128466205,5024004766163,48,24,0.02,4.61
62,ACDS,"ACC, 9PC DRUM KRAFT/RAFFIA",24,1,0.49,11.76,0.038,2.2,5012128467097,5024004767542,24,0,0.04,2.35
63,ACDM,"ACC, 9PC DRUM SVR/WHITE/PEARL",24,1,0.49,11.76,0.038,2.2,5012128467103,5024004767566,24,0,0.03,2.35
64,ATWN,"ACC, 20M GIFT TWINE 3CLRS",36,1,0.49,17.64,0.0193,1.7,5012128470523,5024004773970,36,18,0.01,3.53
65,ACBR,"ACC, 6PK CURLING RIBBON 5MMX3M (CDU)",36,1,0.49,17.64,0.0176,2.4,5012128470516,5024004773956,36,18,0.02,3.53
66,WFFF,"WRAP, 2M FOIL FESTIVE FUN",100,2,0.45,45,0.1661,16.2,5012213357241,5012213357258,50,0,0.2,9
67,WFIC,"WRAP, 2M FOIL ELEGANT ICE",100,2,0.45,45,0.1661,15.24,5012213357227,5012213357234,50,0,0.2,9
68,WRPF,"WRAP, 2M FOIL MIXED PLAINS",100,2,0.45,45,0.1661,15.16,5012213357265,5012213357272,50,0,0.2,9
69,TLGG,"DECS,TINSEL 2M MATT GOLD (6PLY)",24,1,0.48,11.52,0.0273,1.24,5012128440779,5024004728789,24,0,0.02,2.3
70,TLSV,"DECS,TINSEL 2M MATT SILVER (6PLY)",24,1,0.48,11.52,0.0273,1.24,5012128440786,5024004728802,24,0,0.02,2.3
71,TLRD,"DECS,TINSEL 2M MATT RED (6PLY)",24,1,0.48,11.52,0.0273,1.24,5012128440793,5024004728826,24,0,0.02,2.3
72,FDGZ,"DECS,FOIL GARLD 20 X 270CM, 2 CLRS",96,4,0.48,46.08,0.0206,3.68,5012128438622,5024004725023,24,12,0.01,9.22
73,FDGG,"DECS,FOIL GARLAND 2.7M,2 CLRS",96,4,0.48,46.08,0.0223,4.8,5012128438639,5024004725047,24,12,0.01,9.22
74,FDGW,"DECS,FOIL GARLAND 2.7M,2 CLRS",96,4,0.48,46.08,0.0206,4.96,5012128438646,5024004725061,24,12,0.01,9.22
75,XAFTS2703,"TS CRACKER, 6X14"" DELUXE GOLD",6,1,7.6,45.6,0.0512,3.3,5012213358606,5012213358613,6,0,0,9.12
76,UAA17,"DIARIES, A4 PREMIUM W-D-T-P 3CLR",36,3,1.9,68.4,0.0758,34.2,5012128458897,5024004754368,12,6,0.06,13.68
77,UBK17,"DIARIES, A4 PREMIUM W-T-V 3CLRS",24,1,1.2,28.8,0.0436,12.5,5012128458903,5024004754382,24,6,0.02,5.76
78,CHSO17,"DIARIES, A6 D-T-P HESSIAN CDU",24,1,0.47,11.28,0.0097,5.02,5012128459016,5024004754603,24,12,0,2.26
79,CHDP17,"DIARIES, A6 D-T-P PUP/KIT 2DES CDU",24,1,0.47,11.28,0.0095,5,5012128459009,5024004754580,24,12,0,2.26
80,XAFTS2302,"TS CRACKER, 6X8"" MINI LUXURY SI",12,1,2.2,26.4,0.0308,2.46,5012213358422,5012213358439,12,0,0,5.28
