Line,Code,Description,SKU,Ordered1,Ordered,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
1,SOAO,"STAT, BLOK SOFT TAPE DISPENSER TAPE",,24,1,0.95,22.80,0.0120,6.56,5012128462795,05024004760475,24,12,0.01,4.56
2,BEAR,"STAT, RASCALS 6 MINI NOTEPADS",,24,1,0.50,12.00,0.0061,3.32,5012128462948,05024004760772,24,12,0.00,2.4
3,PFEN/4,"STAT,4 SOFT GRIP PENS",,48,1,0.50,24.00,0.0239,3.28,5012128233593,05024004300022,48,24,0.01,4.8
4,REFL,"STAT,8 FINELINERS",,24,1,0.50,12.00,0.0046,1.50,5012128434617,05024004719428,24,12,0.00,2.4
5,REWM,"STAT,4 WHITE WINDOW MARKERS",,24,1,0.50,12.00,0.0083,1.70,5012128434549,05024004719305,24,12,0.00,2.4
6,TDV/1,"STAT,TAPE DISPENSER",,144,6,0.60,86.40,0.2439,115.32,5012128052880,05024004052884,24,12,0.22,17.28
7,BUXT/1,"STAT,FOOLSCAP BOX FILE (3 COLS)",,12,1,1.62,19.44,0.0891,7.42,5012128360442,05024004584040,12,0,0.08,3.89
8,RAO/4,"STAT,LEVER ARCH (3 COLS)",,24,1,0.85,20.40,0.0762,10.22,5012128087417,05024004087411,24,0,0.08,4.08
9,BIND/4,"STAT,RINGBINDER (3 COL RED/BLUE/BLK)",,24,1,0.52,12.48,0.0311,6.52,5012128320378,05024004490273,24,0,0.03,2.5
10,EXGO/1,"STAT,BOX FILE, ELASTIC CORNERS",,24,1,0.66,15.84,0.0572,3.58,5012128360435,05024004584026,24,0,0.10,3.17
11,EGP/3,"STAT,10 POCKET EXPANDING FILE",,24,1,1.10,26.40,0.0826,6.76,5012128018305,05024004018309,24,12,0.06,5.28
12,EXP/2,"STAT,6 POCKET EXPANDING FILE",,30,1,0.65,19.50,0.0438,5.84,5012128052347,05024004052341,30,0,0.04,3.9
13,EXTP/2,"STAT,20 POCKET EXPANDING FILE",,12,1,2.00,24.00,0.0735,6.08,5012128360428,05024004584002,12,0,0.08,4.8
14,DOCC/5,"STAT,5 DOCUMENT WALLET",,48,1,0.48,23.04,0.0372,12.20,5012128270444,05024004373743,48,24,0.04,4.61
15,WIMA,"STAT, 4 COLOURED WINDOW MARKERS",,24,1,0.52,12.48,0.0081,1.18,5012128471797,05024004775868,24,12,0.00,2.5
