Line,Code,Description,Ordered,OrderedCase,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
51,FWOD,"CARDS, 12 WOODLAND SCENE (CDU)",48,2,0.38,18.24,0.0313,8.72,5012128447242,05024004737156,24,0,0.02,3.65
52,WWFF,"WRAP, 12 PAPER SHEETS 6DES CDU",200,8,0.42,84.00,0.1123,41.12,5012128463716,05024004761946,25,0,0.09,16.8
53,XBNKRB,"BAGS, KRAFT TEXT - FOIL / BOTTLE",48,1,0.30,14.40,0.0171,2.50,5012128492228,05024004812051,48,12,0.02,2.88
54,XBNKRM,"BAGS, KRAFT TEXT - FOIL / MEDIUM",48,1,0.30,14.40,0.0188,3.28,5012128492235,05024004812075,48,12,0.03,2.88
55,XBNKRL,"BAGS, KRAFT TEXT - FOIL / LARGE",48,1,0.49,23.52,0.0281,5.01,5012128492242,05024004812099,48,12,0.02,4.7
56,XBNKRX,"BAGS, KRAFT TEXT - FOIL / XL",48,1,0.56,26.88,0.0437,6.20,5012128492259,05024004812112,48,12,0.04,5.38
57,XBNHEB,"BAGS, HERITAGE MATT  / BOTTLE",48,1,0.30,14.40,0.0185,2.64,5012128492075,05024004811832,48,12,0.01,2.88
58,XBNHEM,"BAGS, HERTITAGE - MATT / MEDIUM",48,1,0.30,14.40,0.0188,3.28,5012128493775,05024004814352,48,12,0.01,2.88
60,XBNHEX,"BAGS, HERITAGE - MATT / XL",48,1,0.56,26.88,0.0437,6.20,5012128492099,05024004811870,48,12,0.04,5.38
61,XBGCHG,"BAGS, SANTA/PENGUIN - 2DES/GIANT SQU",48,1,0.59,28.32,0.0598,13.32,5012128491559,05024004811092,48,12,0.06,5.66
62,XBGBRG,"BAGS, BEARS - 2 DESIGN / GIANT SQUAR",48,1,0.59,28.32,0.0598,13.50,5012128491566,05024004811115,48,12,0.06,5.66
63,XBGICG,"BAGS, XMAS ICONS - 2 DES / GIANT SQU",48,1,0.59,28.32,0.0598,14.12,5012128491597,05024004811139,48,12,0.06,5.66
64,XBGSPG,"BAGS, SANTA/FRIENDS - 2DES/GIANT SQU",48,1,0.59,28.32,0.0598,13.52,5012128491535,05024004811054,48,12,0.06,5.66
65,XBNRBM,"BAGS, TRADITIONAL ROBIN GLITTER  MED",48,1,0.30,14.40,0.0191,3.24,5012128492020,05024004811733,48,12,0.02,2.88
66,XBNRBL,"BAGS, TRAD ROBIN  - GLITTER / LARGE",48,1,0.49,23.52,0.0281,4.98,5012128492037,05024004811757,48,12,0.02,4.7
67,XBNRBX,"BAGS, TRAD ROBIN - GLITTER / XL",48,1,0.56,26.88,0.0446,6.20,5012128492044,05024004811771,48,12,0.04,5.38
68,XBNSNB,"BAGS, PAINTED SNOWMAN - GLITTER /BTL",48,1,0.30,14.40,0.0168,2.56,5012128493454,05024004813836,48,12,0.01,2.88
