Line,Code,Description,Ordered,OrderedOut,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
1,GIPL,"STAT,WEEKLY PLANNER (CDU)",24,2,1.00,24.00,0.0134,6.10,5012128506161,05024004833537,12,0,0.01,4.8
2,GILP/1," STAT,SHOPPING LIST PAD",24,1,0.52,12.48,0.0071,4.12,5012128513374,05024004845615,24,0,0.00,2.5
3,GIFO,"STAT,ORGANISER-GIFTING",24,1,1.00,24.00,0.0118,5.46,5012128506208,05024004833599,24,12,0.01,4.8
4,GIWS,"STAT,WRITING SET (CDU)",24,2,1.00,24.00,0.0195,4.90,5012128506192,05024004833575,12,0,0.01,4.8
5,GIST,"STAT,STICKY NOTES COLLECTION",24,2,1.00,24.00,0.0117,4.60,5012128506178,05024004833551,12,0,0.01,4.8
6,GINB/1,"STAT,3PKT N'BOOKS",24,1,0.52,12.48,0.0063,2.20,5012128513282,05024004845578,24,12,0.00,2.5
7,GIMN,"STAT,MINI STICKY N'BOOK SET",22,1,0.52,11.44,0.0042,1.50,5012128506215,05024004833612,22,0,0.00,2.29
8,GIFA,"STAT,GIFTING ADDRESS BOOK",12,1,0.53,6.36,0.0055,2.08,5012128509186,05024004838556,12,0,0.00,1.27
9,GIPS/1," STAT,GIFTING BOXED PEN SET",24,1,1.00,24.00,0.0147,2.02,5012128513237,05024004845530,24,12,0.01,4.8
10,GIQQ/1,"STAT, GIFTING PVC SLIP IN ALBUM",24,1,0.75,18.00,0.0237,3.26,5012128513299,05024004845592,24,12,0.03,3.6
11,GIFK/1,"STAT,FLUFFY KEYCHAIN",24,1,0.46,11.04,0.0050,0.65,5012128513220,05024004845516,24,12,0.00,2.21
12,GIFP/1," STAT,FLUFFY BALL PEN-GIFTING(PDQ)",24,1,0.48,11.52,0.0148,0.90,5012128513275,05024004845554,24,12,0.01,2.3
13,BIPE,"STAT,BIRD PEN (PDQ)",24,1,0.52,12.48,0.0160,1.42,5012128501777,05024004826720,24,12,0.01,2.5
14,FLPE,"STAT,FLAMINGO PEN (PDQ)",24,1,0.52,12.48,0.0180,1.20,5012128501760,05024004826706,24,12,0.01,2.5
15,NVFP,"STAT,RAINBOW BALL PEN (PDQ)",24,1,0.48,11.52,0.0130,0.86,5012128501784,05024004826744,24,12,0.01,2.3
16,ARCL,"ACT, AIR DRY CLAY (4 DESIGNS)",48,1,0.52,24.96,0.0511,4.45,5012128515064,05024004848593,48,24,0.05,4.99
17,TBAV,"ACT, SMALL BEAD SET",24,1,0.55,13.20,0.0112,1.74,5012128511363,05024004841785,24,12,0.01,2.64
18,GLGL,"ACT, 5 SWIRL GLITTER GLUES",24,1,0.52,12.48,0.0133,2.48,5012128511424,05024004841884,24,12,0.01,2.5
19,MKWA,8 WASHABLE MARKERS,24,1,0.50,12.00,0.0081,1.74,5012128511226,05024004841549,24,12,0.00,2.4
20,MATK,"ACT, 8 SCENTED MARKERS",24,1,0.53,12.72,0.0066,1.88,5012128501654,05024004826485,24,12,0.00,2.54
21,GLSH,"ACT, 5 NEON GLITTER SHAKER TUBES",24,1,0.52,12.48,0.0123,2.16,5012128511417,05024004841860,24,12,0.01,2.5
22,PENT,"ACT, 10 CHUNKY MINI MARKERS",24,1,0.50,12.00,0.0110,1.76,5012128501593,05024004826423,24,12,0.00,2.4
23,PEDB,"ACT, 6 DOUBLE ENDED PENCILS",24,1,0.52,12.48,0.0050,1.88,5012128511264,05024004841600,24,12,0.00,2.5
24,CLCA,"ACT, 6 COLOUR CHANGING PENS",24,1,0.50,12.00,0.0124,1.90,5012128506048,05024004833292,24,12,0.01,2.4
25,RWRD,EDUCATIONAL - 12 A4 REWARD CERTS,24,1,0.50,12.00,0.0058,2.30,5012128506079,05024004833353,24,12,0.00,2.4
26,PSTF,"ACT, EVA PAINT STAMPS",24,1,0.50,12.00,0.5591,0.70,5012128511332,05024004841723,24,12,0.00,2.4
27,MAKR,"ACT, 8 DRY ERASE MARKERS",48,1,0.52,24.96,0.0076,1.86,5012128511233,05024004841563,48,12,0.00,4.99
28,PPAN,"ACT, PAINT PAD",24,1,0.52,12.48,0.0154,2.12,5012128505966,05024004833131,24,12,0.01,2.5
29,SCDS,"ACT, 2 PATTERNED EDGED SCISSORS",24,1,0.48,11.52,0.0168,1.84,5012128501661,05024004826508,24,12,0.01,2.3
30,NDOU,"ACT, 3 X 50G DOUGH TUBS IN BOX",24,1,0.50,12.00,0.0194,5.16,5012128511349,05024004841747,24,12,0.01,2.4
31,SEQY,"ACT, PACK OF MIXED SEQUINS",48,1,0.48,23.04,0.0141,3.02,5012128511387,05024004841822,48,24,0.01,4.61
32,PPAL,"ACT, SPIRO FUN SET",24,1,0.53,12.72,0.0169,1.94,5012128511325,05024004841709,24,12,0.01,2.54
33,NVAP,"ACT, 3 PLAY APRONS",24,1,0.50,12.00,0.0080,1.40,5012128511356,05024004841761,24,12,0.00,2.4
34,STLO,"ACT, CARD STENCIL SHEETS",24,1,0.50,12.00,0.0052,2.42,5012128511288,05024004841648,24,12,0.00,2.4
35,WHCR,"ACT, WIPE CLEAN BOARD/ERASE CRAYONS",24,1,1.00,24.00,0.0375,4.70,5012128511271,05024004841624,24,0,0.04,4.8
36,SLVN,"ACT, 500ML WHITE KRAFT GLUE",48,4,0.75,36.00,0.0589,28.00,5012128511394,05024004841846,12,6,0.06,7.2
37,GLVV/1,"ACT,250ML WHITE KRAFT GLUE",96,4,0.49,47.04,0.0678,29.68,5012128388651,05024004645994,24,12,0.05,9.41
38,PTRY,"ACT, PAINT TRAY AND ACCESSORIES",24,1,0.52,12.48,0.0221,1.60,5012128511301,05024004841686,24,0,0.01,2.5
39,DEPE,"STAT, 5 DOUBLE ENDED MARKERS",24,1,0.52,12.48,0.0087,1.94,5012128501753,05024004826683,24,12,0.00,2.5
40,BRAD,"ACT, MYO WOODEN BEAD JEWELLERY SET",36,1,0.52,18.72,0.0100,1.78,5012128484643,05024004798409,36,12,0.01,3.74
41,NERB/1,"STAT,BLOK RINGBINDER",40,1,0.52,20.80,0.0521,10.94,5012128462740,05024004760376,40,0,0.04,4.16
42,BLOO,"STAT,BLOK CURVED LEVER ARCH",24,1,1.55,37.20,0.0943,10.08,5012128485602,05024004800300,24,0,0.11,7.44
43,SOAK,"STAT, BLOK SOFT FEEL STAPLER",24,1,1.25,30.00,0.0156,4.38,5012128462771,05024004760437,24,12,0.01,6
