Code,Description,Inner,Outer,Cost,Inner Price,Barcode,Vat,Case Weight,Case Width,Case Height,Case Depth,Inner Weight,Inner Width,Inner Height,Inner Depth
TY13,3pc DIG OUT DINO KIT IN PRINTED BOX,24,24,2.4,57.6,5033849047535,20.00,16.1,27,57,70,16.1,27,57,70
TY43,PLASTIC KIT - TWO ASSORTED DIGGER & TRACTOR IN PBX,48,48,2.65,127.2,5033849047511,20.00,23.8,53,73,58,23.8,53,73,58
TY44,GIANT BUILDING BLOCKS & TRAIN - 23pc,24,24,2.85,68.4,5033849047283,20.00,17.1,57,91,43,17.1,57,91,43
TY52,"NURSERY TRAIN & BUS WITH SOUND & LIGHT ""NURSERY THEME""",36,36,2.5,90,5033849047795,20.00,10.75,66,45,46,10.75,66,45,46
TY56,"DRAUGHTS GAME IN PRINTED BOX ""M.Y""",24,24,1.68,40.32,5033849047856,20.00,12.15,50,41,38,12.15,50,41,38
TY57,"SNAKES & LADDERS GAME IN PRINTED BOX ""M.Y""",24,24,1.68,40.32,5033849047887,20.00,11.3,50,41,38,11.3,50,41,38
TY58,"LUDO GAME IN PRINTED BOX ""M.Y""",24,24,1.68,40.32,5033849047894,20.00,11.4,50,41,38,11.4,50,41,38
TY74,"KNIGHT SWORD SET IN PVC BAG ""KNIGHT SERIES""",12,12,4.15,49.8,5033849060350,20.00,7.85,55,59,45,7.85,55,59,45
TY83,MAKE YOUR OWN VOLCANO IN PRINTED BOX,12,12,2.4,28.8,5033849060442,20.00,11.2,67,60,27,11.2,67,60,27
TY136,STAINLESS STEEL COOKWARE SET - 3 ASST IN OPEN TOUCH BOX,24,48,2.85,68.4,5033849046392,20.00,17,64,97,33,8.5,32,48.5,16.5
TY140,10pc TIN TEASET IN OPEN TOUCH BOX,24,48,2.85,68.4,5033849046439,20.00,15.95,79,72,38,7.98,39.5,36,19
TY163,LARGE DINOSAURS - 6 ASSORTED,12,24,3.98,47.76,5033849059941,20.00,19.4,64,52,52,9.7,32,26,26
TY172,"HANDGUN WITH TORCH & SILENCER ""TRY ME"" SOUND/LIGHT ""SPY",24,48,1.98,47.52,5033849060039,20.00,16.3,49,82,29,8.15,24.5,41,14.5
TY275,"4-RING SUNSET GLOW POOL (66"" x 18"") - COLOUR BOX (NP)",6,6,5.98,35.88,78257564415,20.00,15.25,30,33,56,15.25,30,33,56
TY277,HAPPY ANIMALS CLEAR VIEW SNAPSET POOL - NP - 4' x 10',6,6,2.98,17.88,78257584741,20.00,9,23,88,26,9,23,88,26
TY278,"BEACH DAYS SNAPSET POOL (5' x 10"") (NP) IN SHELF BOX",6,6,3.75,22.5,78257564514,20.00,8.8,44,31,30,8.8,44,31,30
TY279,"OCEAN PLAY SNAPSET POOL - NP - 6' x 15""",6,6,5.65,33.9,78257564521,20.00,13,33,43,48,13,33,43,48
TY296,GIRLS BALLERINA DRESS UP SET IN WINDOW BOX (ZERO VAT),12,12,2.98,35.76,5033849086442,0.00,3.15,56,50,45,3.15,56,50,45
TY361,CHILDS DRESS UP ARMY OUTFIT 2 ASST SIZES 3-5/5-7,12,24,2.98,35.76,5033849409050,0.00,5.05,49,21,47,2.53,24.5,10.5,23.5
TY382,CAR DOUGH SET IN COLOUR BOX,12,12,2.65,31.8,5033849409197,20.00,7.4,50,32,33,7.4,50,32,33
TY401,"FLOCKED HORSE SHOW JUMPING SET IN WBX ""EQUESTRIAN""",12,24,3.5,42,5033849029050,20.00,12.1,54,76,45,6.05,27,38,22.5
TY402,"FLOCKED HORSE FAMILY PLAYSET IN WBX ""EQUESTRIAN""",12,24,3.5,42,5033849029067,20.00,10.58,53,76,46,5.29,26.5,38,23
TY404,HOSPITAL BRICK SET - 305pcs - M.Y.,8,24,5.85,46.8,5033849029081,20.00,22.5,64,90,46,7.5,21.33,30,15.33
TY405,"LARGE MILITARY PLAY SET IN WBX 2 ASST ""COMBAT MISSION""",6,6,5.85,35.1,5033849029098,20.00,8.5,76,62,35,8.5,76,62,35
TY412,"MILITARY PLAYSET IN WINDOW BOX 2 ASST - ""COMBAT MISSION",12,24,2.85,34.2,5033849029166,20.00,14.3,82,74,46,7.15,41,37,23
TY413,"SMALL MILITARY PLAYSET IN WBX 2 ASST ""COMBAT MISSION""",18,36,1.68,30.24,5033849029173,20.00,13.5,85,75,36,6.75,42.5,37.5,18
