No,Description,UnitofMeasure,Unit Price,Barcode,UnitP,Outer
DZT1035-12,DRAIN AWAY LIQUID 500ML,12 PACK,7.44,5050375038141,0.62,12
DZT1030A,DRAIN AWAY SACHETS 3 x 40g,24 PACK,14.40,5050375074934,0.6,24
00082B,FURNITURE POLISH 300ml,12 PACK,7.20,5050375097940,0.6,12
DZT071,BRIGHT SCRUB BRUSH,24 PACK,14.40,5050375125544,0.6,24
DZT053,BRIGHT WINDOW SQUEEGIE,24 PACK,14.40,5050375125575,0.6,24
DZT072,ROUND HEAD DISH BRUSH,24 PACK,14.40,5050375125452,0.6,24
DZT1024A-48,HOUSEHOLD GLOVES MEDIUM 2pk,48 PACK,28.80,5050375042537,0.6,48
EG1-8,ELBOW GREASE ORIGINAL 500ml,8 PACK,5.20,5050375087323,0.65,8 
PAN0089A,4PK INCENSE STICKS,24 PACK,14.40,5053249224725,0.6,24
PAN0079A,4PK INCENSE STICKS,24 PACK,14.40,5053249224701,0.6,24
KC2702-36,BLACK SHOE  POLISH  (TIN),36 PACK,20.88,5013748045368,0.58,36
JMP1003-24,THERMAL INSOLES 2pk,24 PACK,14.40,5050375029163,0.6,24
SEW1000-36,HEMMING  TAPE 2pk 10m,36 PACK,20.16,5050375001862,0.56,36
KC308C-36,PRESS STUDS ASSORTED,36 PACK,12.60,5013748010700,0.35,36
SEW1019A-24,EMBROIDERY THREAD 12pk,24 PACK,14.40,5050375049796,0.6,24
SEW1006B-36,SEWING THREAD BLK/WHT 4pk,36 PACK,21.60,5050375048799,0.6,36
KC306A-36,TAPE MEASURE - 3m,36 PACK,12.96,5013748010687,0.36,36
FM019,WATERPROOF SPRAY 300ml,12 PACK,12.00,5053249206783,1,12
SAP032,25PK FOOD & FREEZER BAGS,24 PACK,14.40,5053249208558,0.6,24
SAP018,GREASEPROOF PAPER 37cm x 10m,24 PACK,14.40,5050375114500,0.6,24
SAP1051A,FILL  FRIDGE  & FREEZE BAGS 7pk,36 PACK,21.60,5053249221625,0.6,36
SAP007,ROASTING BAGS 25x38,30 PACK,15.00,5050375062313,0.5,30
SAP009,TURKEY ROASTING BAG 2pk,40 PACK,18.00,5050375068216,0.45,40
SAP1070,BAG CLIP 6pk ASST COLOURS,24 PACK,13.68,5053249006581,0.57,24
HM091,18PK GOLD PAPER PLATES 23CM,24 PACK,14.40,5053249213668,0.6,24
HM092,18PK SILVER PAPER PLATES 23CM,24 PACK,14.40,5053249213699,0.6,24
PP36A-24,30PK WHITE PAPER PLATES 23CM,24 PACK,13.44,5050375082229,0.56,24
HM1095,KITCHEN TONGS CLIP STRIP,12 PACK,7.20,5050375109377,0.6,12
QC1102A,NON-STICK BAKING CIRCLES 50pk,24 PACK,13.44,5053249001340,0.56,24
QC1203,BAKING PAPERS 50pk SQUARE,24 PACK,13.44,5053249007304,0.56,24
QC1117,ICING BAG 20pk,24 PACK,14.40,5050375115798,0.6,24
QC1159,PASTRY BRUSH,24 PACK,13.20,5053249003252,0.55,24
