Product Code,Product Description,2014 RRP Exc VAT,2014 RRP INC VAT,BRUSH CODE,MOQ,VAT,Barcode,Notes
35FA2248,F/A Turners Pink 2oz,1.29,1.55,,6,yes,28995022487,
35FA225,FA Pumpkin 2oz,1.29,1.55,,6,yes,28995002250,
35FA2251,FA Pebblebrook 2oz,1.29,1.55,,6,yes,28995022517,
35FA2252,FA Blue Mist 2oz,1.29,1.55,,6,yes,28995022524,
35FA227,FA Bright Green 2oz,1.29,1.55,,6,yes,28995002274,
35FA2802,FA Stain Oak 2oz,1.75,2.1,,6,yes,28995028021,
35FA2804,FA Stain Walnut 2oz,1.75,2.1,,6,yes,28995028045,
35FA2806,FA Stain Mahogany 2oz,1.75,2.1,,6,yes,28995028069,
35FA320,FA Jamaican Sea 2oz,1.29,1.55,,6,yes,28995763052,
35FA402,FA Light Blue 2oz,1.29,1.55,,6,yes,28995004025,
35FA405,F/A Teal 2oz,1.29,1.55,,6,yes,28995004056,
35FA406,FA Hunter Green 2oz,1.29,1.55,,6,yes,28995004063,
35FA408,FA Green 2oz,1.29,1.55,,6,yes,28995004087,
35FA410,FA Lavender 2oz,1.29,1.55,,6,yes,28995004100,
35FA414,FA Cardinal Red 2oz,1.29,1.55,,6,yes,28995004148,
35FA420,F/A Linen 2oz,1.29,1.55,,6,yes,28995004209,
35FA424,FA Light Grey 2oz,1.29,1.55,,6,yes,28995004247,
35FA425,F/A Medium Grey 2oz,1.29,1.55,,6,yes,28995004254,
35FA426,FA Dark Grey 2oz,1.29,1.55,,6,yes,28995004261,
35FA432,FA Sunflower 2oz,1.29,1.55,,6,yes,28995004322,
35FA434,FA Berry Wine 2oz,1.29,1.55,,6,yes,28995004346,
35FA436,F/A Engine Red 2oz,1.29,1.55,,6,yes,28995004360,
35FA437,F/A Lipstick Red 2oz,1.29,1.55,,6,yes,28995004377,
35FA438,FA Ballet Pink 2oz,1.29,1.55,,6,yes,28995004384,
35FA439,FA Purple Lilac 2oz,1.29,1.55,,6,yes,28995004391,
35FA440,F/A Violet Pansy 2oz,1.29,1.55,,6,yes,28995004407,
35FA441,F/A Sterling Blue 2oz,1.29,1.55,,6,yes,28995004414,
35FA442,FA Baby Blue 2oz,1.29,1.55,,6,yes,28995004421,
35FA443,F/A Night Sky 2oz,1.29,1.55,,6,yes,28995004438,
35FA448,F/A Green Forest 2oz,1.29,1.55,,6,yes,28995004483,
35FA455,FA Medium Yellow 2oz,1.29,1.55,,6,yes,28995004551,
35FA462,F/A Burnt Umber 2oz,1.29,1.55,,6,yes,28995004629,
35FA463,F/A Dioxanine Purple 2oz,1.29,1.55,,6,yes,28995004636,
35FA467,F/A Italian Sage 2oz,1.29,1.55,,6,yes,28995004674,
35FA480,FA Titanium White 2oz,1.29,1.55,,6,yes,28995004803,
35FA484,F/A Bril U/Marine 2oz,1.29,1.55,,6,yes,28995004841,
35FA485,F/A Bril Raw Umber 2oz,1.29,1.55,,6,yes,28995004858,
35FA493,FA Met Bright Red 2oz,1.75,2.1,,6,yes,28995004933,
35FA509,FA Sunny Yellow 2oz,1.29,1.55,,6,yes,28995005091,
