ProdCode,Description,Barcode,,Cases,CaseQty,Total Qty,Req Date,Price,Line  Total £
1010,4 Handwriting Pens,5013922010106,,1,48,48,07/08/2015,0.45,21.60
1031/8,8 assorted Ballpoint Pens,5013922010311,,1,144,144,07/08/2015,0.27,38.88
1035,4 Fine liner Pens,5013922010359,,1,72,72,07/08/2015,0.50,36.00
1037,5 Ball Point Pens,5013922010373,,1,72,72,07/08/2015,0.46,33.12
1101/144,10 fine tip Fibre colouring Pens,5013922011011,,1,144,144,07/08/2015,0.16,23.04
1108,8 Jumbo Fibre Colouring Pens,5013922011080,,1,72,72,07/08/2015,0.48,34.56
1155/72,4 Perm. Markers Chisel Tip B/C,5013922011554,,1,72,72,07/08/2015,0.45,32.40
1157,5 Rapid Dry Permanent Markers,5013922011578,,1,72,72,07/08/2015,0.48,34.56
1208,12 White Chalks In hanging box,5013922012087,,1,96,96,07/08/2015,0.18,17.28
1209,12 Col. Chalks In hanging box,5013922012094,,1,96,96,07/08/2015,0.18,17.28
1277,4m x 70cm Parcel/Kraft wrap,5013922012773,,1,72,72,07/08/2015,0.36,25.92
3134,"200, 36 x 89mm Address Labels",5013922031347,,1,72,72,07/08/2015,0.48,34.56
3254/72,100 Sheet Lined Duke Pad,5013922032542,,1,72,72,07/08/2015,0.26,18.72
4036,A5 Travel Puzzle Book,5013922040363,,1,72,72,07/08/2015,0.35,25.20
4055,80 Clear plastic Punched pockets,5013922040554,,1,30,30,07/08/2015,0.95,28.50
4056/96,10 Clear plastic Punched pockets,5013922040561,,1,96,96,07/08/2015,0.15,14.40
4070/72,5 Chunky Highlighters,5013922040707,,1,72,72,07/08/2015,0.48,34.56
4219,5 Bubble Env Size C 150 x 215,5013922042190,,1,24,24,07/08/2015,0.45,10.80
4220,4 Bubble Env Size D 180 x 265,5013922042206,,1,30,30,07/08/2015,0.45,13.50
4221,4 Bubble Env Size E 220 x 265,5013922042213,,1,30,30,07/08/2015,0.45,13.50
4223,3 Bubble Env Size G 240 x 335,5013922042237,,1,40,40,07/08/2015,0.45,18.00
4246/48,8 Board Envelopes 175X250MM,5013922042466,,1,48,48,07/08/2015,0.45,21.60
4248,6 E Mailer Bags Medium 240 x 320,5013922042480,,1,72,72,07/08/2015,0.48,34.56
4249,3 E Mailer Bags Large 320 x 440mm,5013922042497,,1,72,72,07/08/2015,0.48,34.56
4253,2 E Mailer Bags Extra Lge 640 x 880,5013922042534,,1,72,72,07/08/2015,0.48,34.56
4256/48,30 Luggage Labels 135 x 75mm,5013922042565,,1,48,48,07/08/2015,0.45,21.60
4278,Cork Board 300 x 450mm,5013922042787,,1,48,48,07/08/2015,1.10,52.80
4288,Cork Board 400 x 600mm,5013922042886,,1,20,20,07/08/2015,1.80,36.00
4674,50 DL White peal & seal Envelopes,5013922046747,,1,72,72,07/08/2015,0.46,33.12
4678,50 C6 White peal & seal Envelopes,5013922046785,,1,72,72,07/08/2015,0.46,33.12
4682,40 DL Window peal & seal Envelopes,5013922046822,,1,72,72,07/08/2015,0.46,33.12
5073,12 Jumbo Wax Crayons,5013922050737,,1,72,72,07/08/2015,0.45,32.40
5095,A4 White Card 30 Sheets,5013922050959,,1,48,48,07/08/2015,0.48,23.04
5119/96,12 Half Sized Coloured Pencils,5013922051192,,1,96,96,07/08/2015,0.20,19.20
5121/48,20 Full Size Colour Pencils,5013922051215,,1,48,48,07/08/2015,0.46,22.08
