ProdCode,Description,Barcode,Cases,CaseQty,Total Qty,Req Date,Price,Line Total £
1102/72,20 fine tip Fibre colouring Pens,5013922011028,1,72,72,25/07/2016,0.32,23.04
1277,4m x 70cm Parcel/Kraft wrap,5013922012773,1,72,72,25/07/2016,0.38,27.36
4069/96,Receipt Book,5013922040691,1,96,96,25/07/2016,0.28,26.88
4146/48,A4 White Copy Paper 75 Sheets,5013922041469,1,48,48,25/07/2016,0.48,23.04
4219,5 Bubble Env Size C 150 x 215,5013922042190,1,24,24,25/07/2016,0.46,11.04
4220,4 Bubble Env Size D 180 x 265,5013922042206,1,30,30,25/07/2016,0.46,13.80
4221,4 Bubble Env Size E 220 x 265,5013922042213,1,30,30,25/07/2016,0.46,13.80
4222,3 Bubble Env Size F 220 x 335,5013922042220,1,40,40,25/07/2016,0.46,18.40
4238,Bubble Envelope Size J - Bulk,5013922042381,1,50,50,25/07/2016,0.35,17.50
4239,Bubble Envelope Size K - Bulk,5013922042398,1,50,50,25/07/2016,0.35,17.50
4674,50 DL White peal & seal Envelopes,5013922046747,1,72,72,25/07/2016,0.46,33.12
4680,50 Duke White peal & seal Envelopes,5013922046808,1,72,72,25/07/2016,0.46,33.12
5095,A4 White Card 30 Sheets,5013922050959,1,48,48,25/07/2016,0.48,23.04
5160/48,100m ball of white String,5013922051604,1,48,48,25/07/2016,0.48,23.04
5287/48,20 Sheets A4 Pastel Card,5013922052878,1,48,48,25/07/2016,0.48,23.04
5926,Neon Sticky Notes Assorted,5013922059266,1,48,48,25/07/2016,0.45,21.60
5927,Memo Stickers - 200 by 75mm square,5013922059273,1,72,72,25/07/2016,0.48,34.56
6004,"4 Piece Glue Set, 153gm",5013922060040,1,48,48,25/07/2016,0.50,24.00
6027,PVA Glue 500ml White,5013922060279,1,36,36,25/07/2016,0.95,34.20
6107,6 Neon PP Cover Notebook 76 x 126mm,5013922061078,1,72,72,25/07/2016,0.48,34.56
6142,Bubble Wrap 4Mtr X 300mm,5013922061429,1,40,40,25/07/2016,0.48,19.20
6167/72,"Scissors 5.5"" Multi Purpose",5013922061672,1,72,72,25/07/2016,0.33,23.76
6242,Bubble Wrap 2Mtr X600Mm,5013922062426,1,40,40,25/07/2016,0.48,19.20
7664,A4 Soft Touch Notebook Pastels,5013922076645,1,24,24,25/07/2016,1.90,45.60
7665,A5 Soft Touch Notebook Pastels,5013922076652,1,48,48,25/07/2016,1.03,49.44
7666,Slim Soft Touch Notebook Paste,5013922076669,1,48,48,25/07/2016,0.65,31.20
7667,"Pocket Soft Touch N,book Pas",5013922076676,1,72,72,25/07/2016,0.45,32.40
8001,Cloakroom tickets 1 - 1000,5013922080017,1,72,72,25/07/2016,0.50,36.00
