Item,Description,PackSize,Qty,Cost,Value,Due,Barcode,InnerQty,OuterQty
10979,TRI POINT HORRORCLOWN LATEX M...,0/24,1,3.75,90,03/09/16,5013206007662,0,24
11941,LATEX SKULL WITH HAIR MASK,1/24,1,3.1000,74.40,03/09/16,5013206181867,1,24
11720,HORROR CLOWN MAKEUP SET,24/72,1,1.9000,45.60,03/09/16,5013206144350,2,72
11935,ZOMBIE ZIPPER SPECIAL EFFECTS SET,24/96,1,0.9800,94.08,03/09/16,5013206181201,2,96
11719,ROUND  MAKEUPW/APPLICATOR W...,24/144,2,0.6700,32.16,03/09/16,5013206144329,24,144
11592,GREEN MAKE UP IN TUBE WITH APP...,24/144,2,0.6200,29.76,03/09/16,5013206114544,24,144
11590,RED MAKE  UP IN TUBE WITH APPLIC...,24/144,2,0.6200,29.76,03/09/16,5013206114483,24,144
11593,GREY MAKE UP IN TUBE WITH APPLI...,24/144,2,0.6200,29.76,03/09/16,5013206114575,24,144
11589,BLACK MAKE UP IN TUBE WITH APP...,24/144,2,0.6200,29.76,03/09/16,5013206114452,24,144
10792,TUBE OF VAMPIRES BLOOD,24/144,1,0.4500,64.80,03/09/16,5013206002599,24,144
11932,LIQUID LATEX MAKEUP,12/72,1,0.7000,50.40,03/09/16,5013206181119,1,72
11850,SET OF  HORROR TEETH 3ASST,36/144,2,0.5800,41.76,03/09/16,5013206172889,36,144
11797,SPIDER 2PK HAIR BOBBLES,24/144,1,0.4800,11.52,03/09/16,5013206171295,24,144
11922,3PC DEVIL SET,24/72,1,0.5800,41.76,03/09/16,5013206180815,2,72
11923,CLIP ON SEQUIN DEVIL HORNS,24/96,1,0.5300,12.72,03/09/16,5013206180846,2,96
11924,ADULT DEVIL/DRACULA CAPE,12/48,1,3.0500,146.40,03/09/16,5013206180877,1,48
11926,SPIDER WEB HAT AND CAPE SET,24/48,1,1.9800,47.52,03/09/16,5013206180938,2,48
10993,CLOWN WIG,12/24,1,1.0500,25.20,03/09/16,5013206008089,1,24
10760,4PC ASS SPIDER & BATS,24/144,1,0.4600,66.24,03/09/16,5013206001639,24,144
11852,20PK CREEPY CREATURE SET,24/96,1,0.5400,51.84,03/09/16,5013206172940,2,96
10673,30Z SPIDER WEB & 8 SPIDERS,24/72,1,0.5200,37.44,03/09/16,5013206000540,2,72
10584,HALLOWEEN TINSEL 3  ASST,24/96,1,0.5200,49.92,03/09/16,5013206105849,2,96
11641,HANGING BOO TINSEL  PLAQUE,0/72,1,0.4900,35.28,03/09/16,5013206116012,0,72
11416,NEON SKULL SKULL DOOR COVER,24/72,1,0.6000,14.40,03/09/16,5013206051269,2,72
11790,PK 2 ZOMBIE TAPES,24/144,1,0.5000,12.00,03/09/16,5013206146453,24,144
11382,PK 16 SPOOKY SERVIETTES,24/72,1,0.4600,33.12,03/09/16,5013206038017,2,72
11315,CREEPY CLOTH BLACK ONLY,36/144,1,0.6200,22.32,03/09/16,5013206029169,36,144
11765,WEB LACE DECO CLOTH 55 X 150,18/72,2,0.7500,27.00,03/09/16,5013206145708,1,72
11838,4PK TUMBLERS 2 ASSTD,36/72,1,0.6200,22.32,03/09/16,5013206172520,3,72
11237,16 PK EMB  HALLOWEEN  BALLOONS,24/96,2,0.5500,26.40,03/09/16,5013206018194,2,96
11694,10 LIGHT UP EYEBALLS TRY ME FUN...,0/24,1,1.7800,42.72,03/09/16,5013206119075,0,24
11696,8PC LED GHOST-PUMPKIN-SKULL Ll...,24/72,1,0.7200,51.84,03/09/16,5013206119136,2,72
10824,FISHNET TIGHTS BLACK,12/72,2,1.3800,33.12,03/09/16,5013206003558,1,72
11799,"14"" SKULL WITCHES HAT",12/72,1,0.5000,36.00,03/09/16,5013206171356,1,72
11437,ENCHANTED BROOM  1M,0/96,1,1.0500,100.80,03/09/16,5013206051894,0,96
11910,ANIMATED SKELETON CAT,1/4,1,6.3000,25.20,03/09/16,5013206178058,1,4
11909,ANIMATED BARKING SKELETON DOG,1/4,1,6.8200,27.28,03/09/16,5013206178027,1,4
11899,ANIMATED HAUNTED  SPIDER,1/6,1,9.5000,57.00,03/09/16,5013206177723,1,6
11678,HOODED HANGING SKELETON DEC...,0/48,1,2.6000,124.80,03/09/16,5013206117125,0,48
