Code,Description,Barcode,Type,inner,outer,Tot Qty,UntPrc,Ord Prc,Tot Val Del Date
E415X,15m Standard Garden Hose,5013478210937,O,8,8,8,2.95,2.95,23.60  31/01/17
CANE1,"20 Pack of 60cm Split Green Garden Canes",5013478122124,O,24,24,24,0.52,0.52,12.48  31/01/17
GSTH02,Traditional Wooden Thermometer,5013478555809,O,12,24,24,0.52,0.52,12.48  31/01/17
GSFL,Frost and Insect Protection Fleece,5013478124951,O,12,12,12,1.25,1.25,15.00  31/01/17
HDNT250,250m Heavy Duty Natural Twine,5013478114457,O,12,12,12,1.50,1.50,18.00  31/01/17
PPOTSR,"36 Pack 8cm(3in) Biodegradable Round Peat Pot",5013478134899,O,12,12,12,1.50,1.50,18.00  31/01/17
PPOTSS,"36 Pack 8cm(3in) Biodegradable Square Peat Po",5013478134882,O,12,12,12,1.50,1.50,18.00  31/01/17
POT3,4 Pack x 13cm(5in) Plant Pots,5013478117038,O,24,24,24,0.52,0.52,12.48  31/01/17
TRAY2,"5 Pack Plant Pot Trays for up to 16cm(5in) Po",5013478116987,O,24,24,24,0.52,0.52,12.48  31/01/17
TRAY3,"3 Pack Plant Pot Trays to fit up to 20cm(8in)",5013478116994,O,24,24,24,0.52,0.52,12.48  31/01/17
BF027,Green Standard Bird Nut Feeder,5013478140234,O,12,12,12,0.50,0.50,6.00  31/01/17
BF029,"Green Standard Suet Fat Ball Bird Feeder",5013478140258,O,12,12,12,0.50,0.50,6.00  31/01/17
BF028,Green Standard Bird Seed Feeder,5013478140241,O,12,12,12,0.50,0.50,6.00  31/01/17
BFSET4,Suet Cake Feeder with Suet Cake Feed,5013478131676,O,12,12,12,1.00,1.00,12.00  31/01/17
BF007,Nut feeder with squirrel guard,5013478555328,O,6,6,6,2.50,2.50,15.00  31/01/17
BF007S,Seed Feeder with Squirrel Guard,5013478117748,O,6,6,6,2.50,2.50,15.00  31/01/17
BF007FB,Suet Fat Ball Feeder with Squirrel Guard,5013478117731,O,6,6,6,2.50,2.50,15.00  31/01/17
