CodeDescription,UnitSize,PackSize,Qty,UnitPrice,LinePrice,V.A.T,Barcode,IndividualPrice,Cost,ProductCode,Description
062076 - 1001 CARPET SHAMPOO 3IN1,500ML,6,4,4.59,18.36,1,5032227448285,0.765,0.77,1001 CARPET SHAMPOO 3IN1,062076 
028010 - 1001 CARPET SPRUCE & CLEAN,500ML,6,1,4.49,4.49,1,5032227448278,0.748333333,0.75,1001 CARPET SPRUCE & CLEAN,028010 
022370 - ACTIVE FLY SPRAY,300ML,6,6,4.79,28.74,1,5012428090841,0.798333333,0.80,ACTIVE FLY SPRAY,022370 
190893 - AQUAFRESH TOOTHPASTE INTENSE WHITE,75ML,12,2,6.99,13.98,1,5000347000911,0.5825,0.59,AQUAFRESH TOOTHPASTE INTENSE WHITE,190893 
127028 - ASPAR ASPIRIN 16S ,300MG,12,2,1.69,3.38,1,5024071220100,0.140833333,0.15,ASPAR ASPIRIN 16S ,127028 
160536 - ASTONISH ANTIBACTERIAL CLEANSER,750ML,12,1,7.29,7.29,1,048256291063,0.6075,0.61,ASTONISH ANTIBACTERIAL CLEANSER,160536 
350751 - ASTONISH CARPET CLEAN TRIGGER,750ML,12,1,7.29,7.29,1,048256281170,0.6075,0.61,ASTONISH CARPET CLEAN TRIGGER,350751 
132879 - ASTONISH CITRUS CREAM CLEANER,550ML,12,1,7.29,7.29,1,5060060210127,0.6075,0.61,ASTONISH CITRUS CREAM CLEANER,132879 
282286 - ASTONISH DESCALER LIMESCALE REMOVER ,1LTR,12,3,8.09,24.27,1,5060060210943,0.674166667,0.68,ASTONISH DESCALER LIMESCALE REMOVER ,282286 
190447 - ASTONISH DISHWASHER TABLETS,42'S,8,1,17.39,17.39,1,048256221800,2.17375,2.18,ASTONISH DISHWASHER TABLETS,190447 
854986 - ASTONISH DISINFECTANT SPRAY 4IN1,750ML,12,1,7.39,7.39,1,048256214161,0.615833333,0.62,ASTONISH DISINFECTANT SPRAY 4IN1,854986 
768723 - ASTONISH FABRIC FRESH TRIGGER,750ML,12,2,7.39,14.78,1,048256219265,0.615833333,0.62,ASTONISH FABRIC FRESH TRIGGER,768723 
934217 - ASTONISH FLOOR CLEAN LIME & BERGAMOT(D) ,750ML,12,1,7.15,7.15,1,048256226003,0.595833333,0.60,ASTONISH FLOOR CLEAN LIME & BERGAMOT(D) ,934217 
898009 - ASTONISH GREASE OFF SPRAY & WIPE,750ML,12,2,7.55,15.10,1,048256238211,0.629166667,0.63,ASTONISH GREASE OFF SPRAY & WIPE,898009 
179558 - ASTONISH HOB CREAM CLEANER,235ML,12,2,7.09,14.18,1,5060060210547,0.590833333,0.60,ASTONISH HOB CREAM CLEANER,179558 
236010 - ASTONISH KITCHEN CLEAN TRIGGER,750ML,12,1,7.25,7.25,1,048256296181,0.604166667,0.61,ASTONISH KITCHEN CLEAN TRIGGER,236010 
282319 - ASTONISH LEATHER CLEANER,750ML,12,1,7.65,7.65,1,5060060210950,0.6375,0.64,ASTONISH LEATHER CLEANER,282319 
012922 - ASTONISH LIMESCALE REMOVE ELIMANATE ,750ML,12,2,7.55,15.10,1,5060060210233,0.629166667,0.63,ASTONISH LIMESCALE REMOVE ELIMANATE ,012922 
178073 - ASTONISH MOULD&MILDEW TRIGGER,750ML,12,2,7.39,14.78,1,048256299557,0.615833333,0.62,ASTONISH MOULD&MILDEW TRIGGER,178073 
854978 - ASTONISH MUL SPRAY BLEACH TRIG,750ML,12,2,7.39,14.78,1,048256219456,0.615833333,0.62,ASTONISH MUL SPRAY BLEACH TRIG,854978 
401415 - ASTONISH ORANGE MULTI SURFACE CLEANER ,750ML,12,1,7.29,7.29,1,048256217124,0.6075,0.61,ASTONISH ORANGE MULTI SURFACE CLEANER ,401415 
641242 - ASTONISH SHOWER CLN DAILY TRIG,750ML,12,1,7.39,7.39,1,048256210316,0.615833333,0.62,ASTONISH SHOWER CLN DAILY TRIG,641242 
282327 - ASTONISH VAC MAXX MACHINE CARPET SHAMPOO ,1LTR,12,2,8.19,16.38,1,5060060210929,0.6825,0.69,ASTONISH VAC MAXX MACHINE CARPET SHAMPOO ,282327 
252742 - ASTONISH WHITE VINEGAR SPRAY,750ML,12,2,6.89,13.78,1,5060060210813,0.574166667,0.58,ASTONISH WHITE VINEGAR SPRAY,252742 
506169 - ASTONISH WINDOW &GLASS TRIG,750ML,12,1,7.29,7.29,1,5060060210219,0.6075,0.61,ASTONISH WINDOW &GLASS TRIG,506169 
