Code,Description,InnerQ,OuterQ,Order Quantity Pcs.,Order Quantity Cases,Price,Value,Itembarcode,Obarcode,Case Size / Weight - kg,CBM,Notes
WP248,CAT TREATS 2 ASSORTED FLAVOURS,12,36,36,1,0.52,18.72,5015302202484,15015302202481,210x370x120mm - 2.95Kg,0.0093,
WP247,CAT TREATS 2 ASSORTED FLAVOURS2,12,36,36,1,0.52,18.72,5015302202477,15015302202474,210x370x120mm - 2.95Kg,0.0094,
FS419,BABY BLANKET 75X100CM (3/ASS),12,36,36,1,2.25,81,5015302104191,15015302104198,400x650x280mm - 9.5Kg,0.0728,
FN2035,TRAVEL PILLOW,1,24,24,1,1.65,39.6,5015302720353,15015302420359,490x520x450mm - 3.2Kg,0.0115,
FN2451,TIN MONEY BOX Round-15x10x10cm 2 assorted ,1,24,24,1,0.49,11.76,5015302724511,15015302724518,330x410x310mm - 3Kg,0.0425,
FN4512,A5 ZIP LOCK NOTE BOOK4 ASST COLOURS,20,40,40,1,1.1,44,5015302745127,15015302745124,250x370x215mm - 9.2Kg,0.0194,
FN4521,A6 ZIP LOCK NOTE BOOK 4 ASST COLOURS,20,40,40,1,0.55,22,5015302745219,15015302745216,210x280x195mm - 5.1Kg,0.0112,
FN4515,A4 RING BINDER,12,36,36,1,0.52,18.72,5015302745158,5015302745158,355x530x230mm - 8.9Kg,0.0427,
WP177,"MUNCHY STICKS 4.5"" (Pack/80)",1,20,20,1,0.5,10,5015302201777,15015302201774,190x305x270mm - 6.6Kg,0.0168,
WP101,MUNCHY FLATS PACK 30,12,24,24,1,0.46,11.04,5015302201012,15015302201019,230x330x265mm - 6.04Kg,0.0183,
WP154,PORKHIDE KNOT BONE (Pack/3),12,36,36,1,0.44,15.84,5015302201548,15015302201545,220x290x230mm - 3.97Kg,0.0147,
WP153,PORKHIDE KNOT BONE,12,36,36,1,0.44,15.84,5015302201531,15015302201538,230x340x210mm - 3.5Kg,0.0164,
WP151,PORKHIDE PRESSED BONE (Pack/2),12,36,36,1,0.46,16.56,5015302201517,15015302201514,200x290x190mm - 3.5Kg,0.11,
WP156,RAWHIDE BONE W- MUNCHY FILLING - PK3,12,36,36,1,0.48,17.28,5015302201562,15015302201569,220x265x230mm - 4.78Kg,0.0215,
WP122,RAWHIDE PRESSED BONES (Pk/3),12,36,36,1,0.53,19.08,5015302201227,15015302201224,260x280x170mm - 3.88Kg,0.0135,
WP123,"RAWHIDE KNOT BONE 8""",12,36,36,1,0.55,19.8,5015302201234,15015302201231,200x330x230mm - 3.02Kg,0.0233,
WP124,"RAWHIDE PRESSED BONE (6.5-7"")",12,36,36,1,0.55,19.8,5015302201241,15015302201248,190x270x180mm - 4.24Kg,0.0135,
WP125,"RAWHIDE STICKS 4.5"" PK20",12,36,36,1,0.53,19.08,5015302201258,15015302201255,230x230x210mm - 6.26Kg,0.0157,
WP121,RAWHIDE KNOT BONES PK3,12,36,36,1,0.48,17.28,5015302201210,15015302201217,230x305x215mm - 3.08Kg,0.0172,
WP196,RAWHIDE EXTRA LONG KNOT BONE,12,36,36,1,1.05,37.8,5015302201968,15015302201965,435x470x190mm - 6.22Kg,0.0454,
WP361,RUBBER PET BALLS (Pack/2),12,36,36,1,0.5,18,5015302203610,15015302203617,200x365x250mm - 7Kg,0.0205,
WP300,COTTON TUG 2/knots (4/colours),12,36,36,1,0.52,18.72,5015302203009,15015302203006,300x340x260mm - 6.4Kg,0.0265,
WP302,BALL and ROPE KNOT (4/colours),12,36,36,1,0.55,19.8,5015302203023,15015302203020,330x340x200mm - 6Kg,0.0243,
WP464,CLOTH TUGS (4/assorted),12,36,36,1,0.52,18.72,5015302204648,15015302204645,280x450x200mm - 5.3Kg,0.0256,
WP307,PUPPY TUGS (Pack/5-Ass-Colors),12,36,36,1,0.44,15.84,5015302203078,15015302203075,195x460x420mm - 5.5Kg,0.0231,
WP462,TWO-TONE TUGS (assorted),12,36,36,1,0.42,15.12,5015302204624,15015302204621,380x280x240mm - 4.4Kg,0.0255,
WP470,BLACK TUFF ROPE+BALL (4/asstd),16,32,32,1,0.55,17.6,5015302204709,15015302204706,360x390x265mm - 5.8Kg,0.0244,
WP461,MIDI BALL LAUNCHER (4/colours),12,36,36,1,0.5,18,5015302204617,15015302204614,420x520x280mm - 11Kg,0.044,
WP313,TENNIS BALLS PK3,12,36,36,1,0.46,16.56,5015302203139,15015302203136,380x385x195mm - 8.7Kg,0.0282,
WP324,LARGE BALL (2/colours),12,36,36,1,0.48,17.28,5015302203245,15015302203242,300x400x300mm - 8Kg,0.036,
WP342,CATNIP & BALL PLAY SET,12,36,36,1,0.48,17.28,5015302203429,5015302203429,230x300x260mm - 1.8Kg,0.0187,
WP458,TWIN-PACK VINYL BONE (ass-col),12,36,36,1,0.52,18.72,5015302204587,15015302204584,360x330x310mm - 5.1Kg,0.037,
WP508,PET BED W/ROUND SOFT FLEECE DIA56X23CM,1,8,16,2,2.75,44,5015302205089,15015302205086,420x550x480mm - 5.8Kg,0.098,
WP503,PET BED (Small) 41X38X20CM,1,8,8,1,5.6,44.8,5015302205034,15015302205031,475x460x380mm - 6.5Kg,0.0839,
WP504,PET BED (Medium) 61X36X23CM,1,8,8,1,8.4,67.2,5015302205041,15015302205048,520x600x450mm - 9Kg,0.1404,
AM1406,FRIDGE DOOR JUG 1.5LTR 4COLS,1,24,24,1,1,24,5015302414061,15015302414068,470x505x320mm - 6.06Kg,0.075,
AM5997,SIP & SNACK TUMBLER (4/colors),1,24,24,1,0.55,13.2,5015302459970,15015302459977,310x420x255mm - 2.85Kg,0.0326,
AM6498,EASY GRIP SPORTS BOTTLE 750ml,1,24,24,1,0.55,13.2,5015302464981,15015302464988,310x525x240mm - 2.45Kg,0.0381,
AM7990,GLASS CLIP TOP JAR 1L RND,1,12,12,1,1,12,5015302479909,15015302479906,350x360x250mm - 10.2Kg,0.0314,
AM7989,GLASS CLIP TOP JAR 1L SQUARE,1,12,12,1,1,12,5015302479893,15015302479890,320x360x240mm - 10.5Kg,0.0283,
AM4423,WASHING UP BOWL RECT 4 COLS,1,24,24,1,1.1,26.4,5015302444235,15015302444232,410x715x290mm - 7.8Kg,0.081,
AM6413,HANDY BASKET 23X14XM 4 COLS,12,36,36,1,0.55,19.8,5015302464134,15015302464131,490x550x265mm - 4.1Kg,0.072,
AM1013,SHOPPING BAG 43X40X14CM 3 COLS,24,48,48,1,0.55,26.4,5015302410131,15015302410138,405x460x250mm - 5Kg,0.0387,
AM4774,SMALL BIN W/CLIP-LID 7L-4/col,1,24,24,1,1.1,26.4,5015302447748,15015302447745,455x850x255mm - 7.7Kg,0.0989,
AM4773,MEDIUM BIN W/Clip-Lid 25L-4col,1,12,12,1,2.65,31.8,5015302447731,25015302447735,1130x360x360mm - 12.1Kg,0.143,
AM4772,LARGE BIN W/Clip-Lid 50L-3/col,1,12,12,1,4.5,54,5015302447724,25015302447728,1200x470x480mm - 14Kg,0.26,
AM6269,OVAL BASKET W/H 34x48cm-4/cols,1,12,12,1,1.65,19.8,5015302462697,15015302462694,480x540x340mm - 5.5Kg,0.096,
AM4604,TEA TOWELS PK2 4 COLS,12,36,36,1,0.49,17.64,5015302446048,15015302446045,300x325x180mm - 4.58Kg,0.0179,
AM7183,MEAT BASTER (4/colours),12,36,36,1,0.52,18.72,5015302471835,15015302471832,215x515x320mm - 3.5Kg,0.0355,
AM7817,CAKE BOX PK2 26x26X10CM,24,48,48,1,0.55,26.4,5015302478179,15015302478176,365x390x290mm - 11.4Kg,0.0432,
AM6117,KIDS MEASURING SPOONS 2/col-S2,1,24,24,1,0.48,11.52,5015302461171,15015302461178,200x325x305mm - 2.3Kg,0.0195,
AM4693,KIDS COOKIE CUTTERS Net-Bag/16,1,24,24,1,0.48,11.52,5015302446932,15015302446939,230x380x230mm - 2Kg,0.0204,
AM7253,KIDS SPRING-FORM CAKE TIN,1,24,24,1,0.65,15.6,5015302472535,15015302472532,260x290x260mm - 4Kg,0.02,
AM7335,GLASS BOTTLE CLEANERS (Pack/2),12,48,48,1,0.55,26.4,5015302473358,15015302473355,322x465x310mm - 6Kg,0.0456,
AM6266,SQUARE BASKET W/H 36x36c-3/col,1,12,12,1,1.35,16.2,5015302462666,15015302462663,435x355x335mm - 5Kg,0.0577,
AM5256,HEART S/FORM CAKE TIN 12CM,1,24,24,1,0.75,18,5015302452568,15015302452565,260x280x255mm - 3Kg,0.0184,
AM7822,WOOD SPOON 33CM,24,48,48,1,0.55,26.4,5015302478223,15015302478220,195x340x195mm - 4Kg,0.0127,
AM7726,MIXING BOWLS (Pack/3-ass-cols),1,12,12,1,1.75,21,5015302477264,15015302477261,535x630x245mm - 5.2Kg,0.083,
AM7788,PALLET KNIFE (29cm),24,48,48,1,0.55,26.4,5015302477882,15015302477889,240x370x240mm - 3.5Kg,0.0213,
AM7836,ICING CUTTERS 4 ASSORTED,24,48,48,1,0.5,24,5015302478360,15015302478367,240x275x190mm - 1.5Kg,0.0123,
AM6897,DISPOSABLE GLOVES (Box/150),24,48,48,1,0.55,26.4,5015302468972,15015302468979,260x400x395mm - 7Kg,0.0403,
FS251,PATCHWORK FRIENDS 10oz TUMBLER,12,36,36,1,0.49,17.64,5015302102517,15015302102514,380x450x265mm - 3.5Kg,0.0433,
AM6423,TRIO PLANTER-in-DISPLAY/Teracc,1,60,60,1,0.5,30,5015302464233,5015302464233,570x357x335mm - 12Kg,0.0711,
AM4871,PLANTER PLATES 3/Shapes (Terr),1,240,240,1,0.25,60,5015302448714,15015302448711,215x400x345mm - 8Kg,0.0297,
AM4909,ICE LOLLY MAKER (6/section),12,48,48,1,0.45,21.6,5015302449094,15015302449091,405x450x375mm - 4.5Kg,0.069,
AM4722,COOL BAG W/Handle (4/colours),12,48,48,1,0.52,24.96,5015302447229,15015302447226,420x360x265mm - 2.6Kg,0.0494,
AM6407,MINI FREEZER BLOCKS 4/col-Pk/3,1,48,48,1,0.55,26.4,5015302464073,15015302464070,280x372x320mm - 18.9Kg,0.0333,
AM6591,ICE CUBE TRAYS 4/cols (Pk/3),1,48,48,1,0.46,22.08,5015302465919,15015302465916,350x265x265mm - 6Kg,0.0261,
AM6627,KIDS GARDEN TABLE (3/colours),1,8,8,1,4.65,37.2,5015302466275,15015302466272,545x500x500mm - 11.9Kg,0.135,
AM6666,KIDS CHAIR (3/colours),1,12,12,1,1.75,21,5015302466664,15015302466661,820x360x375mm - 7.5Kg,0.1107,
AM6517,KIDS SPORTS BOTTLE (2/asstd),12,48,48,1,0.45,21.6,5015302465179,15015302465176,400x455x305mm - 3.2Kg,0.0543,
FS272,HOODED TOWEL + 5 WASH CLOTH SET VAT FREE,8,24,24,1,1.95,46.8,5015302102722,15015302102729,295x630x330mm - 5.6Kg,0.0346,
FS274,7PK WASHCLOTH SET,12,36,36,1,1.1,39.6,5015302102746,15015302102743,235x700x180mm - 3.7Kg,0.0294,
FS297,BOTTLE+TEAT BRUSH  4 ASSORTED,12,36,36,1,0.4,14.4,5015302102975,15015302102972,400x395x350mm - 3.85Kg,0.0584,
FS208,BABY POTTY Plastic (3/colours),12,36,36,1,0.55,19.8,5015302102081,15015302102088,580x270x240mm - 7.5Kg,0.0374,
FS229,BABY MANICURE SET 2/cols-2/pce,12,48,48,1,0.5,24,5015302102296,15015302102293,194x410x110mm - 3Kg,0.0084,
FS069,SILICONE FINGER TOOTHBRUSH & CASE,12,36,36,1,0.55,19.8,5015302100698,15015302100695,215x325x230mm - 2.4Kg,0.0162,
PS111,SOFT BABY BOOK 2 ASSORTED,12,48,48,1,0.46,22.08,5015302091118,15015302091115,320x320x200mm - 2Kg,0.0226,
PS198,RATTLE-TEETHER W/F Flower/Bee,12,36,36,1,0.55,19.8,5015302901981,15015302901988,290x295x250mm - 3.5Kg,0.0201,
PS170,BABY ANIMAL SHAPE RATTLE (4/asst),12,36,36,1,0.53,19.08,5015302901707,15015302901704,260x425x325mm - 4Kg,0.0351,
