Stock,Description,InnerQ,OuterQ,Order Quantity Pcs.,Order Quantity Cases,Price,Value,ItemBarcode,Obarcode,Case Size / Weight - kg,CBM,Notes
AM1406,FRIDGE DOOR JUG 1.5LTR 4COLS,1,24,48,2,1,48,5015302414061,15015302414068,470x505x320mm - 6.06Kg,0.075,
AM7821,PAPER DOILIES White (Pk/36),24,48,48,1,0.5,24,5015302478216,15015302478213,310x310x180mm - 5.2Kg,0.0179,
AM4423,WASHING UP BOWL RECT 4 COLS,1,24,24,1,1.1,26.4,5015302444235,15015302444232,410x715x290mm - 7.8Kg,0.081,
AM8303,STAINLESS-STEEL FORK'S (Pack/4),1,36,36,1,0.52,18.72,5015302483036,15015302483033,270x160x100mm - 3.59Kg,0.0053,
AM4879,PEG BAG 34x28cm (4/colours),24,48,48,1,0.5,24,5015302448790,15015302448797,390x315x110mm - 2.5Kg,0.0248,
AM7710,KIDS HANGERS (Pk/8-asstd-cols),1,36,36,1,0.55,19.8,5015302477103,15015302477100,320x400x255mm - 4.3Kg,0.0323,
AM4772,LARGE BIN W/Clip-Lid 50L-3/col,1,12,12,1,4.5,54,5015302447724,25015302447728,1200x470x480mm - 14Kg,0.26,
AM4773,MEDIUM BIN W/Clip-Lid 25L-4col,1,12,12,1,2.65,31.8,5015302447731,25015302447735,1130x360x360mm - 12.1Kg,0.143,
AM4774,SMALL BIN W/CLIP-LID 7L-4/col,1,24,24,1,1.1,26.4,5015302447748,15015302447745,455x850x255mm - 7.7Kg,0.0989,
AM6269,OVAL BASKET W/H 34x48cm-4/cols,1,12,12,1,1.65,19.8,5015302462697,15015302462694,480x540x340mm - 5.5Kg,0.096,
AM6266,SQUARE BASKET W/H 36x36c-3/col,1,12,12,1,1.35,16.2,5015302462666,15015302462663,435x355x335mm - 5Kg,0.0577,
AM5395,"GLASS VASE 9"" (3/Colours)",1,12,12,1,0.65,7.8,5015302453954,15015302453951,330x430x240mm - 6.5Kg,0.0362,
AM5208,WALL CLOCK 23CM 4 ASS COLS,1,12,12,1,1.75,21,5015302452087,15015302452084,260x495x260mm - 5Kg,0.0338,
AM6666,KIDS CHAIR (3/colours),1,12,12,1,1.75,21,5015302466664,15015302466661,820x360x375mm - 7.5Kg,0.1107,
AM6627,KIDS GARDEN TABLE (3/colours),1,8,8,1,4.65,37.2,5015302466275,15015302466272,545x500x500mm - 11.9Kg,0.135,
AM6599,LARGE STEP STOOL W/H (4cols),1,12,12,1,1.95,23.4,5015302465995,15015302465992,530x400x340mm - 7.5Kg,0.0737,
AM6748,KIDS STEP-STOOL (4/colours),1,12,12,1,1.95,23.4,5015302467487,15015302467484,555x340x340mm - 8Kg,0.055,
FS297,BOTTLE+TEAT BRUSH  4 ASSORTED,12,36,36,1,0.4,14.4,5015302102975,15015302102972,400x395x350mm - 3.85Kg,0.0584,
FS262,4 FOOD STORAGE POTS 4/COLS,12,36,36,1,0.48,17.28,5015302102623,15015302102620,385x400x275mm - 3.52Kg,0.0445,
FS070,BOTTLE & TEAT BRUSH 2 ASSORTED,12,36,36,1,0.5,18,5015302100704,15015302100701,260x325x170mm - 2.3Kg,0.0144,
WP125,"RAWHIDE STICKS 4.5"" PK20",12,36,36,1,0.53,19.08,5015302201258,15015302201255,230x230x210mm - 6.26Kg,0.0157,
WP122,RAWHIDE PRESSED BONES (Pk/3),12,36,36,1,0.53,19.08,5015302201227,15015302201224,260x280x170mm - 3.88Kg,0.0135,
WP361,RUBBER PET BALLS (Pack/2),12,36,36,1,0.5,18,5015302203610,15015302203617,200x365x250mm - 7Kg,0.0205,
WP274,DENTAL STAR STICKS 10pk,12,36,36,1,0.55,19.8,5015302202743,15015302202740,250x325x230mm - 4.9Kg,0.0192,
WP496,DOG LEAD 4 BRIGHT COLOURS,12,36,36,1,0.55,19.8,5015302204969,15015302204966,245x345x150mm - 3Kg,0.01,
WP350,PAT'S POOP-SCOOP BAGS (Pk/125),12,36,36,1,0.48,17.28,5015302203504,15015302203501,430x525x140mm - 5.6Kg,0.0314,
WP377,PET LINT ROLLER W/4-refills,12,24,24,1,0.55,13.2,5015302203771,15015302203778,290x570x250mm - 4Kg,0.0384,
