CODE,DESCRIPTION,QTY,Price,BARCODES,Discount%,DiscountVal,PricePaid,SuggestedRetail,Weight,Length,Width,Height,ActualPrice,Ready?
G2206,Picnic Outing 100XXL,,4.35,5012269022063,15.00%,0.6525,3.6975,7.395,480,213,293,50,7.99,OK
G2207,The New Major 100XXL,,4.35,5012269022070,15.00%,0.6525,3.6975,7.395,480,213,293,50,7.99,OK
G2208,Rural Life 100XXL,,4.35,5012269022087,15.00%,0.6525,3.6975,7.395,480,213,293,50,7.99,OK
G2209,Catch us if you Can 100XXL,,4.35,5012269022094,15.00%,0.6525,3.6975,7.395,480,213,293,50,7.99,OK
G2210,The Secret Garden 100XXL,,4.35,5012269022100,15.00%,0.6525,3.6975,7.395,480,213,293,50,7.99,OK
G2211,Vintage Fair 100XXL,,4.35,5012269022117,15.00%,0.6525,3.6975,7.395,480,213,293,50,7.99,OK
G2702,The Final Overs 250XXL,,4.35,5012269027020,15.00%,0.6525,3.6975,7.395,454,213,293,50,7.99,OK
G2703,The Village Fete 250XXL,,4.35,5012269027037,15.00%,0.6525,3.6975,7.395,454,213,293,50,7.99,OK
G2705,VE Day 250XXL,,4.35,5012269027051,15.00%,0.6525,3.6975,7.395,454,213,293,50,7.99,OK
G2706,Barks Cafe 250XXL,,4.35,5012269027068,15.00%,0.6525,3.6975,7.395,454,213,293,50,7.99,OK
G3030,Waterside Delivery ,,4.35,5012269030303,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3032,Biggin Hill Wing,,4.35,5012269030327,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3033,Hidden Hideaway,,4.35,5012269030334,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3034,Living Legends,,4.35,5012269030341,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3035,Wagging Tails,,4.35,5012269030358,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3038,Tenby,,4.35,5012269030389,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3044,Springtime Splendour,,4.35,5012269030440,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3056,A Ride with Mum ,,4.35,5012269030563,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3060,Tea at the Farm,,4.35,5012269030600,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3064,SKATING ON THE LAKE 500PC JIGSAW,2,4.35,5012269030648,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3071,Touring the Highlands,,4.35,5012269030716,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3072,HIGHCLERE CASTLE 500PC PUZZLE,2,4.35,5012269030723,15.00%,0.6525,3.6975,7.395,465,215,295,50,7.99,OK
G3074,BAKING DAY 500PC PUZZLE,2,4.35,5012269030747,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3075,Blackpool Promenade,,4.35,5012269030754,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3077,PICK YOUR OWN 500PCE PUZZLE,2,4.35,5012269030778,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3078,Upstairs & Downstairs ,,4.35,5012269030785,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3079,Twilight Reflections (also available as 2000pc),,4.35,5012269030792,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3080,Doggy Paddle,,4.35,5012269030808,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3081,Family Life,,4.35,5012269030815,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3082,Woodbridge,,4.35,5012269030822,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3083,Horse Power,,4.35,5012269030839,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3084,Tea on the Terrace,,4.35,5012269030846,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3085,Summer for Heroes,,4.35,5012269030853,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3086,Thelwell - Boxing Up,,4.35,5012269030860,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
G3087,Beach Buddies ,,4.35,5012269030877,15.00%,0.6525,3.6975,7.395,425,250,250,50,7.99,OK
