Line,Code,Description,SalePriceMin,SalePrice,Ordered,Ordered1,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT,SalePriceMin1,SalePrice1
1,BIPU,"B INSPIRED,A4 WIRO JOURNAL (CDU)",5.70,5.99,20,2,2.85,57.00,0.0535,21.08,5012128426094,05024004710487,10,0,0.05,11.4,5.70,5.99
2,BIWJ,"B INSPIRED, A5 WIRO JOURNAL (CDU)",3.30,3.50,20,2,1.65,33.00,0.0315,10.96,5012128426124,05024004710500,10,0,0.02,6.6,3.30,3.50
3,BISJ,"B INSPIRED,A6 PU WIRO JOURNAL (CDU)",2.00,2.25,20,2,1.00,20.00,0.0183,5.80,5012128426148,05024004710524,10,0,0.01,4,2.00,2.25
4,FSC1-BIAC,"FSC,A5 CASEBOUND PU NOTEBOOK (CDU)",2.50,2.75,20,2,1.25,25.00,0.0170,6.72,5012128467561,05024004768402,10,0,0.01,5,2.50,2.75
5,FSC1-BIAA,"FSC,A4 CASEBOUND PU NOTEBOOK (CDU)",4.00,4.25,20,2,2.00,40.00,0.0309,12.88,5012128467554,05024004768389,10,0,0.02,8,4.00,4.25
6,FSC1-BIAD,"FSC,A6 CASEBOUND PU NOTEBOOK (CDU)",1.80,1.99,20,2,0.90,18.00,0.0094,3.52,5012128467578,05024004768426,10,0,0.00,3.6,1.80,1.99
7,BEAX,"STAT, RASCALS 6 PENCILS ERASER TOPS",0.98,1.25,24,1,0.49,11.76,0.0194,3.64,5012128462689,05024004760253,24,12,0.01,2.35,0.98,1.25
8,BEAR,"STAT, RASCALS 6 MINI NOTEPADS",0.84,1.00,24,1,0.42,10.08,0.0061,3.32,5012128462948,05024004760772,24,12,0.00,2.02,0.84,1.00
9,BEAS,"STAT, RASCALS A5 N'BOOK WITH ST",1.50,1.75,16,2,0.75,12.00,0.0101,4.60,5012128462665,05024004760215,8,0,0.01,2.4,1.50,1.75
10,KRAO,"STAT,A4 NOTEBOOK,70SH,KRAFTY SLOGANS",1.50,1.75,24,2,0.75,18.00,0.0206,9.88,5012128462542,05024004759974,12,0,0.01,3.6,1.50,1.75
11,KRAR,"STAT,STATIONERY SET,KRAFTY SLOGANS",0.92,1.00,48,2,0.46,22.08,0.0458,5.40,5012128462580,05024004760055,24,12,0.04,4.42,0.92,1.00
12,SOAT,"STAT, BLOK A4 PP SOFTCOVER N'BO",0.90,1.00,24,2,0.45,10.80,0.0125,5.68,5012128463419,05024004761441,12,0,0.01,2.16,0.90,1.00
13,QRRB,"STAT,QR A4 RINGBINDER (2 DESIGNS)",0.70,1.00,10,1,0.35,3.50,0.0163,2.66,5012128429538,05024004713648,10,0,0.01,0.7,0.70,1.00
14,NABY,ACT-MIXED BODY STICKER PACK,0.52,0.60,48,1,0.26,12.48,0.0023,0.98,5012128369100,05024004603284,48,0,0.00,2.5,0.52,0.60
15,DSTN,"DINOSAUR,STENCIL SET",0.84,1.00,24,2,0.42,10.08,0.0182,2.80,5012128437755,05024004723784,12,0,0.01,2.02,0.84,1.00
16,BLOO,"STAT,BLOK CURVED LEVER ARCH",3.10,3.25,24,1,1.55,37.20,0.0943,10.08,5012128485602,05024004800300,24,0,0.11,7.44,3.10,3.25
17,NERB/1,"STAT,BLOK RINGBINDER",1.04,1.50,40,1,0.52,20.80,0.0521,10.94,5012128462740,05024004760376,40,0,0.04,4.16,1.04,1.50
18,BLOM,"STAT,A4 DISPLAY BOOK(3 CLRS)",1.40,1.50,24,1,0.70,16.80,0.0131,4.32,5012128485589,05024004800263,24,12,0.01,3.36,1.40,1.50
19,BLOK,"STAT,2 CARRY FILES PUNCHED - BLOK",1.04,1.25,24,1,0.52,12.48,0.0187,1.82,5012128485565,05024004800225,24,12,0.01,2.5,1.04,1.25
20,BLON,"STAT,EXTRA WIDE PP DIVIDERS(10 PART)",1.00,1.10,24,1,0.50,12.00,0.0071,3.00,5012128485596,05024004800287,24,12,0.00,2.4,1.00,1.10
21,BLOS,"STAT,A4 PP RIBBED N'BOOK-BLOK",2.50,2.75,24,1,1.25,30.00,0.0207,11.12,5012128487552,05024004803790,24,12,0.00,6,2.50,2.75
22,BLOT,"STAT,A5 PP RIBBED N'BOOK-BLOK",1.20,1.25,24,1,0.60,14.40,0.0123,5.64,5012128487569,05024004803813,24,12,0.01,2.88,1.20,1.25
23,SOAN,"STAT, BLOK SOFT FEEL HOLE PUNCH",2.10,2.25,24,1,1.05,25.20,0.0113,4.06,5012128462801,05024004760499,24,12,0.01,5.04,2.10,2.25
24,SOAO,"STAT, BLOK SOFT TAPE DISPENSER TAPE",1.90,1.99,24,1,0.95,22.80,0.0120,6.56,5012128462795,05024004760475,24,12,0.01,4.56,1.90,1.99
25,SOAK,"STAT, BLOK SOFT FEEL STAPLER",2.50,2.50,48,2,1.25,60.00,0.0286,8.76,5012128462771,05024004760437,24,12,0.02,12,2.50,2.50
26,LANP,"STAT, READING LAMP X3 COLOURS",1.04,1.25,24,1,0.52,12.48,0.0159,1.70,5012128472893,05024004777404,24,12,0.01,2.5,1.04,1.25
27,SOAU/1,"STAT,BLOK POCKET CALCULATOR (3 CLRS)",1.16,1.25,24,1,0.58,13.92,0.0084,1.70,5012128467325,05024004767986,24,12,0.01,2.78,1.16,1.25
28,RASQ,"STAT,A5 FLICKER NBOOK-RASCALS",1.10,1.25,40,2,0.55,22.00,0.0162,7.24,5012128486159,05024004801253,20,0,0.01,4.4,1.10,1.25
29,RASS,"STAT,3PK RETRACTABLE PENS-RASCALS",1.10,1.25,24,1,0.55,13.20,0.0091,1.36,5012128486098,05024004801147,24,12,0.00,2.64,1.10,1.25
30,OWCB,"STAT,2PK SHAPED SHARPENERS-OWLS",1.04,1.25,24,1,0.52,12.48,0.0184,1.52,5012128486432,05024004801673,24,12,0.01,2.5,1.04,1.25
31,OWRL,"STAT,3 PENS WITH CLIP-OWLS",1.04,1.25,24,1,0.52,12.48,0.0161,1.46,5012128486401,05024004801611,24,12,0.01,2.5,1.04,1.25
32,OWLS,"STAT,A5 DIECUT N'BOOK-OWLS,120",1.10,1.25,24,1,0.55,13.20,0.0097,4.66,5012128486456,05024004801710,24,12,0.00,2.64,1.10,1.25
33,OWLD,STAT-A4 PP TWINWIRE N'BOOK-OWLS,2.20,2.25,24,2,1.10,26.40,0.0272,11.32,5012128486463,05024004801734,12,0,0.02,5.28,2.20,2.25
34,OWLL,"STAT,A4 CLIPBOARD-OWLS",1.08,1.25,24,1,0.54,12.96,0.0165,3.30,5012128486289,05024004801512,24,12,0.01,2.59,1.08,1.25
35,OWLR,"STAT, TINNED PENCIL CASE - OWLS",1.10,1.25,24,1,0.55,13.20,0.0124,1.84,5012128486388,05024004801598,24,12,0.00,2.64,1.10,1.25
36,CHEB,"STAT,ELASTICATED A4 FILE-CHERRY BLOS",1.04,1.25,24,1,0.52,12.48,0.0095,2.36,5012128485817,05024004800706,24,12,0.00,2.5,1.04,1.25
37,CHDD,"STAT,A4 CB NBOOK,80SH/160PGS-CHERRY",2.20,2.25,24,2,1.10,26.40,0.0332,13.84,5012128485862,05024004800805,12,0,0.03,5.28,2.20,2.25
38,CHDF/1,"STAT,A5 NBOOK-CHERRY BLOSSOM",1.10,1.25,24,2,0.55,13.20,0.0140,2.00,5012128485886,05024004800843,12,0,0.00,2.64,1.10,1.25
39,CHED,"STAT,FLAT PENCIL CASE-CHERRY BLOSSOM",1.50,1.75,24,1,0.75,18.00,0.0136,1.68,5012128485916,05024004800904,24,12,0.01,3.6,1.50,1.75
40,CHET,"STAT,SLIM NBOOK WITH PEN-CHERRY BLOS",1.04,1.25,24,1,0.52,12.48,0.0125,4.06,5012128487545,05024004803776,24,12,0.01,2.5,1.04,1.25
41,SPOZ,"STAT,RINGBINDER-SPOTS DESIGN X2",1.20,1.25,24,1,0.60,14.40,0.0311,6.16,5012128489273,05024004807262,24,0,0.03,2.88,1.20,1.25
42,SPOH,"STAT,A4 SOFT CVR NBOOK,140PGS-SPOTS",2.30,2.50,12,1,1.15,13.80,0.0098,4.74,5012128486197,05024004801338,12,0,0.00,2.76,2.30,2.50
43,SPOJ,"STAT,A5 SOFT CVR NBOOK,140PGS-SPOTS",1.10,1.25,12,1,0.55,6.60,0.0047,2.36,5012128486203,05024004801352,12,0,0.00,1.32,1.10,1.25
44,SPOE/1,"STAT,2PK A5 NOTEBOOKS",1.10,1.25,24,1,0.55,13.20,0.0061,2.98,5012128486210,05024004801376,24,0,0.00,2.64,1.10,1.25
45,GIDE,"STAT, GIFTING DESK PAD",1.10,1.25,24,1,0.55,13.20,0.0102,5.26,5012128481178,05024004792438,24,0,0.00,2.64,1.10,1.25
46,GILP,"STAT, SHOPPING LIST PAD(GIFTING)",1.04,1.25,24,1,0.52,12.48,0.0079,4.02,5012128478505,05024004787236,24,0,0.00,2.5,1.04,1.25
47,GIQQ,"STAT,GIFTING PVC SLIP IN ALBUM",1.50,1.75,24,1,0.75,18.00,0.0233,5.18,5012128484070,05024004797266,24,12,0.01,3.6,1.50,1.75
48,GINB,"STAT, 3 POCKET NOTEBOOKS (GIFTING)",1.04,1.25,24,1,0.52,12.48,0.0078,3.16,5012128478529,05024004787274,24,12,0.00,2.5,1.04,1.25
49,ZENN,"STAT,A4 SOFT CVR NBOOK,140PGS-ZEN",2.40,2.50,20,1,1.20,24.00,0.0167,8.26,5012128486494,05024004801796,20,0,0.01,4.8,2.40,2.50
50,ZENO,"STAT,A5 SOFT CVR NBOOK,160PGS-ZEN",1.10,1.25,18,1,0.55,9.90,0.0077,3.66,5012128486500,05024004801819,18,0,0.00,1.98,1.10,1.25
51,REFL,"STAT,8 FINELINERS",1.00,1.25,24,1,0.50,12.00,0.0046,1.50,5012128434617,05024004719428,24,12,0.00,2.4,1.00,1.25
52,REFM,"STAT,8 FINELINERS-(BLACK/BLUE)",1.00,1.25,24,1,0.50,12.00,0.0045,1.50,5012128486777,05024004802359,24,12,0.00,2.4,1.00,1.25
53,PCMT,"STAT,6 BALLPOINT PENS ON BLISTER",1.00,1.25,24,1,0.50,12.00,0.0100,1.50,5012128472954,05024004777527,24,12,0.01,2.4,1.00,1.25
54,REFP,"STAT,FOUNTAIN PEN WITH 4 INK CART",0.90,1.00,24,1,0.45,10.80,0.0102,1.04,5012128434556,05024004719329,24,12,0.00,2.16,0.90,1.00
55,REIC/1,"STAT,INK CARTRIDGES BLACK/BLUE",0.70,1.00,24,1,0.35,8.40,0.0056,1.00,5012128434570,05024004719343,24,12,0.00,1.68,0.70,1.00
56,MINH,"STAT,6PK MINI HIGHLIGHTERS IN WALLET",1.00,1.25,24,1,0.50,12.00,0.0046,0.92,5012128486869,05024004802533,24,12,0.00,2.4,1.00,1.25
57,FTTR/2,"STAT,18 TRIANGLE COLOURING PENCILS",1.04,1.10,48,1,0.52,24.96,0.0242,6.50,5012128384394,05024004636909,48,24,0.02,4.99,1.04,1.10
58,MEPE,"STAT, 3 METALLIC MARKERS",1.04,1.10,24,1,0.52,12.48,0.0126,1.52,5012128471780,05024004775844,24,12,0.01,2.5,1.04,1.10
59,REWM/1,"STAT,3 WHITE WINDOW MARKERS",1.00,1.25,24,1,0.50,12.00,0.0093,1.48,5012128434549,05024004719305,24,12,0.00,2.4,1.00,1.25
60,RMAG,"STAT, X8 ROUND MAGNETS",1.00,1.25,24,1,0.50,12.00,0.0096,2.30,5012128473227,05024004777947,24,12,0.00,2.4,1.00,1.25
61,STT/3,"STAT, 5000 26/6 STAPLES",0.64,0.75,40,1,0.32,12.80,0.0079,6.06,5012128579004,05024004579008,40,20,0.00,2.56,0.64,0.75
62,CALC/1,"STAT, DESK CALCULATOR",2.20,2.25,24,1,1.10,26.40,0.0255,3.40,5012128472510,05024004776704,24,12,0.02,5.28,2.20,
63,BUXT/3,"STAT,FOOLSCAP BOX BOX FILE(3CLRS)",4.30,4.30,12,1,2.15,25.80,0.0891,7.48,5012128360442,05024004584040,12,0,0.08,5.16,4.30,
64,EXGO/1,"STAT,BOX FILE, ELASTIC CORNERS",1.40,1.50,24,1,0.70,16.80,0.0572,3.58,5012128360435,05024004584026,24,0,0.10,3.36,1.40,
65,REGP/1,"STAT, 60 SH SQUARE PAPER REFILL PAD",1.04,1.10,24,1,0.52,12.48,0.0158,9.52,5012128434426,05024004719121,24,12,0.00,2.5,1.04,
66,REGR,"STAT,60SH GRAPH REFILL PAD",1.04,1.10,24,1,0.52,12.48,0.0108,6.08,5012128496516,05024004818718,24,12,0.00,2.5,1.04,
67,REMC,"STAT,100 NOTE CARDS",0.94,1.00,24,1,0.47,11.28,0.0096,5.62,5012128434457,05024004719183,24,12,0.00,2.26,0.94,
68,KKG/3,"STAT,COPIER PAPER 90SHEET",1.10,1.10,32,1,0.55,17.60,0.0250,13.76,5012128087370,05024004087374,32,0,0.02,3.52,1.10,
69,FRTP/1,"STAT,40M X 48MM FRAGILE TAPE",0.96,1.00,24,1,0.48,11.52,0.0151,2.80,5012128384912,05024004637944,24,12,0.01,2.3,0.96,
70,BQV/2,"STAT,40M BINGO MARKER (CDU)",0.56,0.60,48,1,0.28,13.44,0.0116,2.68,5012128064333,05024004064337,48,24,0.01,2.69,0.56,
