Dot,Code,Name,Cost,Em,Min,Barcode
•,G3408,Thelwell - Up for the Cup 500pc,4.35,,2,5012269034080
•,G2210,The Secret Garden 100XXL,4.35,,X,5012269022100
•,G2211,Vintage Fair 100XXL,4.35,,X,5012269022117
,G2207,The New Major 100XXL,4.35,,X,5012269022070
,G2209,Catch us if you Can 100XXL,4.35,,X,5012269022094
•,G2706,Barks Cafe 250XXL,4.35,,X,5012269027068
,G2703,The Village Fete 250XXL,4.35,,X,5012269027037
•,G3515,Spoilt for Choice 500XXL,6.2,,X,5012269035155
•,G3516,The Flicks 500XXL,6.2,,X,5012269035162
,G3505,Puppies will be Puppies 500XXL,6.2,,X,5012269035056
•,G3517,Picnic on the Green 500XXL,6.2,,X,5012269035179
,G3514,Exotic Friends 500XXL,6.2,,X,5012269035148
,G3510,The Airshow 500XXL,6.2,,X,5012269035100
,G3511,Home Sweet Home 500XXL,6.2,,X,5012269035117
,G3512,Beads & Buttons 500XXL,6.2,,X,5012269035124
•,G3089,Octagon Garage,4.35,,X,5012269030891
,G3075,Blackpool Promenade,4.35,,X,5012269030754
,G3030,Waterside Delivery ,4.35,,X,5012269030303
,G3077,Pick Your Own (also available as 2000pc),4.35,,X,5012269030778
•,G3091,Treasure Hunt,4.35,,X,5012269030914
,G3056,A Ride with Mum ,4.35,,X,5012269030563
,G892,Port Isaac,4.35,,X,5012269008920
,G3035,Wagging Tails,4.35,,X,5012269030358
•,G3094,Peeping Tom,4.35,,X,5012269030945
•,G3090,A Thelwell Christmas,4.35,,X,5012269030907
,G3086,Thelwell - Boxing Up,4.35,,X,5012269030860
,G3071,Touring the Highlands,4.35,,X,5012269030716
•,G3093,Sixties Scene,4.35,,X,5012269030938
,G3082,Woodbridge,4.35,,X,5012269030822
,G3060,Tea at the Farm,4.35,,X,5012269030600
,G3044,Springtime Splendour,4.35,,X,5012269030440
,G3084,Tea on the Terrace,4.35,,X,5012269030846
,G3079,Twilight Reflections (also available as 2000pc),4.35,,X,5012269030792
,G3033,Hidden Hideaway,4.35,,X,5012269030334
,G3074,Baking Day,4.35,,X,5012269030747
•,G3092,A Narrow Escape,4.35,,X,5012269030921
,G3088,Bourton at Christmas,4.35,,X,5012269030884
,G3083,Horse Power,4.35,,X,5012269030839
•,G4031,Seaside Train 636pc,4.85,,X,5012269040319
,G4016,Lunch at The Swan 636pc,4.85,,X,5012269040166
,G4018,New Forest Junction 636pc,4.85,,X,5012269040180
•,G4032,Under the Clock 636pc,4.85,,X,5012269040326
•,G4033,Weymouth 636pc,4.85,,X,5012269040333
•,G4034,Riverside Festival 636pc,4.85,,X,5012269040340
,G4024,Arrival at Temple Meads 636pc,4.85,,X,5012269040241
,G4019,Butterflies and Blooms 636pc,4.85,,X,5012269040197
,G4030,Sunshine & Steam 636pc,4.85,,X,5012269040302
,G4021,The Dambusters 636pc,4.85,,X,5012269040210
•,G5041,Then & Now 2x 500pc,6.8,,X,5012269050417
,G5031,Knights of the Road 2x 500pc,6.8,,X,5012269050318
,G5030,The Postman's Round 2 2x 500pc,6.8,,X,5012269050301
,G5032,Working Together 2x 500pc,6.8,,X,5012269050325
,G5025,Flora & Fauna 4x500pc,9.45,,X,5012269050257
•,G5037,The Country Bus 4x500pc,9.45,,X,5012269050370
,G5033,Bobby’s Beat 4x500pc,9.45,,X,5012269050332
,G5018,Rag & Bone 4x500pc,9.45,,X,5012269050189
,G5034,Out & About 4x500pc,9.45,,X,5012269050349
•,G5038,The Glory of Steam 4x500pc,9.45,,X,5012269050387
,G5005,The Postman's Round 4x500pc,9.45,,X,5012269050059
,G5035,Still Waters 2x1000pc,9.45,,X,5012269050356
,G5004,Clovelly 2x1000pc,9.45,,X,5012269050042
,G7065,Buckingham Palace 1000pc,6.2,,X,5012269070651
•,G7073,The Brands that Built Britain 1000pc,6.2,,X,5012269070736
•,G3408,Thelwell - Up for the Cup (500pc gift) ,4.35,,X,5012269034080
•,G3090,A Thelwell Christmas (500pc) (see p49),4.35,,X,5012269030907
,G3086,Thelwell - Boxing Up (500pc) (see p49) ,4.35,,X,5012269030860
•,G7077,Thelwell - Flower Show (1000pc),6.2,,X,5012269070774
,G7070,Thelwell - Up for the Cup (1000pc),6.2,,X,5012269070705
•,G6180,Lovelight Cottage 1000pc,6.9,,X,5012269061802
,G6175,High Country Christmas  1000pc,6.9,,X,5012269061758
•,G6181,Sunset on Snowflake Lake 1000pc,6.9,,X,5012269061819
,G6096,Central Park in the Fall  1000pc,6.9,,X,5012269060966
,G6132,Evening at Swanbrooke Cottage  1000pc,6.9,,X,5012269061321
•,G7075,Oops! - School Days  1000pc,6.2,,X,5012269070750
,G7061,Oops! - Mudstock  1000pc,6.2,,X,5012269070613
,G7060,Oops! - Street Life  1000pc,6.2,,X,5012269070606
,G7056,I Love Winter  1000pc,6.2,,X,5012269070569
,G579,I Love London  1000pc,6.2,,X,5012269005790
,G7021,I Love Spring  1000pc,6.2,,X,5012269070217
,G591,I Love Boats 1000pc,6.2,,X,5012269005912
,G811,I Love Gardening 1000pc,6.2,,X,5012269008111
,G7038,I Love Summer  1000pc,6.2,,X,5012269070385
,G509,I Love Car Boot Sales 1000pc,6.2,,X,5012269005097
,G7013,I Love Christmas  1000pc,6.2,,X,5012269070132
,G787,I Love the Weekend 1000pc,6.2,,X,5012269007879
•,G6184,Spoilt for Choice 1000pc,6.2,,X,5012269061840
,G6104,Cadgwith Cove 1000pc,6.2,,X,5012269061048
•,G6185,The Flicks 1000pc,6.2,,X,5012269061857
,G6113,The Market Stall 1000pc,6.2,,X,5012269061130
,G6061,Grandad's Workshop 1000pc,6.2,,X,5012269060614
•,G6187,Glamping Cats 1000pc,6.2,,X,5012269061871
,G916,Gateway to Snowdonia 1000pc,6.2,,X,5012269009163
,G6161,Rural Life 1000pc,6.2,,X,5012269061611
,G6070,Castle Combe 1000pc,6.2,,X,5012269060706
,G6108,A Lost Stitch 1000pc,6.2,,X,5012269061086
•,G6188,Afternoon Amble 1000pc,6.2,,X,5012269061888
,G6162,End of an Era 1000pc,6.2,,X,5012269061628
,G6150,Life in the Slow Lane 1000pc,6.2,,X,5012269061505
,G6144,Farmyard Friends 1000pc,6.2,,X,5012269061444
•,G6190,Behind Closed Doors 1000pc,6.2,,X,5012269061901
,G6152,Salcombe Harbour 1000pc,6.2,,X,5012269061529
,G6163,Taking the Tram 1000pc,6.2,,X,5012269061635
,G6153,An Apple a Day 1000pc,6.2,,X,5012269061536
•,G6189,Robin Hood's Bay 1000pc,6.2,,X,5012269061895
,G6086,Meadow Farm 1000pc,6.2,,X,5012269060867
,G6147,Puss In Books 1000pc,6.2,,X,5012269061475
•,G6191,The Toy Shop 1000pc,6.2,,X,5012269061918
,G6173,The Fishing Shed 1000pc,6.2,,X,5012269061734
,G6137,Tender Loving Care 1000pc,6.2,,X,5012269061376
,G6158,Dayton's Garage 1000pc,6.2,,X,5012269061581
,G6157,The Little Treasures 1000pc,6.2,,X,5012269061574
•,G6192,Off Piste 1000pc,6.2,,X,5012269061925
,G6072,Bourton on the Water 1000pc,6.2,,X,5012269060720
,G6166,Home Sweet Home 1000pc,6.2,,X,5012269061666
,G6151,Summer Saturday at Snow Hill 1000pc,6.2,,X,5012269061512
•,G6182,Barks Cafe 1000pc,6.2,,X,5012269061826
,G6178,Glenny's Garden Shop 1000pc,6.2,,X,5012269061789
,G6176,Land Girls 1000pc,6.2,,X,5012269061765
,G6177,Water's Edge 1000pc,6.2,,X,5012269061772
•,G6183,The Secret Garden 1000pc,6.2,,X,5012269061833
,G6127,Mousehole 1000pc,6.2,,X,5012269061277
,G6141,An Evening in Paris 1000pc,6.2,,X,5012269061413
,G6092,After the Rain 1000pc,6.2,,X,5012269060928
•,G6193,Vintage Fair 1000pc,6.2,,X,5012269061932
,G6172,Fortress Malta 1000pc,6.2,,X,5012269061727
,G476,Padstow Harbour 1000pc,6.2,,X,5012269004762
•,G6194,Picnic on the Green 1000pc,6.2,,X,5012269061949
,G6169,The Caravan Site 1000pc,6.2,,X,5012269061697
,G6170,A Busy Yard 1000pc,6.2,,X,5012269061703
,G6143,Hop Country 1000pc,6.2,,X,5012269061437
,G6138,A Special Treat 1000pc,6.2,,X,5012269061383
•,G6186,The Deli 1000pc,6.2,,X,5012269061864
,G6174,Waterloo – Scotland Forever 1000pc,6.2,,X,5012269061741
,G6171,Catch us if you Can 1000pc,6.2,,X,5012269061710
,G6168,The Airshow 1000pc,6.2,,X,5012269061680
•,G2016,Christmas Limited Edition (available July),,,X,5012269020168
•,G8012,Afternoon Amble 2000pc,9.45,,X,5012269080124
