Price,Code,Name,Marketing Description,OuterQ,Barcode,OuterB,Product Range,Brand Name,Length,Width,Height,Product Volume
1.21,0002.110    ,GOURMET SMALL 14CM SOUFFLE                   ,"The Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 14cm Souffle Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",12,5010853001296,05010853833712,GOURMET KITCHEN COLL          ,RAYWARE                       ,152,152,75,0.0017328
1.45,0002.114    ,GOURMET 18X11CM OBLONG DISH                  ,"The Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 18x12cm Oblong Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",12,5010853001777,05010853833477,GOURMET KITCHEN COLL          ,RAYWARE                       ,178,117,34,0.000708084
1.86,0002.123    ,GOURMET OVAL 17CM PIE DISH                   ,"The Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 17cm Oval Pie Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",12,5010853139302,05010853833521,GOURMET KITCHEN COLL          ,RAYWARE                       ,170,132,60,0.0013464
1.83,0002.124    ,GOURMET 24X15CM OVAL DISH                    ,"The Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 24x15cm Oval Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853001357,05010853833729,GOURMET KITCHEN COLL          ,RAYWARE                       ,246,150,48,0.0017712
1.83,0002.125    ,GOURMET 24X14CM OBLONG DISH                  ,"The Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 24 x 14cm Oblong Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853001371,05010853833736,GOURMET KITCHEN COLL          ,RAYWARE                       ,242,153,49,0.001814274
2.29,0002.135    ,GOURMET 24CM FLAN DISH                       ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 24cm Flan Dish is made from fine durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853001395,05010853833750,GOURMET KITCHEN COLL          ,RAYWARE                       ,240,240,44,0.0025344
2.75,0002.136    ,GOURMET 28X19CM OVAL DISH                    ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 28 x19cm Oval Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853001401,05010853833767,GOURMET KITCHEN COLL          ,RAYWARE                       ,286,189,60,0.00324324
2.29,0002.137    ,GOURMET 30X17CM OBLONG DISH                  ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 30 x 17cm Oblong Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853001425,05010853833774,GOURMET KITCHEN COLL          ,RAYWARE                       ,300,170,66,0.003366
2.29,0002.138    ,GOURMET 29X18CM DIVIDED DISH                 ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 29 x 18cm Divided Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853001432,05010853833781,GOURMET KITCHEN COLL          ,RAYWARE                       ,292,178,68,0.003534368
2.29,0002.139    ,GOURMET 24CM SQUARE ROASTER                  ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 24cm Square Roaster is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853139388,05010853833743,GOURMET KITCHEN COLL          ,RAYWARE                       ,240,240,61,0.0035136
2.91,0002.145    ,GOURMET 33X22CM LASAGNE DISH                 ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 33 x 22cm Lasagne Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853163666,05010853860251,GOURMET KITCHEN COLL          ,RAYWARE                       ,330,220,72,0.0052272
3.75,0002.146    ,GOURMET 33X27CM RECTANGULAR DISH             ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 33 x 27cm Rectangular Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853025575,05010853833798,GOURMET KITCHEN COLL          ,RAYWARE                       ,330,270,69,0.0061479
4.78,0002.148    ,GOURMET 2.25LITRE CASSEROLE DISH & LID       ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 2.25litre Casserole Dish is made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",4,5010853093994,05010853833705,GOURMET KITCHEN COLL          ,RAYWARE                       ,215,215,120,0.005547
3.5,0002.150    ,GOURMET SET OF 2 RECTANGLE ROASTERS          ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 2 Rectangle Roasters are made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853158884,05010853853321,GOURMET KITCHEN COLL          ,RAYWARE                       ,323,172,66,0.003666696
3.5,0002.157    ,GOURMET SET OF 2 SQUARE ROASTERS             ,"Rayware Gourmet Kitchen Collection is perfect for professional and home cooking enthusiasts. The 2 Square Roasters are made from fine, durable stoneware which is microwave, dishwasher, oven and freezer safe. With an easy to clean glaze surface.",6,5010853163093,05010853859408,GOURMET KITCHEN COLL          ,RAYWARE                       ,240,240,60,0.003456
