Code,price,Name,Description,Short Description,Long Description,CartonQty,Pallet Quantity,EanBarcode,ITF Barcode,Net Weight,Image Main,Image 1,Image 2,Image 3,Video,Alternative 1,Alternative 2,Alternative 3,Acessories 1,Acessories 2,Acessories 3
WNETTC1,2.95,13mm Chicken Wire,13mm chicken wire. L4m x H0.9m. Galvanised tough woven 13mm mesh. Shrink wrapped with a full colour insert label.,13mm chicken wire. L4m x H0.9m. Galvanised tough woven 13mm mesh.,Standard 13mm Chicken Wire Size: 4m x 0.9m Wrapped in shrink wrap with full colour label.,6,336,5013478122049,5.01348E+12,1.19,rsz_f57b0cd43a0d450baada9cfa43f2c37e.jpg,WNETTC1_1.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\W\WNETTC1_1.pdf,,,WNETTC2,WNETTW1,WNETTW2,GGHDDRL,,
KCFOIL6,0.50,45cmx6m Aluminium Kitchen Catering Foil,30cmx10m aluminium kitchen catering foil. Packed in a full colour carton.,30cmx10m aluminium kitchen catering foil.,.,12,1908,5013478139566,5.01348E+12,0.07,rsz_6af183b8b1334efbb78e76831d87731b.jpg,,,,,,,,,,
KCFOIL10,0.50,30cm x 10m Aluminium Catering Kitchen Foil,30cm x 10m catering aluminium kitchen foil. Thickness 11 microns. Packed in a full colour box.,30cm x 10m catering aluminium kitchen foil. Thickness 11 microns.,,12,2640,5013478117830,5.01348E+12,0.07,rsz_5dfa611a8ada47429ba60840c4a744ef.jpg,,,,,,,,,,
KCFOIL45,1.00,"45cm x 15m Catering Aluminium Kitchen Foil",45cm x 15m catering aluminium kitchen foil. Thickness 11 microns. Packed in a full colour box.,45cm x 15m catering aluminium kitchen foil. Thickness 11 microns.,Extra long catering foil ideal for use in food preparation cooking and storage. Packed in a full colour box.,12,864,5013478111487,5.01348E+12,0.18,main_KCFOIL45_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\K\KCFOIL45.png,,,,KCFOIL30,,,,,
KCFOIL30,1.00,30cm x 25m Catering Aluminium Kitchen Foil,30cm x 25m catering aluminium kitchen foil. Thickness 11 microns. Packed in a full colour box.,30cm x 25m catering aluminium kitchen foil. Thickness 11 microns.,Extra long catering foil ideal for use in food preparation cooking and storage. Packed in a full colour box.,12,1224,5013478111470,5.01348E+12,0.2,main_KCFOIL30_PA.jpg,,,,,KCFOIL45,,,,,
KCCLING3,0.50,40m x 30cm CateringCling Film Wrap,40m x 30cm catering cling film wrap. Suitable for use in the fridge freezer and microwave. Packed in a full colour box.,40m x 30cm catering cling film wrap. Suitable for use in the fridge freezer and microwave. Packed in a full colour box.,Cling Film 40m x 30cm,12,2640,5013478137197,5.01348E+12,0.09,rsz_cbda5c241c7c46b09981534789f2e991.jpg,,,,,KCCLING,,,,,
BF016,0.50,Suet Cake Feeder,Suet cake feeder. Plastic coated wire construction. Complete with hanging chain. Packed with a full colour label.,Suet cake feeder. Plastic coated wire construction. Complete with hanging chain.,Green wire suet cake feeder (14cm x 12cm) Comes complete with full colour label.,12,1440,5013478112132,5.01348E+12,0.1,main_BF016_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BF016.png,,,,BF022,BFSET4,,BFSC02,BFSC03,BFSC04
BF028,0.50,Green Standard Bird Seed Feeder,Green colour standard bird seed feeder. Sturdy plastic construction. Ideal for hanging in the garden for attracting and feeding wild birds. Complete with a full colour wrap around label.,Green colour standard bird seed feeder. Sturdy plastic construction. Ideal for hanging in the garden for attracting and feeding wild birds.,.,12,792,5013478140241,5.01348E+12,0.05,rsz_a0e511104ef84379a66b86de5a8c7b1a.jpg,,,,,BF011,BF012,,BF18S,BF36KGS,
BF027,0.50,Green Standard Bird Nut Feeder,Green colour standard nut feeder. Wire mesh and plastic construction. Ideal for hanging in the garden for attracting and feeding wild birds. Complete with a full colour wrap around label.,Green colour standard nut feeder. Wire mesh and plastic construction. Ideal for hanging in the garden for attracting and feeding wild birds.,.,12,1008,5013478140234,5.01348E+12,0.06,rsz_b889278a68964ada99217adc61d524d3.jpg,,,,,BF001,BF002,BF018,BF18N,BF5N,
BF007S,2.50,Squirrel Guard Seed Feeder,Squirrel guard seed feeder. Plastic coated metal construction. Designed to deter squirrels but allows smaller birds to feed. Complete with a full colour wrap around label.,Squirrel guard seed feeder. Plastic coated metal construction. Designed to deter squirrels but allows smaller birds to feed.,Large attractive metal bird feeder design to keep squirrels out and allows small birds to feed. Comes with wrap around full colour display label.,6,180,5013478117748,5.01348E+12,0.38,main_BF007S_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BF007S.pdf,,,,BF007,BF007FB,,BF127S,BF18S,
BF007,2.50,Squirrel Guard Nut Feeder,Squirrel guard nut feeder. Plastic coated metal construction. Designed to deter squirrels but allows smaller birds to feed. Complete with a full colour wrap around label.,Squirrel guard nut feeder. Plastic coated metal construction. Designed to deter squirrels but allows smaller birds to feed.,Large attractive metal bird feeder design to keep squirrels out and allows small birds to feed. Comes with wrap around full colour display label. part of the new colour coded Bird care range linking feed to feeder.,6,180,5013478555328,5.01348E+12,0.35,main_BF007_PA.jpg,Z:\WAREHOUSE\GOODS-IN\Configuration sheets\BF007.png,,,,BF007FB,BF007S,,BF18N,BF127N,
