Pcode,Description,Barcode,Cost,Outer,InnerQ
1979, Foam Filler bush,5030064019798,0.48,144,24
1977,Anenome Bush,5030064019774,0.48,144,24
1017,Cymbidium Bush,5030064010177,0.48,144,24
1910,Cabage Rose Bush,5030064019101,0.48,144,24
1906,Tiger Lily bush,5030064019064,0.48,144,24
1936,Mini carnation bush,5030064019361,0.48,144,24
1963,Tight head rose bud bush,5030064019637,0.48,144,24
1935,Garden Rose bush,5030064019354,0.48,144,24
1023,Hydrangea Bush,5030064010238,0.48,144,24
1931,Geranium bush,5030064019316,0.48,144,24
1975,medium rose bud bush,5030064019750,2.5,30,6
1992,Peony Phalaenopsis,5030064019927,1.5,24,12
1993,Leather Fern Bush,5030064019934,1.75,48,12
1983,Rose/cala lilly bush,5030064019835,2.5,24,6
1077,35 Head anenome bush,5030064010771,2,24,8
1035,Large Tiger Lilly Bush,5030064010351,2.5,36,8
