ProductCode,Description,Cartons,OuterQty,TotQty,Price,Vat,TotPrice,Barcode,BarcodeCode,NearlyFull,FullBarcide
47/016,Party Toothpicks 400pcs/100,1,100,100,0.41,1,41.00,5030481,47016,503048147016,5030481470165
93/009,Foil Oven Dishes Square 205x205x50mm 3pc/24,1,24,24,0.53,1,12.72,5030481,93009,503048193009,5030481930096
93/010,Foil Oven Dishes & Lids Small 150x120x46mm 9pc/24,2,24,48,0.50,1,24.00,5030481,93010,503048193010,5030481930102
93/011,Foil Oven Dishes & Lids Large 200x111x55mm 6pc/24,2,24,48,0.50,1,24.00,5030481,93011,503048193011,5030481930119
93/018,Foil Containers & Lids Rectangle 260x190x63mm 4pc/50,1,50,50,0.80,1,40.00,5030481,93018,503048193018,5030481930188
93/019,Foil Oven Dishes Small 130x100x40mm 12pc/48,1,48,48,0.50,1,24.00,5030481,93019,503048193019,5030481930195
93/020,Food Containers & Lids Plastic 500ml 6pc/36,1,36,36,0.50,1,18.00,5030481,93020,503048193020,5030481930201
93/022,Food Containers & Lids Plastic 1000ml 4pc/36,1,36,36,0.50,1,18.00,5030481,93022,503048193022,5030481930225
93/024,Food Containers & Lids Rectangle Plastic 750ml 5pc/36,1,36,36,0.50,1,18.00,5030481,93024,503048193024,5030481930249
93/033,Food Containers & Lids Plastic Round 300ml 10oz 8pc/36,1,36,36,0.50,1,18.00,5030481,93033,503048193033,5030481930331
93/034,Food Containers & Lids Plastic Round 500ml 16oz 6pc/36,1,36,36,0.50,1,18.00,5030481,93034,503048193034,5030481930348
93/041,Foil Cake Cases 6cm 16pc/48,1,48,48,0.48,1,23.04,5030481,93041,503048193041,5030481930416
94/040,Banqueting Roll Red 8m x118cm/25,1,25,25,1.80,1,45.00,5030481,94040,503048194040,5030481940408
94/205,Table covers Paper Ivory 90 X 90cm 2pc/36,1,36,36,0.53,1,19.08,5030481,94205,503048194205,5030481942051
94/302,"Table Covers Plastic Ivory 54"" X 54"" 2pc/24",1,24,24,0.50,1,12.00,5030481,94302,503048194302,5030481943027
94/303,"Table Covers Plastic Red 54"" X 54"" 2pc/ 24",1,24,24,0.50,1,12.00,5030481,94303,503048194303,5030481943034
94/308,"Table Covers Plastic Lilac 54"" X 54"" 2pc/24",1,24,24,0.50,1,12.00,5030481,94308,503048194308,5030481943089
94/309,"Table Covers Plastic Pink 54"" X 54"" 2pc/24",1,24,24,0.50,1,12.00,5030481,94309,503048194309,5030481943096
94/310,"Table Covers Plastic Light Blue 54"" X 54"" 2pc/24",1,24,24,0.50,1,12.00,5030481,94310,503048194310,5030481943102
94/311,"Table Covers Plastic Blue 54"" X 54"" 2pc/24",1,24,24,0.50,1,12.00,5030481,94311,503048194311,5030481943119
94/313,"Table Covers Plastic Gold 54"" x 54"" 2pc/24",1,24,24,0.54,1,12.96,5030481,94313,503048194313,5030481943133
94/314,"Table Covers Plastic Silver 54"" x 54"" 2pc/24",1,24,24,0.54,1,12.96,5030481,94314,503048194314,5030481943140
95/001,Cutlery Knives Plastic White 50pc/60,1,60,60,0.35,1,21.00,5030481,95001,503048195001,5030481950018
95/002,Cutlery Forks Plastic White 50pcs./48,1,48,48,0.35,1,16.80,5030481,95002,503048195002,5030481950025
95/003,Cutlery Spoons Plastic White 50pc./48,1,48,48,0.35,1,16.80,5030481,95003,503048195003,5030481950032
96/019,Drink Tumblers Plastic 1/2pint 20pcs/36,1,36,36,0.50,1,18.00,5030481,96019,503048196019,5030481960192
