PRODUCTCODE,Description,Cartons,Outer,TotalPieces,PRICE,GROSSVALUE,NETT VALUE,VAT,BARCODE
XMN0866,S/6 NATURAL XMAS GIFT BOXES,1,6,6,12.9500,77.70,76.53,15.31,5024418048053
XMN0927,14X10 2 ASTD SITT REINDEER,1,12,12,3.6000,43.20,42.55,8.51,5024418066514
XMN0899,14X10 RECTANGULAR XMAS TIN,1,72,72,1.0000,72.00,70.92,14.18,5024418060468
XMC0024,S/6 SANTA/SNOWMAN GIFT BOXES,1,6,6,11.9500,71.70,70.62,14.12,5024418939108
XMC0227,S/2 XMAS EVE ELF BOXES W/LIDS,2,12,24,5.9500,142.80,140.66,28.13,5024418080169
XCR0876,2M XMAS RIBBONS,1,96,96,0.4500,43.20,42.56,8.51,5024418956563
XCR0863,3M PRINTED XMAS RIBBON,1,80,80,0.4500,36.00,35.46,7.09,5024418949831
XMR0859,RED ASTD CONFETTI 40G,1,72,72,0.5500,39.60,39.01,7.80,5024418067658
XMS0967,SILVER/WHITE CONFETTI 40G,1,72,72,0.5500,39.60,39.01,7.80,5024418067771
XMG0395,GOLD ASSORTED CONFETTI 40G,1,72,72,0.5500,39.60,39.01,7.80,5024418067818
XMC0182,XMAS HESSIAN MINI BAG,1,72,72,0.5500,39.60,39.01,7.80,5024418055334
XCR0039,3M S'FLAKE/SLEIGH GLITT RIBBON,1,48,48,1.0000,48.00,47.28,9.46,5024418912224
XMP0012,14X7CM PLUM XMAS CANDLE,1,48,48,1.3500,64.80,63.83,12.76,5024418000204
XMP0011,7X7CM PLUM XMAS CANDLE,1,72,72,0.7000,50.40,49.64,9.93,5024418000129
XM4007,3M 30 LED XMAS LIGHT STRING,1,32,32,2.1000,67.20,66.19,13.24,5024418998204
XMS0860,S/6 SILVER XMAS GIFT BOXES,1,6,6,12.9500,77.70,76.53,15.31,5024418030966
XMB0043,S/6 BLUE XMAS GIFT BOXES,1,6,6,12.9500,77.70,76.53,15.31,5024418031260
XMN0819,S/6 XMAS GIFT BOXES,1,6,6,10.9500,65.70,64.71,12.94,5024418030720
XCR0015,PK4 FELT EMBELLISHMENTS,2,72,144,0.4500,64.80,63.84,12.77,5024418871453
XCR0031,2AST PACK 3 - 2M WRAPPING TAPE,1,72,72,0.5000,36.00,35.46,7.09,5024418872443
XCR0029,3AST 3D CHRISTMAS STICKERS,1,72,72,0.5000,36.00,35.46,7.09,5024418872306
XCR0885,14X25 WIGGLY EYE XMAS STICKERS,1,72,72,0.5500,39.60,39.01,7.80,5024418961314
XCR0896,20X10 ADHESIVE CRAFT GEMS,1,72,72,0.5500,39.60,39.01,7.80,5024418006589
XCR0017,PK15 CANDY STRIPE PIPE CLEANER,1,72,72,0.4500,32.40,31.92,6.38,5024418871507
XCR0020A,200PC XMAS CRAFTING SET,1,48,48,1.1000,52.80,52.01,10.40,5024418110965
XMR0761,S/6 RED XMAS GIFT BOXES,1,6,6,10.9500,65.70,64.71,12.94,5024418031123
XMR0785,27CM S/6 XMAS DINNER CANDLES,1,36,36,1.7500,63.00,62.06,12.41,5024418032793
XCR0882,29X9PK3 SANTA/SNOWMAN CLIPS,1,48,48,0.9000,43.20,42.55,8.51,5024418961260
CR0477,7X5 CMPK100 CLR CRAFT BAGS,1,72,72,0.5000,36.00,35.46,7.09,5024418733355
ST7001A,VINTAGE CRAFT PK50 MINI PEGS,1,72,72,0.5000,36.00,35.46,7.09,5024418053026
RH0018,24X18 SML RUSTIC TRAY 2 ASTD,1,36,36,1.2000,43.20,42.55,8.51,5024418701408
UN0001,15X11X6CM UNICORN NIGHT LIGHT,1,36,36,1.5000,54.00,53.19,10.64,5024418072461
UN0070,15X17CM UNICORN MONEY BOX,1,18,18,2.9500,53.10,52.30,10.46,5024418132721
CR0918,3M 9 FLAG HOT STAMP BUNTING,1,72,72,0.4500,32.40,31.91,6.38,5024418991151
BB0017,DUSKY 12CM BEAR MONEY BOX,1,48,48,1.0000,48.00,47.28,9.46,5024418721635
GI5835,12X9 TONAL BEAR MONEYBOX 2AST,1,48,48,1.0000,48.00,47.28,9.46,5024418596325
CR1345,4 ASTD GLITTER HEART STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418167518
CR1346,2 ASTD GLITTER STAR STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418167792
CR1353,23X10CM UNICORN STICKERS 3ASTD,1,72,72,0.4500,32.40,31.91,6.38,5024418168188
CR1354,23X10CM FOIL BUTTERFLY STICKRS,1,72,72,0.4500,32.40,31.91,6.38,5024418168195
CR1355,17X15CM BUTTERFLY STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418168201
CR1356,17X15CM 3ASTD ALPHABET STICKRS,1,72,72,0.4500,32.40,31.91,6.38,5024418168218
CR1357,16X10CM GLITTER FOAM STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418171188
HH3438B,SINGLE OVER DOOR HOOK,1,72,72,0.4800,34.56,34.04,6.81,5024418415107
CR0793A,100CM CRAFT GLITT ROLL,1,72,72,0.4500,32.40,31.91,6.38,5024418034568
HH5570,PK2 STEEL OVERDOOR HOOKS,1,72,72,0.4800,34.56,34.04,6.81,5024418011354
HH1025A,17X11CM PILL BOX,1,72,72,0.4800,34.56,34.04,6.81,5024418345664
GI6200,30X21CM PEG BOARD,1,24,24,2.5000,60.00,59.10,11.82,5024418045564
CK0013,7X12CM COCKTAIL CANDLE POT,1,48,48,1.1000,52.80,52.01,10.40,5024418047636
CR1323,PK 4 FELT CRAFT FRUITS,1,72,72,0.4800,34.56,34.04,6.81,5024418159971
CR0792A,100CM CRAFT GLITTER ROLL,1,72,72,0.4500,32.40,31.91,6.38,5024418034551
CR0796,15M PK3 JUTE TWINE,1,72,72,0.4500,32.40,31.91,6.38,5024418942825
OR0814,10X5.5CM LED CACTUS,1,54,54,1.0000,54.00,53.19,10.64,5024418077213
BR0115,2PC WOODEN NAIL BRUSHES,1,72,72,0.4800,34.56,34.04,6.81,5024418061151
HH4797,7DAY STACKABLE PILL BOX,1,72,72,0.4800,34.56,34.04,6.81,5024418467076
CR1188,3PK BIRD CLIPS W/FLOWER TAIL,1,48,48,0.9500,45.60,44.92,8.98,5024418003151
CR1366,20CM 2ASTD FOAM PARTY STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418171768
CR1367,20CM GLITTER PINEAPPLE STKRS,1,72,72,0.4500,32.40,31.91,6.38,5024418171775
CR1368,21CM 2 ASTD POP UP STICKER,1,72,72,0.4500,32.40,31.91,6.38,5024418171799
CR1369,15CM 3 ASTD CITY STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418171812
CR1370,21CM HEART LASER STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418173205
CR1371,21CM 2 ASTD LASER STICKERS,1,72,72,0.4500,32.40,31.91,6.38,5024418173281
CR1380,3 ASTD FOIL STICKERS,1,72,72,0.4800,34.56,34.04,6.81,5024418173588
HH3038A,15 ADHESIVE HOOKS,1,72,72,0.4800,34.56,34.04,6.81,5024418357278
BA0015B,50X40CM JUMBO SHOPPER,1,96,96,0.5000,48.00,47.28,9.46,5024418017639
HH0483,FUNKY FEATHER DUSTER,1,72,72,1.2500,90.00,88.65,17.73,5024418470007
MI0002B,14X14CM TWO WAY MIRROR,1,48,48,0.9500,45.60,44.92,8.98,5024418093817
EW0001A,13CM PK3 READING GLASES 2 ASTD,1,48,48,1.3500,64.80,63.83,12.76,5024418885030
HH5530,67CM EXTENDABLE BACK SCRATCHER,1,72,72,0.5000,36.00,35.46,7.09,5024418932437
KI0175,ASTD PACK PLATE STANDS,1,72,72,0.4800,34.56,34.04,6.81,5024418321002
KI6806,10X22 PK3 MAGNETIC BULDOG CLIP,1,72,72,0.4800,34.56,34.04,6.81,5024418086031
KG0154,11.5X3CM S/4 WHITE COASTERS,1,24,24,1.5000,36.00,35.46,7.09,5024418032489
GI6198,15X18X4.5CM FLASK SET,1,24,24,2.0000,48.00,47.28,9.46,5024418014195
PE0523,SAFETY FLASHER- HEART/BONE,1,72,72,0.4800,34.56,34.04,6.81,5024418395720
PE1115,"10X10 SQUEEKY PET ""MOUTH"" TOY",1,72,72,0.4800,34.56,34.04,6.81,5024418922247
