StockCode,Description,Quantity,Price,Barcode,OuterQty,InnerQty,MIN PRICE
BB-AS200,ALUMINIUM SPRING LINKS,12,0.47,5017403013747,72,12,£0.94
BB-AS201,4PC ALUMINIUM SPRING LINK SET,12,0.48,5017403022121,144,12,£0.96
BB-BD348,2PC BUNGEE CORD SET - 1200mm x 8mm,24,0.95,5017403034711,48,12,£1.90
BB-BD400,"2PC X 24"" BUNGEE CORD",24,0.62,5017403039846,36,12,£1.24
BB-BH220,1M x 8MM SQUARE LINK CHAIN,6,2.5,5017403995203,12,6,£5.00
BB-BK101,PUNCTURE REPAIR KIT,24,0.6,5017403271116,72,24,£1.20
BB-BL108,2PC LIGHT SET,12,0.65,5017403059516,72,12,£1.30
BB-BP201,"14"" BICYCLE PUMP",12,0.82,5017403971511,48,12,£1.64
BB-CH101,120 PC ASSORTED COLOUR CABLE TIE SET,12,0.49,5017403013297,72,12,£0.98
BB-CH102,"40 PC CABLE TIE SET - 20 X 4"" x 2.5mm & 20 X 8"" x",12,0.27,5017403381020,144,12,£0.54
BB-CH109,"30PC CABLE TIE SET - 15"" X 4.8MM - BLACK",12,0.55,5017403041931,144,12,£1.10
BB-CL098,8PC MICRO CLAMP SET,24,0.57,5017403012887,72,24,£1.14
BB-CL290,"4"" G CLAMP",6,1.75,5017403322900,24,6,£3.50
BB-DHM091,DEHUMIDIFIER WITH 2 X 500G REFILL PACK,12,1.65,5017403103141,12,0,£3.30
BB-DHM092,1KG CONDENSATION CRYSTAL REFILL PACK,12,0.92,5017403103158,12,0,£1.84
BB-DHM103,500ML HOUSEHOLD DEHUMIDIFIER,24,0.4,5017403049265,24,0,£0.80
BB-DHM106,500ML SCENTED HOUSEHOLD DEHUMIDIFIER - VANILLA,24,0.4,5017403065142,24,0,£0.80
BB-DS152,2PC POLYTHENE DUST SHEET PACK,12,0.49,5017403037811,72,12,£0.98
BB-DS157,DISPOSABLE COVERALLS - MEDIUM,12,0.74,5017403077954,72,12,£1.48
BB-FP151,2PC HEAVY DUTY FELT PROTECTORS,24,0.28,5017403701163,144,24,£0.56
BB-FP153,120PC ASSORTED FLOOR PROTECTOR PACK,12,0.52,5017403044154,96,12,£1.04
BB-FS200,"3PC 8"" FILE SET",12,0.85,5017403013846,48,12,£1.70
BB-GA120,"1/2"" HOSE MENDER",36,0.23,5017403730200,216,36,£0.46
BB-GG201,10PC X 100mm LARGE GLUE STICK SET,24,0.49,5017403741091,72,24,£0.98
BB-GP271,10 PC GLASS PAPER SET - ASSORTED GRITS,20,0.38,5017403762713,50,10,£0.76
BB-GS160,"4"" DUST PAN",10,0.79,5017403034438,10,0,£1.58
BB-GT101,"8"" DELUXE PRUNING SHEARS",24,1.47,5017403012214,72,12,£2.94
BB-HA055,PICTURE HANGING SET AND SPIRIT LEVEL,24,0.52,5017403015307,24,0,£1.04
BB-HA056,8PC HEAVY DUTY WALL HOOK SET,12,0.42,5017403018513,72,12,£0.84
BB-HA110,12PC HOOK SET,24,0.4,5017403080916,96,24,£0.80
BB-HA111,10PC HOOK SET,24,0.42,5017403081388,72,24,£0.84
BB-HK104,13PC PRECISION KNIFE SET,12,0.89,5017403811046,72,12,£1.78
BB-HK236,2PC HACKSAW SET,24,0.57,5017403812364,72,24,£1.14
BB-HL152,5 LED HEAD LAMP,12,0.82,5017403024644,48,12,£1.64
BB-HM151,STUBBY CLAW HAMMER,12,1.55,5017403027997,24,6,£3.10
BB-HS200,"22"" HARDPOINT HANDSAW WITH SOFT GRIP",12,1.45,5017403013082,36,6,£2.90
BB-KN325,6 PC TRANSPARENT SNAP-OFF KNIFE SET,24,0.52,5017403013372,72,24,£1.04
