No,Description,Item Taken before,Price,Outer,Inner,Barcode,Outer Barcode,Item (L),Item (W),Item (H),Inner (L),Inner (H),Outer (L),Outer (W),Outer (H),Pallet Qty,Outer Gross Weight,Outer Nett Weight,Item Gross Weight,Item Nett Weight
500SNCP,Spray Nozzle Starter Set,YES,0.552,72,12,5013478551368,,14,3.5,21.2,22.8,14.8,41,46.9,46,"1,296",10.8,9.97,0,0.1
602CP,Half Inch Tap Connector,YES,0.76,100,20,5013478520524,,5.3,6,6.5,17.3,18.5,20.5,87,33.4,"3,000",8.8,8.105,0,0.061
604CP,Half Inch Hose Connector,YES,0.312,200,20,5013478520548,,3.5,3.5,4.5,33,12.5,34.7,31.5,68,"4,800",6.8,6.086,0,0.016
604SNCP,Snap Action Female Hose Fitting,YES,0.312,200,20,5013478520661,,3.3,3.3,5.9,21.2,18.2,74.7,23.5,40,"4,800",8.1,7.458,0,0.024
610,Oscillating Sprinkler,YES,2.752,12,12,5013478550798,,12.5,40,10.5,0,0,42,43.5,30.5,384,4.43,3.711,0,0.283
613,3 Arm Rotating Sprinkler,YES,1.48,12,12,5013478551375,,7.5,16,15.8,0,0,35,39,19,972,1.556,1.084,0,0.08
622CP,Multi Tap Connector,YES,1.072,100,20,5013478551764,,5.5,5.5,11.1,29.5,12.5,30.5,50,61.5,"1,900",11.6,10.756,0,0.078
622SNCP,Snap Action Multi Purpose Tap Connector,YES,1.072,100,20,5013478552440,,5.2,5.2,12.7,22,23,25,68,58,"1,700",10.42,10.22,0,0.077
645CP,5 Dial Spray Gun,YES,0.528,48,12,5013478526458,,17,11,5.5,22.5,14,36.5,46,30,"1,440",5.185,4.578,0,0.068
B609BX,Metal Watering Can Rose,YES,0.536,100,100,5013478119544,,8.2,8.2,6,0,0,26.5,40,42.5,"3,600",5.841,5.245,0,0.052
BB100P,100 x White Value 12L Pedal Bin Liners,YES,0.496,20,20,5013478125903,,0.1,27.5,45.5,0,0,27,33.5,21.5,"1,540",5.313,5.047,0,0.227
BB50S,50 x White Value 30L Swing Bin Liners,YES,0.496,20,20,5013478125897,,110,110,65,0,0,26,32.5,22,"1,820",5.03,4.743,0,0.234
BB5R,5 x Blue Extra Strong 40L Rubble Sacks,YES,0.504,20,20,5013478130853,,30,49,68.8,0,0,19.1,28.6,13,"4,000",3.636,3.466,0,0.173
BB5WB,5 x Black Quality 440L Wheelie Bin Liners,YES,0.496,20,20,5013478130839,,2.5,2.5,11.5,0,0,21,28.5,15.5,"3,600",4.4,4.2,0,4.1
BB8GB,8 x Green Heavy Duty 75L Garden Sacks,YES,0.504,20,20,5013478130846,,0.1,60.1,79,0,0,23,29,15.5,"3,400",4.316,4.079,0,0.209
BBDOG,100 Pack Disposable Doggy Poop Bags,YES,0.52,24,24,5013478116727,,24,0.1,25,0,0,38.3,23.7,25.7,"1,872",4.978,4.712,0,0.002
BBNAP1,125 Pack Disposable Nappy Bags,YES,0.496,24,24,5013478139153,,18.2,18.2,32.5,0,0,23.8,44.4,25.3,"1,440",3.973,3.683,0,0.119
BBRS1,20 x Blue Ultra Strong 40L Rubble Sacks,YES,1.48,8,8,5013478119490,,50,50,70,0,0,27,29.5,13,"1,056",5.413,5.19,0,0.032
BC40,40in Heavy Duty Bungee Strap,YES,0.68,48,48,5013478564986,,2.2,3.4,104.2,0,0,21,34,25,"3,360",10,9.615,0,0.18
BC52,52in Heavy Duty Bungee Strap,YES,0.752,48,48,5013478564993,,2.3,3.5,63.1,0,0,23,35,27.6,"3,120",12.5,12.039,0,0.224
BF001,Standard Nut Feeder,YES,0.544,12,12,5013478555267,,7.2,7.2,27,0,0,7.2,7.2,22.4,936,0.054,0.047,0,0.047
BF007,Squirrel Guard Nut Feeder,YES,2.64,6,6,5013478555328,,17.3,17.3,36,0,0,35.7,54,27,180,2.731,2.118,0,0.347
BF007FB,Squirrel Guard Suet Fat Ball Feeder,YES,2.64,6,6,5013478117731,,15,16.5,34,0,0,35.5,52,27,180,3.045,2.374,0,0.388
BF007S,Squirrel Guard Seed Feeder,YES,2.64,6,6,5013478117748,,17.7,17.7,34.5,0,0,38.5,56,27.3,180,3.054,2.282,0,0.351
BF011,Standard Bird Seed Feeder,YES,0.544,12,12,5013478112149,,15,15,31,0,0,26.3,33.6,26,936,1,0.64,0.053,0.048
BF028,Green Standard Bird Seed Feeder,YES,0.544,12,12,5013478140241,,7.8,14,29,0,0,26.5,34,28,792,1.081,0.734,0,0.055
BF09N,0.9 Kg Bag Peanuts,YES,1.68,12,12,5013478114174,,0,0,0,0,0,25.2,46.2,28.7,600,11.6,11.155,0,0.942
BF09S,0.9kg Wild Bird Seed,YES,0.648,16,16,5013478114181,,4.7,15.5,15.5,0,0,24,47,29,800,115.4,1.1,0.935,0.926
BF18S,1.8kg Bag Wild Bird Seed,YES,1.248,8,8,5013478114167,,0,0,0,0,0,25,46.9,28.5,400,15.1,14.665,0,1.818
BFDISH,Plastic Bird Feeding Dish,YES,1.6,48,12,5013478143389,,18.6,18.6,3.8,19.5,22.3,40.5,75.8,23.9,864,6.4,5.608,0,1.007
