Item,Description,Pack,outer,qty,Price,Value,Barcode
AF0053,S/4 VINT. FLORAL DRAWER LINERS,12 I,36 Each,36 @,1.65,59.40,5024418835271
BB0023,S/6 BABY POEM GIFT BOXES,1   I,8 Each,8   @,9.50,76.00,5024418821076
BG0140,BOTANICAL SET/6 GIFTBOXES,1   I,8 Each,8 @,9.50,76.00,5024418827092
BG0154,20X13CM 2AS RIBBED BOTTLE VASE,12,48 Each,48 @,1.15,55.20,5024418844983
BG0191,25X23CM CERAMIC POURING JUG,1   I,9 Each,9   @,5.75,51.75,5024418895916
BG0192,S/2 3 ASSORTED CERAMIC POTS,,6 Each,6 @,5.50,33.00,5024418897996
BK0062,PK3 BAKING METAL COOKIE CUTTER,1 2,72 Each,72 @,0.55,39.60,5024418720447
BL0066,30CM WILLOW HEART WITH ROSES,6,18 Each,18 @,2.75,49.50,5024418834748
BL0072,2AST 6X7CM TEALIGHT HOLDER,1 2,48 Each,48 @,1. 00,48.00,5024418835196
BR0114B,3 NAIL BRUSHES PINK/BLUE/WHITE,1 2,72 Each,72   @,0.55,39.60,5024418415411
BT0013,BRIGHT OIL BURNER,12,72 Each,72 @,0.85,61 .20,5024418631439
BW1456,40X32-SEAGRASS 4PC STRGE BOXES,,4 Each,4@,15.95,63.80,5024418557883
BW1 630,43X38 NATURAL WICKER TRAY,6,24 Each,24 @,2.75,66.00,5024418685302
CD5291,PK12 - 9 HOUR WHT TEA LITES,1 2,36 Each,36 @,1.00,36.00,5024418729440
CD5340,PK10 WHITE TEA LITE CANDLES,12,72 Each,72   @,0.55,39.60,5024418738824
CD5359,S/4 IVORY TAPER CANDLES,12 I,48 Each,48 @,1. 00,48.00,5024418747116
CD5436,PK 12 WHITE CANDLES,24 I,144 Each,144 @,0.50,72.00,5024418812920
CH0681,16X15 IRON HRT BOWL ELK/COPPER,12 I,36 Each,36 @,1.60,57.60,5024418918080
CL0245,SCM CHROME ALARM CLOCK-2 ASST,6 I,48 Each,48 @,1.75,84.00,5024418424956
CR0101,SMILE FACE STICKERS 3 ASTD,1 2,72 Each,72 @,0.50,36.00,5024418652205
CR0113,3M TINSEL STYLE RIBBONS 6ASTD,48,144 Each,144 @,0.55,79.20,5024418653530
CR0162,PK5 WHT A3 CRAFT CARD 300GSM,24,72 Each,72 @,0.50,36.00,5024418677444
