StockCode,Description,Barcode,Cases,InnerQty,CaseQty,Total Qty,Required Date,Expected Month,Price,Line Total,InnerBarcode,OuterBarcode
5906,20 Sheets A4 Photo Paper Glossy,5013922059068,1,12,48,48,13/01/16,13/01/16,0.9,43.2,5013922159065,5013922859064
5924,20 Sheets A4 Matt Photo Paper,5013922059242,1,12,48,48,13/01/16,13/01/16,0.9,43.2,5013922159249,5013922859248
1102/72,20 fine tip Fibre colouring Pens,5013922011028,1,12,72,72,13/01/16,13/01/16,0.32,23.04,5013922111025,5013922811024
1116,16 Fibre pens & 16 1/2 Size Pencils,5013922011165,1,12,72,72,13/01/16,13/01/16,0.5,36,5013922111162,5013922811161
5121/48,20 Full Size Colour Pencils,5013922051215,1,12,48,48,13/01/16,13/01/16,0.46,22.08,5013922151212,5013922851211
6089,4  8 Gramm Glitter Shakers,5013922060897,1,12,72,72,13/01/16,13/01/16,0.45,32.4,5013922160894,5013922860893
6027,PVA Glue 500ml White,5013922060279,1,6,36,36,13/01/16,13/01/16,0.9,32.4,5013922160276,5013922860275
6004,4 Piece Glue Set  153gm,5013922060040,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922160047,5013922860046
6005/72,2 by 40 ml PVA Glue Bottles,5013922060057,1,12,72,72,13/01/16,13/01/16,0.27,19.44,5013922160054,5013922860053
5126,12 Natural bristle Artist Brushes,5013922051260,1,12,48,48,13/01/16,13/01/16,0.55,26.4,5013922151267,5013922851266
3058,48 Page Multi-Col Scrapbook,5013922030586,1,6,72,72,13/01/16,13/01/16,0.35,25.2,5013922130583,5013922830582
5098,20 Sheets Black Activity Card,5013922050980,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922150987,5013922850986
5095,A4 White Card 30 Sheets,5013922050959,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922150956,5013922850955
5286/48,10 Sheets A3 Pastel Card,5013922052861,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922152868,5013922852867
5287/48,20 Sheets A4 Pastel Card,5013922052878,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922152875,5013922852874
5294,40 Sheets A5 Pastel Card,5013922052946,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922152943,5013922852942
5284,20 Sheets A4 Neon Card,5013922052847,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922152844,5013922852843
5293,40 Sheets A5 Neon Card,5013922052939,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922152936,5013922852935
5283/48,10 Sheets A3 Neon Card,5013922052830,1,12,48,48,13/01/16,13/01/16,0.48,23.04,5013922152837,5013922852836
4049,Super Jumbo Colouring Book,5013922040493,1,6,48,48,13/01/16,13/01/16,0.48,23.04,5013922140490,5013922840499
4048,Super Jumbo Dot To Dot Book,5013922040486,1,6,48,48,13/01/16,13/01/16,0.48,23.04,5013922140483,5013922840482
4052,Super Jumbo Activity Book,5013922040523,1,6,48,48,13/01/16,13/01/16,0.48,23.04,5013922140520,5013922840529
5685,A3 30 Sheet Sketch Pad 2 designs,5013922056852,1,6,48,48,13/01/16,13/01/16,0.48,23.04,5013922156859,5013922856858
5148,12 Charcoal Pencils,5013922051482,1,12,48,48,13/01/16,13/01/16,0.42,20.16,5013922151489,5013922851488
5147,12 Graded Pencils,5013922051475,1,12,48,48,13/01/16,13/01/16,0.45,21.6,5013922151472,5013922851471
5146,12 Watercolour Pencils,5013922051468,1,12,48,48,13/01/16,13/01/16,0.45,21.6,5013922151465,5013922851464
5149,2 Putty Erasers,5013922051499,1,12,48,48,13/01/16,13/01/16,0.33,15.84,5013922151496,5013922851495
6720,18 Soft Pastels,5013922067209,1,12,48,48,13/01/16,13/01/16,0.45,21.6,5013922167206,5013922867205
1033,10 Technoline Pens Black ink,5013922010335,1,12,48,48,13/01/16,13/01/16,0.46,22.08,5013922110332,5013922810331
