Order number,Productcode,Inner,Outer,Description,Barcode,Order date,unitprice,Order qty pieces,Pieces allocated,Pieces picked,Pices delivered,Pieces balance,Order Qty Cartons,Cartons allocated,Cartons picked,Cartons delivered,Cartons balance ,Stock status 
131480,AF0021,30,90,30G ANTIQUE FLOWER WAX MELTS,5024418759157,03/02/14,0.48,90,0,0,90,0,1,0,0,1,0.00,NO STOCK
131480,BA0616,12,48,28X17 'ALL I NEED' WASH BAG,5024418696476,03/02/14,1.00,48,0,0,48,0,1,0,0,1,0.00,18/03/2015
131480,BA0617,12,36,17X17 'ALL I NEED' STORAGECASE,5024418696483,03/02/14,1.50,36,0,0,36,0,1,0,0,1,0.00,IN STOCK
131480,BA0618,6,24,'ALL I NEED' COSMETIC CASE,5024418696513,03/02/14,1.95,24,0,0,24,0,1,0,0,1,0.00,IN STOCK
131480,BA0619,6,24,39X22 ALL I NEED FOLDING STORA,5024418696544,03/02/14,2.50,24,0,0,24,0,1,0,0,1,0.00,NO STOCK
131480,BB0001,1,12,TONAL BABY 1ST YEAR P/FRAME,5024418605539,03/02/14,2.40,12,0,0,12,0,1,0,0,1,0.00,NO STOCK
131480,BB0004,4,12,76X22 WHITE MY 1ST YEAR FRAME,5024418682462,03/02/14,5.95,12,0,0,12,0,1,0,0,1,0.00,NO STOCK
131480,BB0100,4,12,76X22 DUSKY P/B 1ST YEAR FRAME,5024418682486,03/02/14,5.95,12,0,0,12,0,1,0,0,1,0.00,NO STOCK
131480,BG0060,1,12,UK 1.5M BOTANICAL BFLY LIGHTS,5024418702177,03/02/14,5.00,12,0,0,12,0,1,0,0,1,0.00,IN STOCK
131480,BG0070,12,36,65X55 BOTANICAL BFLY SHPER+ZIP,5024418720034,03/02/14,1.50,36,0,0,36,0,1,0,0,1,0.00,IN STOCK
131480,BG0072,12,72,6X5 LED BFLY TLITE HDR,5024418723790,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,BK0002,12,72,22X7 DELUXE PASTRY BRUSH,5024418678861,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,BK0003,12,72,25CM WIRE CAKE REST STAND,5024418678878,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,BM0060,0,12,80X50 STONE PATTERN MAT,5024418735755,03/02/14,4.50,12,0,0,12,0,1,0,0,1,0.00,IN STOCK
131480,BS0004,1,8,S/6 BOOKSHELF GIFT BOXES,5024418729150,03/02/14,9.50,8,0,0,8,0,1,0,0,1,0.00,IN STOCK
131480,BT0010,12,72,BRIGHT 17X17.5 PLASTIC BASKET,5024418630715,03/02/14,0.50,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,BT0019,12,72,BRIGHT WHEELIE BIN TIDY,5024418640387,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,BT0028,12,60,BRIGHT 400ML ICE BLOCK-4 ASST,5024418648901,03/02/14,0.55,60,0,0,60,0,1,0,0,1,0.00,NO STOCK
131480,BT0034,1,8,S/4 BRIGHT BOOK STYLE BOXES,5024418659051,03/02/14,6.95,8,0,0,8,0,1,0,0,1,0.00,NO STOCK
131480,BT0035,12,72,BRIGHT 10X5X2 PK2 ICE BLOCKS,5024418662846,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,BT0055,12,72,2 DRWR BRIGHT STORAGE UNIT,5024418720386,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,BT0056,12,72,30X19 BRIGHT PLASTIC BASKET,5024418721185,03/02/14,0.50,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,BT0057,12,72,200 BRIGHT DRINKING STRAWS,5024418721826,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,BT0070,8,48,35X16 BRIGHT TAG CHALK BOARD,5024418734949,03/02/14,0.95,48,0,0,48,0,1,0,0,1,0.00,IN STOCK
131480,BW1456,1,4,40X32-SEAGRASS 4PC STRGE BOXES,5024418557883,03/02/14,15.95,4,0,0,4,0,1,0,0,1,0.00,IN STOCK
131480,BW1465,1,8,S/3 WICKER TRAYS,5024418559801,03/02/14,6.95,8,0,0,8,0,1,0,0,1,0.00,NO STOCK
131480,BW1501,1,1,S/9 LRG GREY WILLOW TRUNKS,5024418571773,03/02/14,75.00,1,0,0,1,0,1,0,0,1,0.00,IN STOCK
131480,BW1617,1,4,S/3 RND IRON BASKETS JUTE LINI,5024418646181,03/02/14,18.50,4,0,0,4,0,1,0,0,1,0.00,NO STOCK
131480,BW1626,1,6,S/4 WOVEN BSKTS W/HNDLES 2ASTD,5024418666158,03/02/14,12.95,6,0,0,6,0,1,0,0,1,0.00,NO STOCK
131480,BW1660,1,2,S/7 WIDE WEAVE BASKETS,5024418734338,03/02/14,38.00,2,0,0,2,0,1,0,0,1,0.00,NO STOCK
131480,CD5254,12,48,PK8 HOUSEHOLD WHITE CANDLES,5024418677031,03/02/14,1.00,48,0,0,48,0,1,0,0,1,0.00,IN STOCK
131480,CD5290,24,72,PK6 - 9 HOUR WHT TEA LITES,5024418729433,03/02/14,0.50,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CD5291,12,36,PK12 - 9 HOUR WHT TEA LITES,5024418729440,03/02/14,1.00,36,0,0,36,0,1,0,0,1,0.00,IN STOCK
131480,CD5295,12,72,PK3 LED TEA LITES,5024418732143,03/02/14,0.50,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,CD5296,12,72,PK2 LED VOTIVES,5024418732174,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,CD5297,12,48,9X7 LED DRIPPING CANDLE,5024418738428,03/02/14,1.00,48,0,0,48,0,1,0,0,1,0.00,IN STOCK
131480,CD5301,12,36,7X10 LAYER CANDLE PINKS/LILACS,5024418737742,03/02/14,1.75,36,0,0,36,0,1,0,0,1,0.00,IN STOCK
131480,CD5331,12,36,7X10 LAYER CANDLE NATURALS,5024418738015,03/02/14,1.75,36,0,0,36,0,1,0,0,1,0.00,IN STOCK
131480,CD5341,6,36,PK30 WHITE TEA LITE CANDLES,5024418738831,03/02/14,1.50,36,0,0,36,0,1,0,0,1,0.00,NO STOCK
131480,CD5396,12,96,15X5 RED CHURCH PILLAR CANDLE,5024418753339,03/02/14,0.85,96,0,0,96,0,1,0,0,1,0.00,NO STOCK
131480,CD5399,12,48,16X7 RED CHURCH PILLAR CANDLE,5024418753360,03/02/14,1.35,48,0,0,48,0,1,0,0,1,0.00,NO STOCK
131480,CD5400,12,36,24X7 RED CHURCH PILLAR CANDLE,5024418753377,03/02/14,2.00,36,0,0,36,0,1,0,0,1,0.00,NO STOCK
131480,CH3383,12,36,15X15 HANGING HEART TLITE HDR,5024418546832,03/02/14,1.95,36,0,0,36,0,1,0,0,1,0.00,NO STOCK
131480,CH4346,0,36,20X11.5 WDN CANDLESTICK,5024418729938,03/02/14,1.50,36,0,0,36,0,1,0,0,1,0.00,15/03/2015
131480,CH4482,2,6,38X13 STANDING HEART T.LITE HL,5024418750819,03/02/14,7.50,6,0,0,6,0,1,0,0,1,0.00,NO STOCK
131480,CL0941,12,72,6CM CLEAR ALARM CLOCK,5024418476344,03/02/14,0.50,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0012,12,72,PK50 CRAFT LEAVES,5024418630357,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,12/03/2015
131480,CR0032,12,72,PK8 CRAFT PLAIN CARD MATCHBOX,5024418646273,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0055,24,72,CRAFT PK12 PAPER ROSES 6ASTD,5024418649656,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0096,12,72,METALLIC PUFFY STICKERS 4ASTD,5024418652151,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,CR0118,48,144,2.5M VINTAGE FLORAL RIBBON 4AS,5024418653585,03/02/14,0.48,144,0,0,144,0,1,0,0,1,0.00,IN STOCK
131480,CR0162,24,72,PK5 WHT A3 CRAFT CARD 300GSM,5024418677444,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,CR0178,12,72,24X14 METALLIC SCHOOL STICKERS,5024418677970,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0181,12,72,22X19 HANGING CORK SHAPES,5024418678939,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0204,12,72,PK6 LARGE CRAFTING FEATHERS,5024418679745,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0205,12,72,PK5 ASTD CROCHET HOOKS,5024418679752,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0207,12,72,CRAFT FUNKY FEATHER PK 4G,5024418679790,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,13/06/2015
131480,CR0242,12,72,22X13 PK72 RAINBOW CRAFT STICK,5024418678281,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0370,12,72,PK3 2.5M COLOURED CRAFT CORD,5024418720515,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0390,12,72,CRAFT HANDMADE PRINTED STICKER,5024418720737,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0478,12,72,PK150 5X4CM CLR CRAFT BAGS,5024418733362,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0495,12,72,1.2M FLOCK B/FLY ORGANZA,5024418735205,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,CR0500,12,72,1.1M FOAM LINE ORGANZA,5024418735335,03/02/14,0.48,72,0,0,72,0,1,0,0,1,0.00,IN STOCK
131480,DM0015,12,48,40X30 PAW PRINT MAT,5024418719892,03/02/14,0.95,48,0,0,48,0,1,0,0,1,0.00,IN STOCK
131480,FG0120,12,72,METAL BUTTERFLY CURTAIN CLIP,5024418421832,03/02/14,0.60,72,0,0,72,0,1,0,0,1,0.00,NO STOCK
131480,FG0419B,12,72,PK2 NAIL CLIPPER SET 5CM/8CM,5024418601753,03/02/14,0.40,72,0,0,72,0,1,0,0,1,0.00,04/06/2015
131480,FG1731,12,24,SET/6  DUCKS - 6CM 3 ASSTD,5024418462446,03/02/14,1.95,24,0,0,24,0,1,0,0,1,0.00,IN STOCK
131480,FG1732,12,24,SET/4 DUCKS - 4 ASSORTED,5024418462453,03/02/14,1.95,24,0,0,24,0,1,0,0,1,0.00,IN STOCK
131480,FG1877,6,24,NAT WILLOW BSKT WITH 3 VASES,5024418556466,03/02/14,1.95,24,0,0,24,0,1,0,0,1,0.00,04/06/2015
131480,FG1903,12,36,15CM CHROME & WOOD HEART,5024418592860,03/02/14,1.50,36,0,0,36,0,1,0,0,1,0.00,NO STOCK
131480,FG2185,6,48,9CM WHITE PAPER HEART DECOR,5024418602033,03/02/14,0.85,48,0,0,48,0,1,0,0,1,0.00,NO STOCK
131480,FR0050,12,72,9X6X5 MANGO WOOD INCENSE BOX,5024418725602,03/02/14,0.50,72,0,0,72,0,1,0,0,1,0.00,28/04/2015
131480,FR0051,6,48,31X5 MANGO WOOD INCENSE BOX,5024418725640,03/02/14,1.00,48,0,0,48,0,1,0,0,1,0.00,28/04/2015
