Brochure Page,Product Group,ProductCode,Description ,Colour,PackQty,Pallet Qty,Barcode,Price,FullName
11 to 14,Crystal,10835,3.5Lt Crystal Box & Lid,Clear,24,648,5038135108358,1.00,3.5Lt Crystal Box & Lid - Clear
11 to 14,Crystal,10880,6.5Lt Crystal Box & Lid,Clear,12,648,5038135108808,1.10,6.5Lt Crystal Box & Lid - Clear
11 to 14,Crystal,14000,10Lt Crystal Box & Lid,Clear,10,360,5038135140006,1.50,10Lt Crystal Box & Lid - Clear
11 to 14,Crystal,10850,16Lt Crystal Box & Lid,Clear,10,320,5038135108501,1.80,16Lt Crystal Box & Lid - Clear
11 to 14,Crystal,10840,24Lt Crystal Box & Lid,Clear,10,240,5038135108402,2.10,24Lt Crystal Box & Lid - Clear
11 to 14,Crystal,10235,30Lt Crystal Box & Lid,Clear,10,240,5038135102356,2.45,30Lt Crystal Box & Lid - Clear
11 to 14,Crystal,10860,32Lt Crystal Box & Lid,Clear,10,150,5038135108600,2.75,32Lt Crystal Box & Lid - Clear
11 to 14,Crystal,10890,35Lt Crystal Box & Lid,Clear,10,180,5038135108907,2.65,35Lt Crystal Box & Lid - Clear
11 to 14,Crystal,11310,42Lt Crystal Box & Lid,Clear,10,110,5038135113109,4.25,42Lt Crystal Box & Lid - Clear
11 to 14,Crystal,10870,45Lt Crystal Box & Lid,Clear,10,150,5038135108709,3.45,45Lt Crystal Box & Lid - Clear
11 to 14,Crystal,14050,55Lt Crystal Box & Lid,Clear,6,72,5038135140501,5.95,55Lt Crystal Box & Lid - Clear
11 to 14,Crystal,14025,60Lt Crystal Box & Lid,Clear,12,120,5038135140259,4.15,60Lt Crystal Box & Lid - Clear
11 to 14,Crystal,11495,62Lt Crystal Box & Lid,Clear,10,90,5038135114953,4.95,62Lt Crystal Box & Lid - Clear
11 to 14,Crystal,11315,80Lt Crystal Box & Lid,Clear,10,100,5038135113154,4.35,80Lt Crystal Box & Lid - Clear
11 to 14,Crystal,11500,110Lt Crystal Box & Lid,Clear,10,90,5038135115004,6.50,110Lt Crystal Box & Lid - Clear
11 to 14,Crystal,14100,133Lt Crystal Box & Lid,Clear,4,36,5038135141003,8.50,133Lt Crystal Box & Lid - Clear
11 to 14,Crystal,12070,160Lt Crystal Box & Lid,Clear,6,36,5038135120701,8.50,160Lt Crystal Box & Lid - Clear
11 to 14,Crystal,11320,Shallow Shelf Box and Lid,Clear,10,300,5038135113208,1.95,Shallow Shelf Box and Lid - Clear
11 to 14,Crystal,11325,Deep Shelf Box & Lid,Clear,10,300,5038135113253,2.25,Deep Shelf Box & Lid - Clear
33 to 38,Food Locker,18000,300ml Rectangular Food Locker 1.01,Clear/Ice White,24,2688,5038135180002,0.48,300ml Rectangular Food Locker 1.01 - Clear/Ice White
33 to 38,Food Locker,18025,500ml Rectangular Food Locker 1.02,Clear/Ice White,16,1792,5038135180255,0.55,500ml Rectangular Food Locker 1.02 - Clear/Ice White
33 to 38,Food Locker,18075,400ml Square Food Locker 2.01,Clear/Ice White,24,2688,5038135180750,0.52,400ml Square Food Locker 2.01 - Clear/Ice White
33 to 38,Food Locker,18100,600ml Square Food Locker 2.02,Clear/Ice White,16,1792,5038135181009,0.60,600ml Square Food Locker 2.02 - Clear/Ice White
33 to 38,Food Locker,18125,1.2Lt Square Food Locker 2.03,Clear/Ice White,8,896,5038135181252,0.75,1.2Lt Square Food Locker 2.03 - Clear/Ice White
33 to 38,Food Locker,18150,1.5Lt Square Food Locker 2.04,Clear/Ice White,8,768,5038135181504,0.90,1.5Lt Square Food Locker 2.04 - Clear/Ice White
33 to 38,Food Locker,18175,750ml Square Food Locker 3.01,Clear/Ice White,12,1764,5038135181757,0.70,750ml Square Food Locker 3.01 - Clear/Ice White
33 to 38,Food Locker,18200,1.2Lt Square Food Locker 3.02,Clear/Ice White,8,1176,5038135182006,0.75,1.2Lt Square Food Locker 3.02 - Clear/Ice White
33 to 38,Food Locker,18275,880ml Rectangular Food Locker 4.01,Clear/Ice White,24,1512,5038135182754,0.90,880ml Rectangular Food Locker 4.01 - Clear/Ice White
33 to 38,Food Locker,18300,1.33Lt Rectangular Food Locker  4.02,Clear/Ice White,16,1008,5038135183003,0.98,1.33Lt Rectangular Food Locker  4.02 - Clear/Ice White
33 to 38,Food Locker,18375,1.5Lt Rectangular Food Locker 5.01,Clear/Ice White,12,960,5038135183751,0.90,1.5Lt Rectangular Food Locker 5.01 - Clear/Ice White
33 to 38,Food Locker,18400,2.2Lt Rectangular Food Locker 5.02,Clear/Ice White,8,640,5038135184000,0.98,2.2Lt Rectangular Food Locker 5.02 - Clear/Ice White
33 to 38,Food Locker,18475,1.2Lt Rectangular Food Locker 6.01,Clear/Ice White,12,1008,5038135184758,0.95,1.2Lt Rectangular Food Locker 6.01 - Clear/Ice White
