DESCRIPTION,CODE,UNIT,PACK,CASE COST £,EANCode,OUTERCODE,PALLET,LAYER,UnitPrice,To Order Case Qty
BRISTOWS H/S DRY/CND                              ,186173,300ML     ,6,4.09,5014697026866,5014697028013,295,59,0.68,6
BRISTOWS H/S EX FIRM                              ,186180,300ML     ,6,4.09,5014697026880,5014697028037,295,59,0.68,4
BRISTOWS H/S NATURL                               ,186167,300ML     ,6,4.09,5014697026842,5014697027993,295,59,0.68,4
BRISTOWS H/S ULTRA                                ,186196,300ML     ,6,4.09,5014697026903,5014697028051,295,59,0.68,4
BRYLCREEM RED STYLING POT                         ,6024,150ML     ,6,6.89,5000231039508,5000231060847,477,53,1.15,2
HAIR ACADEMY HAIRBRUSHES 6ASST                    ,877714,PRE812    ,24,15.12,5050895144094,5050895144100,60,20,0.63,1
COLGATE REG T/P & T/B (EU)                        ,143850,100ML     ,12,7.59,8850006325056,8850006919675,384,48,0.63,2
COLGATE T/P HERBAL+25%EXT FREE                    ,138059,100ML     ,12,5.99,6001067023869,6001067523864,288,48,0.5,2
COLGATE T/P LTP 2IN1 WHITENING                    ,102781,100ML     ,12,7.99,8714789092416,8714789860367,320,40,0.67,2
MENTADENT SR T/P(D)                               ,205402,100ML     ,24,16.99,5000228015027,5000228984934,156,26,0.71,2
SUPERDENT TABLETS                                 ,60150,30S       ,12,6.69,5000146045472,5000146065500,360,72,0.56,6
DOVE SOAP REGULAR 4PK                             ,193714,100GM     ,6,7.19,              ,8717644038147,246,41,1.2,4
NIVEA SOAP  CREMECARE TWPK                        ,217697,100G      ,12,8.39,4005900230614,4005805181011,195,39,0.7,1
PALM SOAP MOISTURE CARE 4PK                       ,170829,100G      ,18,13.49,8693495024792,8693495024587,90,15,0.75,1
CUSSONS PURE H/W ANTI BAC                         ,952061,500ML     ,6,3.99,5000101993497,5000101993473,150,30,0.67,2
CUSSONS PURE H/W FRUIT SALAD                      ,172560,500ML     ,6,3.99,5000101144479,5000101144493,150,30,0.67,2
CUSSONS PURE H/W MOISTURISING                     ,952079,500ML     ,6,3.99,5000101993244,5000101993220,150,30,0.67,2
RADOX H/W A/BAC&NOURISH                           ,202838,250ML     ,6,3.99,8712561736770,8712561736770,376,47,0.67,2
RADOX H/W A/BAC&REPLENISH                         ,202820,250ML     ,6,3.99,8712561736718,8712561736718,376,47,0.67,2
RADOX H/W CLEAN & MOIST                           ,947583,300ML     ,6,3.99,5000231052705,8711700616935,312,52,0.67,2
RADOX H/W HYGENIC MOISTURE                        ,212233,250ML     ,6,3.89,8712561737289,8712561736817,376,47,0.65,2
I L CREME BATH CARING                             ,212639,500ML     ,6,3.99,5000101168581,5000101168543,220,55,0.67,2
I L CREME BATH SOFTENING                          ,706632,500ML     ,6,3.99,5000101835193,5000101835124,220,55,0.67,2
RADOX SALTS MUSCLE SOAK                           ,344895,400GM     ,6,4.19,5000231036781,5000231051043,252,36,0.7,2
RADOX SALTS VAPOUR THERAPY                        ,305124,400GM     ,6,4.19,5000231036767,5000231036989,252,36,0.7,2
RADOX S/GEL  FEEL FABULOUS                        ,220327,250ML     ,6,3.79,8712561370868,8712561370806,300,60,0.63,1
RADOX S/GEL  FEEL SPORTY                          ,203852,250ML     ,6,3.99,5000231082245,5000231082252,300,60,0.67,1
RADOX S/GEL  FEEL WILD(D)                         ,203810,250ML     ,6,3.79,8712561348270,8712561348270,300,60,0.63,1
RADOX S/GEL FEEL CALM                             ,218421,250ML     ,6,3.99,8712561837545,8712561837514,300,60,0.67,1
RADOX S/GEL MEN MINT  TEA(D)                      ,939126,250ML     ,6,3.79,5000231082221,5000231082238,300,60,0.63,1
RADOX S/GEL MEN ORANGE & T/TREE                   ,978869,250ML     ,6,3.79,8711600785854,8711600785861,240,60,0.63,1
RADOX S/GEL PURIFY                                ,221846,250ML     ,6,3.99,              ,8711600076068,300,60,0.67,1
FACE CLOTHS MICRO 3PK ASST(R)                     ,172354,          ,12,7.2,5023674115813,               ,1,42,0.6,2
FACECLOTH ASST COLS(R)                            ,43140,          ,12,3.96,5023674117060,               ,384,96,0.33,2
RIGHT GRD A/P LADY INVIS PWR                      ,820383,150ML     ,6,4.49,5012583201816,5012583502159,396,66,0.75,2
RIGHT GRD A/P LADY U/COOL EXT                     ,942864,150ML     ,6,4.49,5012583202493,5012583503170,480,80,0.75,2
SOFT & GENTLE A/P LAV&PATCHOULI                   ,161125,150ML     ,6,4.69,5012008570602,5012008570619,425,85,0.78,2
SOFT & GENTLE A/P VERBONA&LILLY                   ,158346,150ML     ,6,4.69,5012008570305,5012008570312,425,85,0.78,2
DOVE R/ON PURE (D)                                ,14142,50ML      ,6,3.6,96048054,8711700715027,384,48,0.6,2
I.L. ROLL ON ORIG                                 ,217027,50ML      ,24,10.99,50310159,5000101978333,96,16,0.46,2
MUM ROLL ON DRY EFFECT(D)                         ,180034,50ML      ,6,2.99,7614700018888,7614700808700,580,116,0.5,2
CHERISH FACE WIPES NORM 3IN1                      ,493148,25S       ,12,5.29,5017289001722,50172890001,180,20,0.44,2
ZAZIE NAIL POLISH REMOVER                         ,727323,250ML     ,12,5.69,5037741980013,5037741980013,210,35,0.47,2
RIGHT GRD DEO SPRAY MEN 5 PROTECT                 ,207119,150ML     ,6,3.95,4015000984867,4053158946023,320,64,0.66,2
RIGHT GRD MEN INVISIBLE POWER                     ,215394,150ML     ,6,3.95,4015000951753,4015000592758,320,64,0.66,2
TUSK B/S FIRE FLY                                 ,353406,150ML     ,12,4.49,5028748204301,5028748204318,320,32,0.37,2
TUSK B/S HUNTER                                   ,200894,150ML     ,12,4.49,5028748000040,5028748100047,320,32,0.37,2
TUSK B/S RAVAGE                                   ,694390,150ML     ,12,4.49,5028748008190,5028748008251,320,32,0.37,2
TUSK B/S SAFARI                                   ,201101,150ML     ,12,4.49,5028748000033,5028748100030,320,32,0.37,2
BIC RAZORS CLASSIC                                ,906399,5S        ,20,6.4,3086125705027,3086129124374,96,16,0.32,1
ERASMIC SHAVE FOAM ALOE VERA                      ,193128,300ML     ,6,3.79,5060128981846,15060128981843,290,58,0.63,2
GILL FOAMY REGULAR                                ,22660,200ML     ,6,3.95,3014260000318,7702018980208,432,72,0.66,2
GILL FOAMY SENSITIVE                              ,46800,200ML     ,6,3.95,7702018980932,7702018980222,432,72,0.66,2
GILL SERIES SHAVE GEL SENS                        ,899734,200ML     ,6,5.99,3014260214692,7702018979103,392,49,1,2
CUSSONS BABY POWDER(6PK)                          ,759326,350GM     ,6,4.09,5000101804854,5000101804809,200,40,0.68,4
BABY DREAM WIPES                                  ,485576,72S       ,12,6.39,5017289001807,5017289000046,90,18,0.53,2
PAMPERS FRESH WIPES REFILL                        ,952144,64'S      ,12,7.99,4015400622840,4015400422334,160,20,0.67,2
DR JOHNSON STERILISE FLUID                        ,46743,LTR       ,12,7.35,5025416330034,5025416331031,55,11,0.61,3
BRUSH & COMB SET WHITE                            ,218538,          ,12,6.6,5015302100926,               ,1,1,0.55,1
ASTONISH A/BACT CLEAN TRIGGER                     ,160536,750ML     ,12,7.25,48256291063,48256091069,65,13,0.6,2
ASTONISH B/ROOM CLEAN TRIGGER                     ,236004,750ML     ,12,7.25,48256297164,48256097160,65,13,0.6,2
ASTONISH CITRUS CREAM CLEANER                     ,132879,550ML     ,12,7.29,5060060210127,85060060210123,119,17,0.61,1
ASTONISH D/FECTANT 4IN1 TRIG                      ,854986,750ML     ,12,7.39,48256214161,48256014167,65,13,0.62,2
ASTONISH GREASE OFF CLN TRIG                      ,898009,750ML     ,12,7.55,48256238211,48256038217,65,13,0.63,2
ASTONISH GROUT & TILE TRIGGER                     ,214924,750ML     ,12,7.25,5060060210714,55060060210719,65,13,0.6,1
ASTONISH LIMESCALE TRIG                           ,12922,750ML     ,12,7.55,5060060210233,55060060210238,65,13,0.63,2
