PRODUCT,INNER,OUTER,DESCRIPTION,CARTONS ORDERED,PCS ORDERED,BARCODE,PIECEPRICE,TOTAL PRICE,STOCK STATUS
ST1794B,12,72,3PC STICKY LACE - 2 ASST,1,72,5024418533306,0.48,34.56,09/09/2015
CR0388,12,72,12MM CRAFTING BELLS 6 ASTD,1,72,5024418720713,0.50,36.00,Picked
CR0299,12,96,PK2 GEM BFLY/HRT STICKERS 6AST,1,96,5024418693680,0.50,48.00,26/08/2015
CR0061,12,72,7X16 PK8 GEM BUTRFY STKRS 3AS,1,72,5024418651352,0.50,36.00,05/09/2015
CR0062,12,72,10X19 GEM STICKERS 12ASTD,1,72,5024418651369,0.48,34.56,05/09/2015
ST5025,12,72,200 ADHESIVE RHINESTONES,1,72,5024418398561,0.55,39.60,Picked
CR0060,18,72,16MM CRFT GEM STICKERS,1,72,5024418651345,0.50,36.00,Picked
CR0518,12,72,25X9 GEM CRAFT STICKERS,1,72,5024418777120,0.50,36.00,19/09/2015
CR0521,12,72,20X11 SHAPED GEM STICKERS,1,72,5024418777526,0.50,36.00,15/10/2015
CR0736,12,72,20.5X10CM CRADFT GEM STICKERS,1,72,5024418869665,0.55,39.60,Picked
ST5027,12,72,ASSORTED ADHESIVE COLOUR GEMS,1,72,5024418398585,0.55,39.60,11/08/2015
CR0785,12,72,14X10 40G PACK OF SEQUINS,1,72,5024418934141,0.50,36.00,20/09/2015
ST5026,12,72,200 ADHESIVE PEARLISED GEMS,1,72,5024418398578,0.48,34.56,09/09/2015
ST6048,12,72,PK4 3D SELF ADH INSECT STICKER,1,72,5024418519928,0.48,34.56,Picked
CR0808,12,72,4 STRIPS HEART EMBELISHMENTS,1,72,5024418944997,0.50,36.00,19/09/2015
CR0662,12,72,10X15 CRAFTING PETALS,1,72,5024418807629,0.50,36.00,27/09/2015
ST4082,48,96,"20M SATIN RIBBON - 1"" WIDE",1,96,5024418431824,0.75,72.00,TBC
ST4083,48,96,30M SOFT CORD-7MM WIDE,1,96,5024418431862,0.50,48.00,Picked
ST4883,48,144,25MMX5M BUTTERFLY RIBBON-6AST,1,144,5024418514336,0.50,72.00,24/11/2015
CR0893,12,72,PK 4 FLORAL CRAFT EMBELISHMNTS,1,72,5024418985976,0.50,36.00,27/09/2015
ST5887,12,72,PK5 CRAFTING GLITTER TUBES,1,72,5024418475446,0.50,36.00,15/10/2015
CR0347,12,72,PK50 ALPHABET BEADS + CORD,1,72,5024418721161,0.50,36.00,11/08/2015
CR0855,48,192,2M AS PINK & BLUE RIBBONS,1,192,5024418984962,0.50,96.00,09/09/2015
