StockCode,Description,Barcode,Cases,Inner Qty,CaseQty,TotalQty,Required Date,Expected Month,Price,Line Total,InnerBarcode,OuterBarcode
9813,Halloween Fabric Buckets,5013922098135,1,12,48,48,01/09/2014,01/09/2014,0.45,21.6,5013922198132,5013922898131
9800,Halloween Glitter Window Stickers,5013922098005,2,12,48,96,01/09/2014,01/09/2014,0.48,46.08,5013922198002,5013922898001
8652,Super Jumbo Gift Bag Cute Snowman,5013922086521,1,12,60,60,01/09/2014,01/09/2014,0.55,33,5013922186528,5013922886527
8653,Super Jumbo Gift Bag Cute Group,5013922086538,1,12,60,60,01/09/2014,01/09/2014,0.55,33,5013922186535,5013922886534
8806,Jumbo Gift Bag Traditional Santa,5013922088068,1,12,72,72,01/09/2014,01/09/2014,0.46,33.12,5013922188065,5013922888064
8921,Jumbo Midi Bag Cute,5013922089218,1,12,72,72,01/09/2014,01/09/2014,0.46,33.12,5013922189215,5013922889214
8685,Extra Large Christmas Bag Cute Santa,5013922086859,1,12,48,48,01/09/2014,01/09/2014,0.42,20.16,5013922186856,5013922886855
8682,Extra Large Gift Bag Cute Snow,5013922086828,1,12,48,48,01/09/2014,01/09/2014,0.42,20.16,5013922186825,5013922886824
1564,Self Seal Money Wallets,5013922015644,1,72,288,288,01/09/2014,01/09/2014,0.05,14.4,5013922115641,5013922815640
3224,PK 2 Cute Christmas Card Holders,5013922032245,1,12,72,72,01/09/2014,01/09/2014,0.26,18.72,5013922132242,5013922832241
3223,Pk 2 Christmas Traditional Card Holders,5013922032238,1,12,72,72,01/09/2014,01/09/2014,0.26,18.72,5013922132235,5013922832234
9552,Baby Mini Stocking,5013922095523,1,12,96,96,01/09/2014,01/09/2014,0.25,24,5013922195520,5013922895529
9710,Musical Christmas Tie,5013922097107,1,12,48,48,01/09/2014,01/09/2014,0.48,23.04,5013922197104,5013922897103
9920,Foil Table Runner 2m,5013922099200,1,12,48,48,01/09/2014,01/09/2014,0.69,33.12,5013922199207,5013922899206
9699,Luxury Reindeer Antlers,5013922096995,1,6,36,36,01/09/2014,01/09/2014,0.65,23.4,5013922196992,5013922896991
9698,Reindeer Antlers With Bells,5013922096988,1,6,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922196985,5013922896984
9935,Giant Bike Sack  Ideal for all Junior Bike S,5013922099354,1,6,24,24,01/09/2014,01/09/2014,0.95,22.8,5013922199351,5013922899350
8706,Holographic Tinsel Wreath  14 Diameter,5013922087061,1,1,12,12,01/09/2014,01/09/2014,1.5,18,5013922187068,5013922887067
9730,Small Glitter Christmas Decoration,5013922097305,1,12,48,48,01/09/2014,01/09/2014,0.28,13.44,5013922197302,5013922897301
9731,Medium Glitter Christmas Decoration,5013922097312,1,12,48,48,01/09/2014,01/09/2014,0.38,18.24,5013922197319,5013922897318
9732,Large Glitter Christmas Decoration,5013922097329,1,12,48,48,01/09/2014,01/09/2014,0.48,23.04,5013922197326,5013922897325
9015,Tinsel Wall Plaque Snow Flake,5013922090153,1,12,72,72,01/09/2014,01/09/2014,0.48,34.56,5013922190150,5013922890159
8712,3D Standing Tinsel Decoration,5013922087122,1,12,72,72,01/09/2014,01/09/2014,0.48,34.56,5013922187129,5013922887128
9012,3D Tinsel Decorations Set 3,5013922090122,1,12,72,72,01/09/2014,01/09/2014,0.48,34.56,5013922190129,5013922890128
8332,4 Meter Decroative Mini Tinsel Red,5013922083322,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183329,5013922883328
8333,4 Meter Decorative Mini Tinsel Green,5013922083339,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183336,5013922883335
8330,4 Meter Decorative Mini Tinsel Gold,5013922083308,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183305,5013922883304
8331,4 Meter Decorative Mini Tinsel Silver,5013922083315,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183312,5013922883311
8334,4 Meter Decorative Mini Tinsel Black,5013922083346,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183343,5013922883342
8336,4 Meter Decorative Mini Tinsel Purple,5013922083360,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183367,5013922883366
8335,4 Meter Decorative Mini Tinsel White,5013922083353,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183350,5013922883359
8337,4 Meter Decorative Mini Tinsel Hot Pink,5013922083377,1,12,36,36,01/09/2014,01/09/2014,0.45,16.2,5013922183374,5013922883373
