StockCode,Description,Barcode,Cases,InnerQty,CaseQty,TotalQty,Required Date,Expected Month,Price,Line Total,InnerBarcode,OuterBarcode
560,Square Calendar: Cute Animals,5013922005607,1,12,96,96,02/06/2014,02/06/2014,0.5,48,5013922105604,5013922805603
562,Square Calendar: UK Nature,5013922005621,1,12,96,96,02/06/2014,02/06/2014,0.5,48,5013922105628,5013922805627
567,Square Calendar: Recipe & Cooking,5013922005676,1,12,96,96,02/06/2014,02/06/2014,0.5,48,5013922105673,5013922805672
574,Square Calendar: Scenes,5013922005744,1,12,96,96,02/06/2014,02/06/2014,0.5,48,5013922105741,5013922805740
530,Slim Calendar: Illustrated,5013922005300,1,24,96,96,02/06/2014,02/06/2014,0.28,26.88,5013922105307,5013922805306
529,Slim Calendar: Photographic,5013922005294,1,32,128,128,02/06/2014,02/06/2014,0.28,35.84,5013922105291,5013922805290
3055,Photo Memo Calendar,5013922030555,2,12,96,192,02/06/2014,02/06/2014,0.5,96,5013922130552,5013922830551
3050,Illustrated Memo Calendar,5013922030500,1,12,96,96,02/06/2014,02/06/2014,0.5,48,5013922130507,5013922830506
3591,Family Organiser Calendar,5013922035918,1,6,48,48,02/06/2014,02/06/2014,1.05,50.4,5013922135915,5013922835914
2013/3931,,,0,0,0,72,02/06/2014,02/06/2014,0.53,38.16,,
511,Super-slim Calendar: Bygone Vintage,5013922005119,1,24,96,96,02/06/2014,02/06/2014,0.3,28.8,5013922105116,5013922805115
504,Super-slim Calendar: Horses,5013922005041,1,24,96,96,02/06/2014,02/06/2014,0.3,28.8,5013922105048,5013922805047
507,Super-slim Calendar: Funny Animals,5013922005072,1,24,96,96,02/06/2014,02/06/2014,0.3,28.8,5013922105079,5013922805078
3805,Yearly Wall Planner,5013922038056,1,24,48,48,02/06/2014,02/06/2014,0.5,24,5013922138053,5013922838052
3049,Desk-Top Flip Calendar  WTV,5013922030494,1,6,72,72,02/06/2014,02/06/2014,1,72,5013922130491,5013922830490
3801,Slim MTV Planner,5013922038018,1,12,144,144,02/06/2014,02/06/2014,0.23,33.12,5013922138015,5013922838014
3803,2 Column MTV Planner,5013922038032,2,12,144,288,02/06/2014,02/06/2014,0.33,95.04,5013922138039,5013922838038
3806,A3 Two Column  Easy-View Planner,5013922038063,1,12,72,72,02/06/2014,02/06/2014,0.5,36,5013922138060,5013922838069
3810,5 Pack Mini Calendar Tabs,5013922038100,1,24,96,96,02/06/2014,02/06/2014,0.39,37.44,5013922138107,5013922838106
3802,Easy View MTV Planner,5013922038025,1,12,144,144,02/06/2014,02/06/2014,0.33,47.52,5013922138022,5013922838021
3923,Large Academic Year Planner in Free Standing ,5013922039237,1,24,48,48,02/06/2014,02/06/2014,0.52,24.96,5013922139234,5013922839233
3095,A5 Wiro Academic Diary  Week to View,5013922030951,1,12,72,72,02/06/2014,02/06/2014,0.52,37.44,5013922130958,5013922830957
3887,A4 Casebound Academic Diary  Week to View,5013922038872,1,12,48,48,02/06/2014,02/06/2014,1,48,5013922138879,5013922838878
3195,A5 Casebound Academic Diary  Week to View,5013922031958,1,12,72,72,02/06/2014,02/06/2014,0.52,37.44,5013922131955,5013922831954
320,Slim Diaries in Counter Display Unit. 8 Assor,5013922003207,1,48,96,96,02/06/2014,02/06/2014,0.5,48,5013922103204,5013922803203
176,Slim diary  one week to view. In CDU.  D-Rang,5013922001760,1,18,72,72,02/06/2014,02/06/2014,0.5,36,5013922101767,5013922801766
2013/3633,,,0,0,0,180,02/06/2014,02/06/2014,0.2,36,,
3091,Luxury Finish Pocket Diary  Week to View in C,5013922030913,1,30,180,180,02/06/2014,02/06/2014,0.36,64.8,5013922130910,5013922830919
3090,Luxury Finish Slim Diary  Week to View in Cou,5013922030906,1,30,120,120,02/06/2014,02/06/2014,0.58,69.6,5013922130903,5013922830902
3634,Slim Dairy  Week to View in Counter Display U,5013922036342,1,30,120,120,02/06/2014,02/06/2014,0.3,36,5013922136349,5013922836348
3722,A7  Day a Page Premium Pocket Diary,5013922037226,1,12,144,144,02/06/2014,02/06/2014,0.5,72,5013922137223,5013922837222
3574,A6  Week to View Diary Padded  Gilt-edge,5013922035741,1,10,120,120,02/06/2014,02/06/2014,0.41,49.2,5013922135748,5013922834747
3573,A6  Day a Page Diary Padded Gilt-edged,5013922035734,1,10,80,80,02/06/2014,02/06/2014,0.64,51.2,5013922135731,5013922835730
3582,A5  Day a Page Diary Padded Gilt-edged,5013922035826,3,5,40,120,02/06/2014,02/06/2014,1,120,5013922135823,5013922835822
3583,A5  Week to View Premium Pad Corner&Gilt,5013922035833,2,5,80,160,02/06/2014,02/06/2014,0.64,102.4,5013922135830,5013922835839
3588,A4  Day a Page Diary Padded Gilt-edged,5013922035888,4,5,20,80,02/06/2014,02/06/2014,1.68,134.4,5013922135885,5013922835884
3585,A4  Week to View Diary Padded Gilt-edged,5013922035857,2,5,40,80,02/06/2014,02/06/2014,1.04,83.2,5013922135854,5013922835853
2075,Pocket Diary  Address Book & Pen,5013922020754,1,12,96,96,02/06/2014,02/06/2014,0.7,67.2,5013922120751,5013922820750
2076,Slim  Week to View Diary  Address Book & Pen,5013922020761,1,6,72,72,02/06/2014,02/06/2014,1.1,79.2,5013922120768,5013922820767
2077,A5  Week to View Diary  Address Book & Pen,5013922020778,1,5,40,40,02/06/2014,02/06/2014,1.75,70,5013922120775,5013922820774
