Code,Description,Barcode,Cases,InnerQ,OuterQ,Total Qty,Required Date,Expected Month,Price,Line Total,InnerB,OuterB
1102/72,20 fine tip Fibre colouring Pens,5013922011028,1,12,72,72,02/04/14,02/04/14,0.32,23.04,5013922111025,5013922811024
1116,16 Fibre pens & 16 1/2 Size Pencils,5013922011165,1,12,72,72,02/04/14,02/04/14,0.5,36,5013922111162,5013922811161
5121/48,20 Full Size Colour Pencils,5013922051215,1,12,48,48,02/04/14,02/04/14,0.46,22.08,5013922151212,5013922851211
5073,12 Jumbo Wax Crayons,5013922050737,1,12,72,72,02/04/14,02/04/14,0.45,32.4,5013922150734,5013922850733
1208,12 White Chalks In hanging box,5013922012087,1,12,96,96,02/04/14,02/04/14,0.18,17.28,5013922112084,5013922812083
3103/48,Medium (12 strips) modelling clay,5013922031033,1,12,48,48,02/04/14,02/04/14,0.38,18.24,5013922131030,5013922831039
6088,12 metallic colour Glitter Pots,5013922060880,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922160887,5013922860886
5123,4 Chunky plastic handle Brushes,5013922051239,1,12,72,72,02/04/14,02/04/14,0.45,32.4,5013922151236,5013922851235
5126,12 Pony hair Artist Brushes,5013922051260,1,12,48,48,02/04/14,02/04/14,0.55,26.4,5013922151267,5013922851266
6004,4 Piece Glue Set  153gm,5013922060040,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922160047,5013922860046
6005/72,2 by 40 ml PVA Glue Bottles,5013922060057,1,12,72,72,02/04/14,02/04/14,0.27,19.44,5013922160054,5013922860053
6027,PVA Glue 500ml White,5013922060279,1,6,36,36,02/04/14,02/04/14,0.9,32.4,5013922160276,5013922860275
6018,3 by 8 Gram twist action Glue Sticks,5013922060187,1,24,144,144,02/04/14,02/04/14,0.25,36,5013922160184,5013922860183
5286/48,10 Sheets A3 Pastel Card,5013922052861,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922152868,5013922852867
5287/48,20 Sheets A4 Pastel Card,5013922052878,2,12,48,96,02/04/14,02/04/14,0.48,46.08,5013922152875,5013922852874
5685,A3 30 Sheet Sketch Pad 2 designs,5013922056852,1,6,48,48,02/04/14,02/04/14,0.48,23.04,5013922156859,5013922856858
1037,5 Ball Point Pens,5013922010373,1,12,72,72,02/04/14,02/04/14,0.46,33.12,5013922110370,5013922810379
7660,A4 Soft Touch Notebook Rustic,5013922076607,1,12,24,24,02/04/14,02/04/14,1.9,45.6,5013922176604,5013922876603
5751,10 9 Plates Pirates Design,5013922057514,1,12,48,48,02/04/14,02/04/14,0.45,21.6,5013922157511,5013922857510
1031/8,8 assorted Ballpoint Pens,5013922010311,1,24,144,144,02/04/14,02/04/14,0.27,38.88,5013922110318,5013922810317
1155/72,4 Perm. Markers Chisel Tip B/C,5013922011554,1,12,72,72,02/04/14,02/04/14,0.45,32.4,5013922111551,5013922811550
1000,4 Dry-Wipe Markers,5013922010007,1,12,72,72,02/04/14,02/04/14,0.48,34.56,5013922110004,5013922810003
5633,2 permanent Fabric Marker Pens,5013922056333,1,12,48,48,02/04/14,02/04/14,0.42,20.16,5013922156330,5013922856339
1142/72,5 Bingo Markers,5013922011424,1,12,72,72,02/04/14,02/04/14,0.28,20.16,5013922111421,5013922811420
1224,6 Silver & Gold Gel Ink Pens,5013922012247,1,12,72,72,02/04/14,02/04/14,0.45,32.4,5013922112244,5013922812243
1223,6 Glitter Gel Ink Pens,5013922012230,1,12,72,72,02/04/14,02/04/14,0.45,32.4,5013922112237,5013922812236
5095,A4 White Card 30 Sheets,5013922050959,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922150956,5013922850955
4146/48,A4 White Copy Paper 75 Sheets,5013922041469,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922141466,5013922841465
4056/96,10 Clear plastic Punched pockets,5013922040561,1,12,96,96,02/04/14,02/04/14,0.15,14.4,5013922140568,5013922840567
4055,80 Clear plastic Punched pockets,5013922040554,2,5,30,60,02/04/14,02/04/14,0.95,57,5013922140551,5013922840550
4059/72,20 A-Z A4 Index Divider- Paper,5013922040592,1,12,72,72,02/04/14,02/04/14,0.45,32.4,5013922140599,5013922840598
6502,4 A4 Business/report Files  metal tabs,5013922065021,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922165028,5013922865027
6060,Vinyl Clipboard & Cover 4 Colours,5013922060606,1,12,48,48,02/04/14,02/04/14,0.5,24,5013922160603,5013922860602
5763,10 Invitation Cards Pirates Design,5013922057637,1,12,48,48,02/04/14,02/04/14,0.32,15.36,5013922157634,5013922857633
5785,20 Napkins Princess Design,5013922057859,1,12,48,48,02/04/14,02/04/14,0.45,21.6,5013922157856,5013922857855
5922,20 A4 Laminating Pouches,5013922059228,1,12,48,48,02/04/14,02/04/14,1.2,57.6,5013922159225,5013922859224
3134,200  36 x 89mm Address Labels,5013922031347,1,12,72,72,02/04/14,02/04/14,0.48,34.56,5013922131344,5013922831343
8002,Jumbo Bingo Tickets,5013922080024,1,12,96,96,02/04/14,02/04/14,0.5,48,5013922180021,5013922880020
4026/48,Duplicate Book - Ncr,5013922040264,1,12,48,48,02/04/14,02/04/14,0.5,24,5013922140261,5013922840260
4029/96,Duplicate Book Half Size Ncr,5013922040295,1,12,96,96,02/04/14,02/04/14,0.5,48,5013922140292,5013922840291
8000,Cloakroom Tickets 1-500,5013922080000,1,12,144,144,02/04/14,02/04/14,0.28,40.32,5013922180007,5013922880006
4674,50 DL White peal & seal Envelopes,5013922046747,1,12,72,72,02/04/14,02/04/14,0.46,33.12,5013922146744,5013922846743
4682,40 DL Window peal & seal Envelopes,5013922046822,1,12,72,72,02/04/14,02/04/14,0.46,33.12,5013922146829,5013922846828
4678,50 C6 White peal & seal Envelopes,5013922046785,1,12,72,72,02/04/14,02/04/14,0.46,33.12,5013922146782,5013922846781
4679,50 C6 Manila peal & seal Envelopes,5013922046792,1,12,72,72,02/04/14,02/04/14,0.46,33.12,5013922146799,5013922846798
4248,6 E Mailer Bags Medium 240 x 320,5013922042480,1,12,72,72,02/04/14,02/04/14,0.48,34.56,5013922142487,5013922842486
4219,5 Bubble Env Size C 150 x 215,5013922042190,1,1,24,24,02/04/14,02/04/14,0.45,10.8,5013922142197,5013922842196
4221,4 Bubble Env Size E 220 x 265,5013922042213,1,1,30,30,02/04/14,02/04/14,0.45,13.5,5013922142210,5013922842219
4220,4 Bubble Env Size D 180 x 265,5013922042206,1,1,30,30,02/04/14,02/04/14,0.45,13.5,5013922142203,5013922842202
4222,3 Bubble Env Size F 220 x 335,5013922042220,1,1,40,40,02/04/14,02/04/14,0.45,18,5013922142227,5013922842226
4246/48,8 Board Envelopes 175X250MM,5013922042466,1,12,48,48,02/04/14,02/04/14,0.45,21.6,5013922142463,5013922842462
5790,Tri Cut Bunting Princess Design,5013922057903,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922157900,5013922857903
5793,10 Invitations Cards Princess Design,5013922057934,1,12,48,48,02/04/14,02/04/14,0.48,23.04,5013922157931,5013922857930
6142,Bubble Wrap 4Mtr X 300mm,5013922061429,1,1,40,40,02/04/14,02/04/14,0.48,19.2,5013922161426,5013922861425
1277,4m x 70cm Parcel/Kraft wrap,5013922012773,1,36,72,72,02/04/14,02/04/14,0.36,25.92,5013922112770,5013922812779
4252/72,48 Post Cards 140 x 100,5013922042527,1,12,72,72,02/04/14,02/04/14,0.28,20.16,5013922142524,5013922842523
