Account,Customer Name,Product,Description,EAN,CaseSize,InnerSize,Price,Qty,Value,Prod Weight (kgs),Prod Height (cm),Prod Width (cm),Prod Length (cm),CaseBarcode,InnerBarcode
TO00041,LYNDA MILES T/AS MILES APART,AAIA,STAT- 60 SH COMBINATION PAD,5012128415913,24,12,0.52,72,37.44,0.26,0.5,21,29.5,5024004693667,5024004693674
TO00041,LYNDA MILES T/AS MILES APART,AAJL,STAT- 12 A4 PP DIVIDERS,5012128415951,24,0,0.45,48,21.6,0.08,30,22.5,0.2,5024004693728,5024004693735
TO00041,LYNDA MILES T/AS MILES APART,AAKU,STAT-3 CARRY FOLDERS & PUNCHED HOLES,5012128415944,24,0,0.52,24,12.48,0.06,23.5,1.5,31,5024004693704,5024004693711
TO00041,LYNDA MILES T/AS MILES APART,ABIO/2,JEWELLERY- MYO SETS (3 DESIGNS) CDU,5012128182150,48,24,0.54,48,25.92,0.14,1.9,18.5,18.5,5024004196069,5024004196076
TO00041,LYNDA MILES T/AS MILES APART,ACPC,ACTIVITY XMAS 6 NOVELTY PENCILS/ERAS,5012128383878,48,24,0.52,96,49.92,0.14,26,14.8,1.5,5024004635766,5024004635773
TO00041,LYNDA MILES T/AS MILES APART,ACRR,ACC 4 CURLING RIBBON REELS,5012128412103,36,18,0.45,108,48.6,0.02,5,9,9,5024004688526,5024004688533
TO00041,LYNDA MILES T/AS MILES APART,ACTP/4,CRAFT-ASSORTED CRAFT PACK,5012128225741,48,24,0.5,48,24,0.08,1.5,25,26.5,5024004284193,5024004284209
TO00041,LYNDA MILES T/AS MILES APART,AFIG,ACTIVITY XMAS P.Y.O FESTIVE FIGURINE,5012128379000,24,0,0.53,48,25.44,0.2,25,4,19,5024004625293,
TO00041,LYNDA MILES T/AS MILES APART,AFPR15,DIARIES FASHION A5 X 3 DESIGNS,5012128410338,36,0,0.47,36,16.92,0.2,21,1,15,5024004685488,5024004685495
TO00041,LYNDA MILES T/AS MILES APART,AHA,"ACT-FLUORESCENT CARD, A4, 10 SHEETS",5012128401817,50,0,0.5,50,25,0.18,0.5,36.3,22,5024004401811,N/A
TO00041,LYNDA MILES T/AS MILES APART,AMGR,"ACC DRUM - 10PC GREEN,RD,GLD",5012128411793,36,0,0.49,108,52.92,0.04,12,12,9,5024004688021,
TO00041,LYNDA MILES T/AS MILES APART,AMGS,ACC DRUM 10PC SOLID GLD/SILV,5012128411779,36,0,0.49,36,17.64,0.04,12,12,9,5024004687987,
TO00041,LYNDA MILES T/AS MILES APART,AMRS,ACC DRUM 10PC RED/WHITE,5012128411786,36,0,0.49,36,17.64,0.04,12,12,9,5024004688007,
TO00041,LYNDA MILES T/AS MILES APART,BACY/1,ALB - BABY 4X6 - 200 PHOTOS,5012128412905,12,6,1.98,24,47.52,0.68,5,22.5,23,5024004689486,5024004689493
TO00041,LYNDA MILES T/AS MILES APART,BADU/1,PIRATE - DRESS UP OUTFIT,5012128306945,12,0,2.8,12,33.6,0.2,84,27,4,5024004460054,
TO00041,LYNDA MILES T/AS MILES APART,BAHD/1,"ALB - BABY 4X6"" - 80 PHOTOS",5012128412240,24,6,0.7,24,16.8,0.16,4.5,12.5,17,5024004688762,5024004688779
TO00041,LYNDA MILES T/AS MILES APART,BAJA,"PERPPERPOT, BABYS PRINT KIT, BOY",5012128398490,24,6,3.1,24,74.4,0.2,5.5,16,18,5024004667040,5024004667057
TO00041,LYNDA MILES T/AS MILES APART,BAMQ,"PEPPERPOT, RECORD BOOK, BABY BOY",5012128398926,24,6,4.5,24,108,0.68,2.5,24,30,5024004667903,5024004667910
TO00041,LYNDA MILES T/AS MILES APART,BANT,"PEPPERPOT, BRAG ALBUM, BABY BOY",5012128398537,24,6,2,24,48,0.1,2,18,11,5024004667125,5024004667132
TO00041,LYNDA MILES T/AS MILES APART,BAWK/1,ALB - BABY 10 SHEET SELF ADHESIVE,5012128413094,12,6,1.1,12,13.2,0.58,2.5,24.5,29,5024004689820,5024004689837
TO00041,LYNDA MILES T/AS MILES APART,BBZZ/1,"ALB - SOLID CLRS 4X6"" - 200 PHTS BLK",5012128412523,12,6,1.79,12,21.48,0.74,5,22.5,23,5024004689042,5024004689059
TO00041,LYNDA MILES T/AS MILES APART,BCBH/1,"ALB - SOLID CLRS 5X7"" 104 PHTS BLK",5012128412547,12,6,1.79,12,21.48,0.78,4,25,27.5,5024004689066,5024004689073
TO00041,LYNDA MILES T/AS MILES APART,BCC,STAT-BOOK COVERING FILM CDU,5012128402333,96,48,0.27,96,25.92,0.04,2.5,2.5,30,5024004402337,5012128497339
TO00041,LYNDA MILES T/AS MILES APART,BCCQ/1,"ALB - SOLID CLRS 4X6"" - 80 PHTS SLV",5012128412554,24,12,0.71,24,17.04,0.16,4.5,12.5,17,5024004689080,5024004689097
TO00041,LYNDA MILES T/AS MILES APART,BIND/2,STAT RINGBINDER 4X MIXED COLOURS,5012128320378,40,0,0.52,40,20.8,0.26,4,25,31.5,5024004490273,
TO00041,LYNDA MILES T/AS MILES APART,BIND/3,STAT RINGBINDER 4X MIXED COLOURS,5012128320378,40,0,0.52,80,41.6,0.26,4,25,31.5,5024004490273,N/A
TO00041,LYNDA MILES T/AS MILES APART,BKC/1,COLOURING - 15 JUMBO CHALKS,5012128432132,12,0,0.5,12,6,0.52,12,9.5,13,5024004432136,N/A
TO00041,LYNDA MILES T/AS MILES APART,BKC/2,COLOURING - 15 JUMBO CHALKS,5012128432132,12,0,0.5,24,12,0.5,11.3,7.5,12,5024004432136,
TO00041,LYNDA MILES T/AS MILES APART,BLHT/1,FRM - FLAT BLK 4X6INS (10X15CMS),5012128367885,36,12,0.44,36,15.84,0.16,1.5,18,13,5024004600689,5024004600696
TO00041,LYNDA MILES T/AS MILES APART,BQV/2,STAT- BINGO MARKER 40ML IN CDU,5012128064333,48,24,0.24,96,23.04,0.04,12.5,3.5,2.5,5024004064337,N/A
TO00041,LYNDA MILES T/AS MILES APART,BUXT/1,STAT FOOLSCAP BOX FILE,5012128360442,12,0,1.62,120,194.4,0.52,7,24,36,5024004584040,N/A
TO00041,LYNDA MILES T/AS MILES APART,BYBA,"PEPPERPOT, BABYS PRINT KIT, GIRL",5012128398551,24,6,3.1,24,74.4,0.2,5.5,16,18,5024004667163,5024004667170
TO00041,LYNDA MILES T/AS MILES APART,BYFE,"PEPPERPOT, RECORD BOOK, BABY GIRL",5012128398582,24,6,4.5,24,108,0.68,2.5,24,30,5024004667224,5024004667231
TO00041,LYNDA MILES T/AS MILES APART,BYGF,"PEPPERPOT, BRAG ALBUM, BABY GIRL",5012128398599,24,6,2,24,48,0.1,1.5,11.5,18,5024004667248,5024004667255
TO00041,LYNDA MILES T/AS MILES APART,CAPA,PRINCESS - 6 X ERASER TOPS+PENCILS,5012128392566,48,24,0.52,96,49.92,0.12,1.5,15,30,5024004654392,5024004654408
TO00041,LYNDA MILES T/AS MILES APART,CAPC,PRINCESS - 6 X PLASTIC WANDS,5012128392573,48,24,0.5,48,24,0.08,1,23,31,5024004654415,5024004654422
TO00041,LYNDA MILES T/AS MILES APART,CAPE,PRINCESS - 6 X PLST TIARA HAIR COMB,5012128392597,48,24,0.52,48,24.96,0.06,5,15,25,5024004654453,5024004654460
TO00041,LYNDA MILES T/AS MILES APART,CAPG,PRINCESS - 6 X MINI NOTEPADS 30 SHTS,5012128392627,48,24,0.5,96,48,0.06,1,30,12,5024004654491,5024004654507
TO00041,LYNDA MILES T/AS MILES APART,CAPK,RACECAR - 3D PAPER RACECARS,5012128396007,24,12,1,24,24,0.4,22,3,31,5024004661703,5024004661710
TO00041,LYNDA MILES T/AS MILES APART,CAPT,PRINCESS - 20 X PLASTIC LOOT BAGS,5012128391750,48,24,0.49,96,47.04,0.04,0.02,31,18,5024004652626,5024004652633
TO00041,LYNDA MILES T/AS MILES APART,CARA,PRINCESS - 10 INVITES & 10 THANKYOU,5012128390883,48,24,0.49,48,23.52,0.1,20,14.5,0.8,5024004650875,5024004650882
TO00041,LYNDA MILES T/AS MILES APART,CARG,GAMES - 3 X CARD GAMES IN A PK,5012128388460,36,12,0.53,72,38.16,0.16,2,34.7,10,5024004645611,5024004645628
TO00041,LYNDA MILES T/AS MILES APART,CARH,PRINCESS - 8 X PAPER BOWLS,5012128391194,24,0,0.5,24,12,0.08,4,24,21.5,5024004651490,
TO00041,LYNDA MILES T/AS MILES APART,CASB/1,5 X BLOW BUBBLE POTS PRINCESS,5012128348464,48,12,0.5,48,24,0.24,3.5,13,17,5024004557310,5024004557327
TO00041,LYNDA MILES T/AS MILES APART,CASB/2,PRINCESS - 5 X BLOW BUBBLE POTS,5012128348464,48,12,0.5,48,24,0.4,3.7,16.5,21,5024004557310,5024004557327
TO00041,LYNDA MILES T/AS MILES APART,CASC/1,PRINCESS - 8 X 9OZ CUPS,5012128348433,24,0,0.38,48,18.24,0.04,7,25,16,5024004557259,
TO00041,LYNDA MILES T/AS MILES APART,CASM/1,PRINCESS - BANNER PACK,5012128353468,48,24,0.5,48,24,0.08,1,29,23.5,5024004568446,5024004568453
TO00041,LYNDA MILES T/AS MILES APART,CASN/1,PRINCESS - 20 X 2PLY NAPKINS,5012128348440,24,12,0.5,48,24,0.08,1.5,16.5,23,5024004557273,5024004557242
TO00041,LYNDA MILES T/AS MILES APART,CASS/1,"PRINCESS - 8 X 9"" PAPER PLATES",5012128348426,24,0,0.5,48,24,0.12,1.5,32,24.5,5024004557235,
TO00041,LYNDA MILES T/AS MILES APART,CASU/1,PRINCESS - 1 X PLASTIC TABLE CLOTH,5012128348488,48,24,0.5,48,24,0.1,0.03,40.5,22,5024004557358,5024004557365
TO00041,LYNDA MILES T/AS MILES APART,CASW/1,PRINCESS - 14 X PRINTED BALLOONS,5012128353505,48,24,0.5,144,72,0.04,1,19,21.5,5024004568521,5024004568538
TO00041,LYNDA MILES T/AS MILES APART,CAUV,RACECAR - SKETCHBOOK PORTFOLIO,5012128395963,24,12,0.5,24,12,0.12,27,1.5,15,5024004661628,5024004661635
TO00041,LYNDA MILES T/AS MILES APART,CBR/3,COLOURING- LARGE CHALK BOARD&6 CHALK,5012128413285,12,0,1.1,36,39.6,0.44,1.5,33,43,5024004413289,
TO00041,LYNDA MILES T/AS MILES APART,CBRB,"BOTTLE BAG-CELEBRATE, 2 DESIGNS",5012128410901,48,6,0.3,48,14.4,0.04,0.3,12.5,35.5,5024004686621,5024004686638
TO00041,LYNDA MILES T/AS MILES APART,CDT/3,CLAY & DOUGH - 10 CLRD DOUGH STICK,5012128423406,36,12,0.5,108,54.72,0.22,9,11,11,5024004423400,5024004541319
TO00041,LYNDA MILES T/AS MILES APART,CELL,H/S LARGE BAG - CELEBRATE X2 DESIGNS,5012128376689,48,12,0.45,48,21.6,0.1,0.5,35,26.5,5024004619759,5024004619766
TO00041,LYNDA MILES T/AS MILES APART,CFCF/1,STAT - CORRECTION SET,5012128359965,48,24,0.5,96,48,0.06,2.5,19,8,5024004582541,5024004582558
TO00041,LYNDA MILES T/AS MILES APART,CFCF/2,STAT CORRECTION SET,5012128359965,48,24,0.5,48,24,0.06,3,8,19,5024004582541,5024004582558
TO00041,LYNDA MILES T/AS MILES APART,CFY/2,STAT 2 X A3 CARRY FOLDERS,5012128423659,48,24,0.5,48,24,0.1,0.02,34,46,5024004423653,5024004538241
TO00041,LYNDA MILES T/AS MILES APART,CHDP15,DIARIES CHUNKY A6 DTP PUPPY/KITTEN,5012128410352,36,18,0.47,36,16.92,0.16,2,9.5,14.5,5024004685525,5024004685532
