Pcode,Description,OuterQty,Qty,Cost,TotalCost,Barcode,Inner,Outer,B,I,O
1001,10 x 103x129x41mm 16oz Foil Tray with Lids,45,45 packs,0.53, £23.85 ,5012145 000017,,05012145 004428,5012145000017,,05012145004428
1002,6 x 93x184x49mm 23oz Foil Tray with Lids,40,40 packs,0.53, £21.20 ,5012145 000048,,05012145 007412,5012145000048,,05012145007412
1004,4 x 139x203x45mm 30oz Foil Tray with Lids,30,30 packs,0.53, £15.90 ,5012145 004800,,05012145 009812,5012145004800,,05012145009812
1008,5 x 239x239x35mm 55oz Foil Tray with Lids,16,16 packs,0.99, £15.84 ,5012145 004817,,05012145 009836,5012145004817,,05012145009836
1013,2 x 227x227x38mm 60oz Foil Tray,48,48 packs,0.53, £25.44 ,5012145 001304,,05012145 009843,5012145001304,,05012145009843
1014,2 x 262x322x50mm Large Foil Tray,36,36 packs,0.69, £24.84 ,5012145 000055,,05012145 007702,5012145000055,,05012145007702
1016,2 x 310x370x50mm Oven Roasting Trays ,18,18 packs,0.89, £16.02 ,5012145 001182,,05012145 007719,5012145001182,,05012145007719
1021,"8 x 197dia 16mm deep 8"" Foil Pie Plate",48,48 packs,0.53, £25.44 ,5012145 000147,,05012145 009867,5012145000147,,05012145009867
1023,"6 x 227dia 17mm deep 9"" Foil Pie Plates",40,40 packs,0.53, £21.20 ,5012145 000154,,05012145 007429,5012145000154,,05012145007429
1046,2 x 2lb Pudding Basins with Lids,24,24 packs,0.53, £12.72 ,5012145 000789,,05012145 001212,5012145000789,,05012145001212
1052,"9 x 164dia 27mm deep 6"" Foil Flan Case",36,36 packs,0.53, £19.08 ,5012145 000123,,05012145 009959,5012145000123,,05012145009959
1054,"6 x 215dia 24mm deep 8"" Foil Flan Case",30,30 packs,0.53, £15.90 ,5012145 000192,,05012145 009966,5012145000192,,05012145009966
1071,"4 x 14"" 35cm Silver Foil Platter",12,12 packs,0.89, £10.68 ,5012145 000031,,05012145 008969,5012145000031,,05012145008969
1072,"3 x 17"" 43cm Silver Foil Platter",12,12 packs,1.25, £15.00 ,5012145 001175,,05012145 010108,5012145001175,,05012145010108
1073,"2 x 22"" 55cm Silver Foil Platter",12,12 packs,1.44, £17.28 ,5012145 000079,,05012145 010115,5012145000079,,05012145010115
1141,100 x Cocktail Sticks  80mm x 2mm,192,  8 x 24 packs,0.24, £46.08 ,5012145 000383,5012145 004657,05012145 004664,5012145000383,5012145004657,05012145004664
1321,"2 x 35"" 90cm square Paper Tablecovers Red",40,4 x 10 packs,0.52, £20.80 ,5012145 002875,5012145 005340,05012145 004244,5012145002875,5012145005340,05012145004244
1325,"2 x 35"" 90cm square Paper Tablecovers Dark Blue",40,4 x 10 packs,0.52, £20.80 ,5012145 002912,5012145 005388,05012145 004497,5012145002912,5012145005388,05012145004497
1328,"2 x 35"" 90cm square Paper Tablecovers Lilac",40,4 x 10 packs,0.52, £20.80 ,5012145 002943,5012145 005418,05012145 004275,5012145002943,5012145005418,05012145004275
1329,"2 x 35"" 90cm square Paper Tablecovers Burgundy",40,4 x 10 packs,0.52, £20.80 ,5012145 002950,5012145 005425,05012145 004527,5012145002950,5012145005425,05012145004527
1332,"2 x 35"" 90cm square Paper Tablecovers Ivory",40,4 x 10 packs,0.52, £20.80 ,5012145 002974,5012145 005456,05012145 004534,5012145002974,5012145005456,05012145004534
1334,"2 x 35"" 90cm sq Paper Tablecovers Purple",40,4 x 10 packs,0.52, £20.80 ,5012145 002998,5012145 005478,05012145 004299,5012145002998,5012145005478,05012145004299
1336,"2 x 35"" 90cm square Paper T/covers Black",40,4 x 10 packs,0.52, £20.80 ,5012145 009058,5012145 009065,05012145 009072,5012145009058,5012145009065,05012145009072
1337,"2 x 35"" 90cm square Paper T/covers Gerbera Pink",40,4 x 10 packs,0.52, £20.80 ,5012145 002493,5012145 005449,05012145 007795,5012145002493,5012145005449,05012145007795
1342,"54"" 135cm square Plastic Tablecover Classic Pink",48,4 x 12 packs,0.42, £20.16 ,5012145 003551,5012145 006897,05012145 003919,5012145003551,5012145006897,05012145003919
1343,"54"" 135cm square Plastic Tablecover Ivory",48,4 x 12 packs,0.42, £20.16 ,5012145 003568,5012145 006903,05012145 003926,5012145003568,5012145006903,05012145003926
1420,8 x Trifle/Jelly Cases,80,8 x 10 packs,0.62, £49.60 ,5012145 003827,5012145 006057,05012145 010696,5012145003827,5012145006057,05012145010696
