ProductCode,Description,Barcode
001/101,White Thread,5412463133136
001/102,Cream Thread,5412463133150
001/106,Lemon Thread,5412463133297
001/125,Light Brown Thread,5412463133174
001/137,Pink Thread,5412463133259
001/145,Bright Red Thread,5412463133228
001/154,Orange Thread,5412463133303
001/214,Bright Blue Thread,5412463133204
001/257,Khaki Thread,5412463133198
001/264,Bottle Thread,5412463133273
001/291,Dark Brown Thread,5412463133235
001/310,Black Thread,5412463133143
001/320,Navy Thread,5412463133167
001/402,Jeans Blue Thread,5412463133266
001/755,Lavender Thread,5412463133280
001/768,Light Grey Thread,5412463133211
001/833,Mid Brown Thread,5412463133181
001/875,Mid grey Thread,5412463133242
001/293,BROWN Thread,5412464130882
001/173,WINE Thread,5412464130899
KC 002/005,Metallic Thread Gold 100 mtrs,5412463133310
KC002/009,Metallic Thread Silver 100 mtrs,5412463133327
KC 003,Colour Match Thread 335 mtrs,5412463133334
KC004/101,Extra strong thread 2x20 Mtrs white,5412463133341
KC004/310,Extra strong thread 2x20 Mtrs black,5412463133358
KC 005,10 Asstd Colours 10x50 yds,5412463133365
KC 006,Braid of Thread 25 Colours (2)      ,5412463932258
KC007,Embroidery Thread 16 x 8m (2)       ,5412463932401
KC008,Hooks & Eyes,5412464043229
KC009,Hooks & Bars,5412464043236
KC010/001,Jean Buttons - Nickel,5412464044301
KC010/004,Jean Buttons - Copper,5412464044318
KC011/102,Darning Wool - Ecru (2),5412464044356
KC011/310,Darning Wool - Black,5412464044332
KC011/311,Darning Wool -  Grey ,5412464044349
KC011/318,Darning Wool - Navy (2),5412464044387
KC100,Needle Threaders,5412463133372
KC101,Dress Maker Pins x  Approx 200,5412463133389
KC 102,Glass Headed Pins Approx 65 ,5412463133396
KC 103,Stitch Rippers,5412463133402
KC 104,Thimbles 2 Different Sizes,5412463133419
KC 105,Safety Pins Gilt 36 Pieces,5412463133815
KC 106,Safety Pins Nickel 36 Pieces,5412463133426
KC 107,Baby Safety Pins,5412463133433
KC 108,Tape Measure 150cm / 60 Ins,5412463133440
KC109,Tailors Pencils With Eraser (2)       ,5412463133457
KC 110,Sewing Kit,5412463133464
KC 111,Travel Kit With Mirror,5412463133471
KC 112,Name Label Kit 30 Pieces,5412463133488
KC 113,Scissors 14 cm / 5.5 ins,5412463133495
KC 114,Sewing Scissors 21 cms / 8 ins,5412463133501
KC 115,Embroidery / Crewel Needles,5412463133518
KC 116,Darning Needles,5412463133525
KC 117,Machine Needles,5412463133532
