Line,Code,Description,SKU,Outstanding,OutstandingQ,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
1,GPLT,"PARTY GENERIC - 8 X 9"" PARTY PL",,24,1,0.48,11.52,0.0116,3.16,5012128475542,05024004781883,24,12,0.01,2.3
2,GCAC,PARTY GENERIC- CAKE STAND,,24,1,0.54,12.96,0.0226,3.28,5012128478284,05024004786871,24,12,0.02,2.59
3,GNAP,PARTY GENERIC - 20 X 2PLY NAPKINS,,24,1,0.48,11.52,0.0173,2.70,5012128475535,05024004781869,24,12,0.01,2.3
4,GCCP,PARTY GENERIC - 8 X 9OZ PARTY CUPS,,24,1,0.38,9.12,0.0268,1.70,5012128475566,05024004781920,24,0,0.03,1.82
5,GBAQ,PARTY GENERIC - 12 CONE FAVOUR BAGS,,48,1,0.50,24.00,0.0058,1.70,5012128478314,05024004786918,48,24,0.00,4.8
6,GTBL,PARTY GENERIC - PLASTIC TABLE COVER,,36,1,0.48,17.28,0.0071,3.24,5012128475559,05024004781906,36,12,0.00,3.46
7,GSTR,PARTY GENERIC-20 PAPER STRAWS,,48,1,0.46,22.08,0.0145,2.26,5012128478260,05024004786833,48,12,0.01,4.42
8,GSCA,PARTY GENERIC- SCATTERS 3 ASSORTMENT,,48,1,0.46,22.08,0.0066,1.74,5012128478277,05024004786857,48,12,0.00,4.42
9,GCPR,PARTY GENERIC- 12 CAKE CASES & T,,48,1,0.48,23.04,0.0229,1.12,5012128478291,05024004786895,48,12,0.02,4.61
10,GBBU,PARTY GENERIC - BANNER PACK,,36,1,0.48,17.28,0.0102,3.08,5012128475603,05024004782002,36,12,0.00,3.46
11,ZBBU,PIRATES - BANNER PACK,,36,1,0.48,17.28,0.0102,3.08,5012128475238,05024004781340,36,12,0.00,3.46
13,ZBUB,PIRATES - 5 X BLOW BUBBLE POTS,,24,1,0.52,12.48,0.0269,9.72,5012128477300,05024004785096,24,12,0.02,2.5
14,ZERA,PIRATES- 12 ERASERS,,24,1,0.50,12.00,0.0097,4.24,5012128477317,05024004785119,24,12,0.01,2.4
15,ZCUP,PIRATES - 8 X 9OZ PARTY CUPS,,24,1,0.38,9.12,0.0268,1.70,5012128475191,05024004781265,24,0,0.03,1.82
16,ZPAC,PIRATES - 6 X DISC LAUNCHERS,,24,1,0.52,12.48,0.0143,2.04,5012128477362,05024004785218,24,12,0.01,2.5
17,ZPLT,"PIRATES - 8 X 9"" PAPER PLATES",,24,1,0.48,11.52,0.0116,3.16,5012128475177,05024004781227,24,12,0.01,2.3
18,ZLOT,PIRATES - 12 X LOOT BAGS (LARGE),,48,1,0.44,21.12,0.0043,1.86,5012128475221,05024004781326,48,12,0.00,4.22
19,ZTBL,PIRATES - PLASTIC TABLECOVER,,36,1,0.48,17.28,0.0071,3.24,5012128475184,05024004781241,36,12,0.00,3.46
20,ZNAP,PIRATES - 20 X 2 PLY NAPKINS,,24,1,0.48,11.52,0.0173,2.70,5012128475160,05024004781203,24,12,0.01,2.3
21,ZYOU,PIRATES - 12 THANK YOU CARDS,,24,1,0.46,11.04,0.0074,2.42,5012128477966,05024004786277,24,12,0.00,2.21
22,ZPAT,PIRATES - 6 X PIRATE EYE PATCHES,,24,1,0.52,12.48,0.0261,2.02,5012128477348,05024004785171,24,12,0.01,2.5
23,ZINV,PIRATES - 12 PARTY INVITES,,24,1,0.46,11.04,0.0064,1.94,5012128475214,05024004781302,24,12,0.00,2.21
24,ZPEP,PIRATES- 6 PENCILS WITH ERASER TOPS,,24,1,0.52,12.48,0.0195,3.74,5012128477324,05024004785133,24,12,0.02,2.5
25,ZHAT,PIRATES - 12 PIRATE HATS,,36,1,0.48,17.28,0.0110,3.10,5012128477355,05024004785195,36,12,0.00,3.46
26,QHAT,PRINCESS - 12 PRINCESS TIARAS,,36,1,0.48,17.28,0.0110,3.10,5012128478222,05024004786758,36,12,0.00,3.46
27,QBBU,PRINCESS - PARTY BANNER PACK,,36,1,0.48,17.28,0.0102,3.08,5012128475344,05024004781562,36,12,0.00,3.46
29,QBUB,PRINCESS - 5 BLOW BUBBLE POTS,,24,1,0.52,12.48,0.0269,9.72,5012128477256,05024004784990,24,12,0.02,2.5
30,QPEN,PRINCESS- 6 PENCILS WITH ERASER TOPS,,24,1,0.52,12.48,0.0195,3.38,5012128477270,05024004785034,24,12,0.02,2.5
31,QERA,PRINCESS- 12 ERASERS,,24,1,0.50,12.00,0.0097,4.40,5012128477263,05024004785010,24,12,0.01,2.4
32,QCUP,PRINCESS - 8 X 9OZ PARTY CUPS,,24,1,0.38,9.12,0.0268,1.70,5012128475306,05024004781487,24,0,0.03,1.82
33,QLOT,PRINCESS - 12 LOOT BAGS (LARGE),,48,1,0.44,21.12,0.0043,1.86,5012128475337,05024004781548,48,12,0.00,4.22
34,QPLT,"PRINCESS - 8X9"" PARTY PLATES",,24,1,0.48,11.52,0.0116,3.16,5012128475283,05024004781449,24,12,0.01,2.3
35,QNAP,PRINCESS - 20 X 2PLY NAPKINS,,24,1,0.48,11.52,0.0173,2.70,5012128475276,05024004781425,24,12,0.01,2.3
36,QPAP,PRINCESS - PAPER CHAINS,,24,1,0.44,10.56,0.0031,1.08,5012128477980,05024004786314,24,12,0.00,2.11
37,QINV,PRINCESS - 12 PARTY INVITES,,24,1,0.46,11.04,0.0064,1.94,5012128475320,05024004781524,24,12,0.00,2.21
38,QTBL,PRINCESS - PLASTIC TABLE COVER,,36,1,0.48,17.28,0.0071,3.24,5012128475290,05024004781463,36,12,0.00,3.46
39,QHAD,PRINCESS - 6 X BRACELET AND 6 X RING,,24,1,0.48,11.52,0.0157,1.46,5012128478833,05024004787878,24,12,0.01,2.3
40,QYOU,PRINCESS - 12 THANK YOU CARDS,,24,1,0.46,11.04,0.0074,2.42,5012128477973,05024004786291,24,12,0.00,2.21
41,QTIA,PRINCESS - TIARA,,24,1,0.52,12.48,0.0154,1.08,5012128477287,05024004785058,24,12,0.01,2.5
42,HBBU,WOODLAND - HANGING DECORATION,,36,1,0.48,17.28,0.0064,1.60,5012128477744,05024004785836,36,12,0.00,3.46
44,HBUB,WOODLAND - 5 X BLOW BUBBLE POTS,,24,1,0.52,12.48,0.0269,9.72,5012128477805,05024004785959,24,12,0.02,2.5
45,HPLT,"WOODLAND - 8 X 9"" PAPER PLATES",,24,1,0.48,11.52,0.0116,3.16,5012128477713,05024004785775,24,12,0.01,2.3
46,HPEP,WOODLAND- 6 PENCILS WITH ERASER TOPS,,24,1,0.52,12.48,0.0195,3.98,5012128477829,05024004785997,24,12,0.02,2.5
47,HCUP,WOODLAND - 8 X 9OZ PARTY CUPS,,24,1,0.38,9.12,0.0268,1.70,5012128477706,05024004785751,24,0,0.03,1.82
48,HERA,WOODLAND- 12 ERASERS,,24,1,0.50,12.00,0.0097,4.30,5012128477812,05024004785973,24,12,0.00,2.4
49,HLNO,WOODLAND - 12 LOOT BAGS (LARGE),,48,1,0.44,21.12,0.0043,1.86,5012128477751,05024004785850,48,12,0.00,4.22
50,HHAT,WOODLAND- 12 CARD WOODLAND MASKS,,36,1,0.48,17.28,0.0110,3.10,5012128478215,05024004786734,36,12,0.00,3.46
51,HCNC,WOODLAND - 6 X COMBS,,24,1,0.52,12.48,0.0181,2.34,5012128478642,05024004787496,24,12,0.01,2.5
52,HNAN,WOODLAND - 20 X 2PLY NAPKINS,,24,1,0.48,11.52,0.0173,2.70,5012128477720,05024004785799,24,12,0.01,2.3
53,HYOU,WOODLAND- 12 THANK YOU CARDS,,24,1,0.46,11.04,0.0074,2.42,5012128477782,05024004785911,24,12,0.00,2.21
54,HINV,WOODLAND- 12 PARTY INVITES,,24,1,0.46,11.04,0.0064,1.94,5012128477775,05024004785898,24,12,0.00,2.21
55,HTBL,WOODLAND - PLASTIC TABLE COVER,,36,1,0.48,17.28,0.0071,3.24,5012128477737,05024004785812,36,12,0.00,3.46
56,HRWC,SUPERHERO - 6 X WINDOW WALKERS,,24,1,0.52,12.48,0.0278,1.92,5012128478758,05024004787717,24,12,0.02,2.5
57,BHAT,SUPERHERO- 12 CARD SUPERHERO MASKS,,36,1,0.48,17.28,0.0110,3.10,5012128478208,05024004786710,36,12,0.00,3.46
59,BBUD,SUPERHERO - 5 X BLOW BUBBLE POTS,,24,1,0.52,12.48,0.0269,9.72,5012128477935,05024004786215,24,12,0.02,2.5
60,BPEP,SUPERHERO- 6 PENCILS WITH ERASER TOP,,24,1,0.52,12.48,0.0195,4.56,5012128477959,05024004786253,24,12,0.02,2.5
61,BLNO,SUPERHERO- 12 LOOT BAGS (LARGE),,48,1,0.44,21.12,0.0043,1.86,5012128477881,05024004786116,48,12,0.00,4.22
62,BCUP,SUPERHERO- 8 X 9OZ PARTY CUPS,,24,1,0.38,9.12,0.0268,1.70,5012128477843,05024004786031,24,0,0.03,1.82
63,BPLT,"SUPERHERO- 8X9"" PARTY PLATES",,24,1,0.48,11.52,0.0116,3.16,5012128477836,05024004786017,24,12,0.01,2.3
64,BNAP,SUPERHERO- 20 X 2PLY NAPKINS,,24,1,0.48,11.52,0.0173,2.70,5012128477850,05024004786055,24,12,0.01,2.3
65,BTBL,SUPERHERO- PLASTIC TABLE COVER,,36,1,0.48,17.28,0.0071,3.24,5012128477867,05024004786079,36,12,0.00,3.46
66,BYOU,SUPERHERO- 12 THANK YOU CARDS,,24,1,0.46,11.04,0.0074,2.42,5012128477911,05024004786178,24,12,0.00,2.21
67,BERA,SUPERHERO- 12 ERASERS,,24,1,0.50,12.00,0.0097,4.82,5012128477942,05024004786239,24,12,0.00,2.4
68,BBBU,SUPERHERO- HANGING DECORATION,,36,1,0.48,17.28,0.0064,1.60,5012128477874,05024004786093,36,12,0.00,3.46
69,BINV,SUPERHERO- 12 PARTY INVITES,,24,1,0.46,11.04,0.0064,1.94,5012128477904,05024004786154,24,12,0.00,2.21
70,BFRT,SUPERHERO - 6 X SHIELD / FRISBEE&apo,,24,1,0.52,12.48,0.0347,2.08,5012128478659,05024004787519,24,12,0.03,2.5
71,HSJV,PARTY - 6 X MINI COL PENCIL PACKS,,24,1,0.52,12.48,0.0210,3.72,5012128478765,05024004787731,24,12,0.02,2.5
72,HORN,PARTY - 6 X MINI GELS WITH DANGLERS,,24,1,0.52,12.48,0.0124,1.68,5012128478666,05024004787533,24,12,0.00,2.5
75,BALI/5,PARTY 15 MODEL BALLOONS AND PUMP,,48,1,0.52,24.96,0.0728,5.24,5012128308284,05024004504468,48,24,0.06,4.99
76,HRXB,PARTY - 6 X WATCHES,,24,1,0.48,11.52,0.0171,1.76,5012128478710,05024004787632,24,12,0.01,2.3
77,HRYM,PARTY - 6 X SLINKYS,,24,1,0.48,11.52,0.0141,1.80,5012128478727,05024004787656,24,12,0.01,2.3
78,HRYQ,PARTY - 6 X MEDALS,,24,1,0.52,12.48,0.0143,1.64,5012128478741,05024004787694,24,12,0.00,2.5
79,HSHY,PARTY - 6 X BOUNCY BALLS,,24,1,0.48,11.52,0.0122,2.30,5012128478703,05024004787618,24,12,0.00,2.3
80,HBYT,PARTY - 6 X DINOSAURS,,24,1,0.48,11.52,0.0170,1.56,5012128478673,05024004787557,24,12,0.00,2.3
81,HSLQ,PARTY - 12 X ARMY FIGURES,,24,1,0.48,11.52,0.0198,1.80,5012128478680,05024004787571,24,12,0.00,2.3
82,HSKN,PARTY - 6 X WHISTLES,,24,1,0.48,11.52,0.0104,1.48,5012128478697,05024004787595,24,12,0.00,2.3
83,HRZF,PARTY - 6 YO YO'S,,24,1,0.48,11.52,0.0102,1.50,5012128478734,05024004787670,24,12,0.00,2.3
84,GBAD,PARTY GENERIC - GIANT BADGE,,24,1,0.48,11.52,0.0051,1.90,5012128478253,05024004786819,24,12,0.00,2.3
85,ZPAP,PIRATES - PAPER CHAINS,,24,1,0.44,10.56,0.0031,1.08,5012128477997,05024004786338,24,12,0.00,2.11
