Line,Code,Description,SKU,OrderedUnit,Ordered,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
1,FBNB,"STAT, A5 FABRIC COVER NOTEBOOK",,12,1,1.00,12.00,0.0063,3.62,5012128473135,05024004777800,12,0,0.00,2.4
2,FBNP,"STAT,A5 FABRIC NOTEBOOK - PARROT",,12,1,1.00,12.00,0.0071,3.64,5012128474491,05024004780046,12,0,0.00,2.4
3,Y6GM123A,"ED WRAP, 3M FEMALE TRAD MIX (FSDU)",,36,1,0.48,17.28,0.0473,5.84,5012213229142,05012213299459,36,0,0.05,3.46
4,Y6GM123B,"ED WRAP, 3M FEMALE CONTEMP (FSDU)",,36,1,0.48,17.28,0.0473,5.84,5012213229159,05012213299466,36,0,0.05,3.46
5,Y6GM123C,"ED WRAP, 3M MALE TRAD (FSDU)",,36,1,0.48,17.28,0.0473,5.84,5012213229166,05012213299473,36,0,0.05,3.46
6,Y6GM123D,"ED WRAP, 3M KIDS (FSDU)",,72,2,0.48,34.56,0.0947,11.80,5012213229180,05012213299480,36,0,0.11,6.91
7,Y6GM123E,"ED WRAP, 3M HAPPY BIRTHDAY (FSDU)",,36,1,0.48,17.28,0.0473,5.84,5012213229197,05012213299497,36,0,0.05,3.46
8,Y6GM123F,"ED WRAP, 3M BRIGHTS (FSDU)",,36,1,0.48,17.28,0.0473,5.88,5012213229203,05012213299503,36,0,0.05,3.46
9,PSNP,"STAT, A5 CB N&apos;BOOK,70SH PINSTRI",,24,2,0.52,12.48,0.0184,6.40,5012128462146,05024004759394,12,0,0.01,2.5
10,VIND,"STAT,CB A5 NOTEBOOK, 70SH VINTAGE",,24,2,0.52,12.48,0.0138,6.44,5012128462313,05024004759738,12,0,0.01,2.5
11,KRAP,"STAT,A5 N&apos;BOOK,70SH,KRAFTY SLOG",,24,2,0.52,12.48,0.0113,4.96,5012128462559,05024004759998,12,0,0.01,2.5
12,QRNB,"STAT,QR A5 CB NBOOK (2 DES)(CDU)",,24,2,0.36,8.64,0.0140,6.84,0000000000000,05024004714065,12,0,0.01,1.73
