Description,Barcode,Price,SupplierCode,Desc,PR,P
10880: Crystal 6.5L Box & Lid Clear,5038135108808,£1.10,10880,Crystal 6.5L Box & Lid Clear,1.1,1.10
14000: Crystal 10L Box & Lid Clear,5038135140006,£1.50,14000,Crystal 10L Box & Lid Clear,1.5,1.50
10850: Crystal 16L Box & Lid Clear,5038135108501,£1.80,10850,Crystal 16L Box & Lid Clear,1.8,1.80
10840: Crystal 24L  Box & Lid Clear,5038135108402,£2.10,10840,Crystal 24L  Box & Lid Clear,2.1,2.10
11315: Crystal 80L Box & Lid Clear,5038135113154,£4.00,11315,Crystal 80L Box & Lid Clear,£4.00,4.00
14025: Crystal 60Ltr Box & Lid  Clear,5038135140259,£4.15,14025,Crystal 60Ltr Box & Lid  Clear,4.15,4.15
11500: Crystal 110L Box & Lid Clear,5038135115004,£6.50,11500,Crystal 110L Box & Lid Clear,6.5,6.50
12070: Crystal 160L Box & Lid Clear,5038135120701,£8.50,12070,Crystal 160L Box & Lid Clear,8.5,8.50
11320:  Crystal (CD) Shallow Shelf  Box & Lid Clear,5038135113208,£1.95,11320, Crystal (CD) Shallow Shelf  Box & Lid Clear,1.95,1.95
11325:  Crystal (DVD) Deep Shelf  Box & Lid Clear,5038135113253,£2.25,11325, Crystal (DVD) Deep Shelf  Box & Lid Clear,2.25,2.25
11873:  SS Set  2 Large Handy Baskets Pink/Blue/Lime Mix,5038135118739,£0.95,11873, SS Set  2 Large Handy Baskets Pink/Blue/Lime Mix,0.95,0.95
11874: SS Set3 Med  Handy Baskets Pink/Blue/Lime Mix,5038135118746,£0.85,11874,SS Set3 Med  Handy Baskets Pink/Blue/Lime Mix,0.85,0.85
11875:  SS Set5 Sm Handy Baskets Pink/Blue/Lime Mix,5038135118753,12                           £0.85                  £10.20,11875, SS Set5 Sm Handy Baskets Pink/Blue/Lime Mix,0.85 ,0.85
15900: Uni Set  2 Large Handy Baskets Clear,5038135159008,12                           £0.95                  £11.40,15900,Uni Set  2 Large Handy Baskets Clear,0.95 ,0.95
15925: Uni Set  3 Medium Handy Baskets Clear,5038135159251,20                            £0.85                  £17.00,15925,Uni Set  3 Medium Handy Baskets Clear,0.85 ,0.85
15950: Uni Set  5 Small  Handy Baskets Clear,5038135159503,12                           £0.85                  £10.20,15950,Uni Set  5 Small  Handy Baskets Clear,0.85 ,0.85
18025: 1.02  Food Locker 500ml Rectangular Clear/White,5038135180255,16                           £0.55                   £8.80,18025,1.02  Food Locker 500ml Rectangular Clear/White,0.55 ,0.55
