supplier_id,"supplier_name","supplier_address_1","supplier_address_2","supplier_town","supplier_county","supplier_postcode","supplier_country","supplier_phone","supplier_fax","supplier_ordering_email","supplier_info_email","supplier_website",supplier_type_id,"slug"
2,"What More UK Limited","Pendle Court","Unit 4 Shuttleworth Mead Business Park","Burnley","Lancashire","BB12 7NG","UK","01282 687030","01282 774798","sales@whatmoreuk.com",NULL,"http://www.whatmoreuk.com",2,"what-more-uk-limited"
3,"Fun Stickers","Unit 9","The Maltings","Narborough","Norfolk","PE32 1TE","UK","01760 338888","01760 339880",NULL,NULL,"http://www.fun-stickers.com",2,"fun-stickers"
4,"RSW International","Unit 4 Cowm Top Business Part","Cowm Top Lane","Rochedale","Greater Manchester","OL11 2PU","UK","0845 226 8311","0845 226 8322",NULL,NULL,"http://www.rswinternational.co.uk",2,"rsw-international"
5,"Fast Pak Hardware Limited","Hill Street","Lye","Stourbridge","West Midlands","DY9 8TW","UK","01384 829029","01384 896023","sales@fastpak.co.uk",NULL,"http://www.fastpak.co.uk",2,"fast-pak-hardware-limited"
6,"PMS International Group PLC","International House","Cricketers Way","Basildon","Essex","SS13 1ST","UK","01268 505050","01268 505000","sales@pmsinternational.com",NULL,"http://www.pmsinternational.com",2,"pms-international-group-plc"
7,"The House Of Puzzles Ltd","15 Clayton Court","Castle Avenue Industrial Estate","Invergordon","Ross-shire","IV18 0SB","UK","01349 853886","01349 853964",NULL,"admin@thehouseofpuzzles.com","http://www.thehouseofpuzzles.com",2,"the-house-of-puzzles-ltd"
8,"Streamline Merchant Services","Gateshead Card Centre","Victory House","Gateshead","Tyne and Wear","NE11 0EL","UK","0845 761 6263",NULL,NULL,NULL,NULL,1,"streamline-merchant-services"
9,"Lesser & Pavey Ltd","Leonardo House","Fawkes Avenue","Dartford","Kent","DA1 1JQ","UK","01322 279225","01322 279586","sales@leonardo.co.uk",NULL,"http://www.leonardo.co.uk",2,"lesser-pavey-ltd"
10,"Sifcon International PLC","New Ford Road",NULL,"Waltham Cross","Hertfordshire","EN8 7PG","UK","01992 718033",NULL,"sales@silplc.com",NULL,"http://www.silplc.com",2,"sifcon-international-plc"
11,"Anker International","Howard House","Interchange Park","Newport Pagnell","Buckinghamshire","MK16 9PX","UK","01908 618811","01908 612612",NULL,"WebEnquiries@anker.co.uk","http://www.theankergroup.com",2,"anker-international"
12,"Thomas B. Ramsden & Co. Limited","Netherfield Road",NULL,"Guiseley","West Yorks","LS20 9PD","UK","01943 872264","01943 872000","sales@tbramsden.co.uk",NULL,"http://www.tbramsden.co.uk",2,"thomas-b-ramsden-co-limited"
13,"Davies Products (Liverpool) Limited","Laburnum Place",NULL,"Liverpool","Merseyside","L20 3NE","UK","0151 922 4246","0151 944 1901","sales@daviesproducts.co.uk",NULL,"http://www.daviesproducts.com",2,"davies-products-liverpool-limited"
14,"Kandy Toys Limited","Hill Barton Business Park","Sidmouth Road","Clyst St Mary","Exeter","EX5 1DR","UK","01395 234600","01395 234601",NULL,"enquiries@kandytoys.co.uk","http://www.kandytoys.co.uk",2,"kandy-toys-limited"
15,"Salco Group Ltd","Salco House","5 Central Road","Harlow","Essex","CM20 2ST","UK","01279 439991","01279 426157",NULL,"support@salcogroup.com","http://www.salcogroup.com",2,"salco-group-ltd"
16,"Foel Graphics","Unit 5A","Vale Road Industrial Estate","Spilsby","Lincolnshire","PE23 5HE","UK","01790 753366","01790 753366",NULL,NULL,NULL,2,"foel-graphics"
17,"Tallon International Limited","Unit 4 Cyan Park","Phoenix Way","Coventry","West Midlands","CV2 4QP","UK","024 7643 7000","024 7645 2949",NULL,"enquiries@tallon.co.uk","http://www.tallon.co.uk",2,"tallon-international-limited"
18,"Complete Fire Security","PO Box 4263",NULL,"Westbury","Wiltshire","BA13 3WB","UK","01373 823131",NULL,NULL,"info@completefiresecurity.co.uk","http://www.firealarmsbath.com",5,"complete-fire-security"
19,"Ravensburger Limited","Unit 1","Avonbury Business Park","Bicester","Oxon","OX26 2UB","UK","01869 363800","01869 363815","sales@ravensburger.com","supportUK@ravensburger.com","http://www.ravensburger.com",2,"ravensburger-limited"
20,"Gibsons","Gemini Court","42a Throwley Way","Sutton","Surrey","SM1 4AF","UK","020 8661 8866","020 8661 1700","sales@gibsonsgames.co.uk",NULL,"http://www.gibsonsgames.co.uk",2,"gibsons"
21,"Bonnington Plastics Limited","Kingfisher House","Glaisdale Parkway","Nottingham","Nottinghamshire","NG8 4GP","UK","0115 985 4119","0115 928 4623","sales@bonningtonplastics.com","customerservice@bonningtonplastics.com","http://www.bonningtonplastics.com",2,"bonnington-plastics-limited"
22,"Budget Greeting Cards Ltd","Unit 2","Access 18","Avonmouth","Bristol","BS11 8HT","UK","01179 823433","01179 824855",NULL,NULL,"http://www.budget-greetingcards.com",3,"budget-greeting-cards-ltd"
24,"Milkwood Publishing","Milkwood House","Jon Davey Drive","Redruth","Cornwall","TR16 4AX","UK","01209 202424","01209 202434","orders@milkwoodpublishing.com",NULL,"http://www.milkwoodpublishing.com",2,"milkwood-publishing"
25,"Martello UK","34-36 Carlton Park Industrial Estate","Carlton","Saxmundham","Suffolk","IP17 2NL","UK","01728 605090","01728 605080","sales@martellouk.com",NULL,"http://www.martellouk.com",2,"martello-uk"
26,"Unique Party","Medford House","East Common Lane","Scunthorpe","North Lincolnshire","DN16 1DE","UK","01724 281113","01724 400604","sales@uniqueparty.co.uk",NULL,"http://www.favors.com/uk",2,"unique-party"
27,"Benross Marketing Ltd","Benross House","Bridge Industrial Estate","Speke Hall Road","Liverpool","L24 9WD","UK","0151 448 1200","0151 448 1221",NULL,NULL,"http://www.benross.com",2,"benross-marketing-ltd"
28,"Office Depot International (UK) Ltd","501 Beaumont Ley Lane",NULL,"Leicester","Leicestershire","LE4 2BN","UK","0844 412 0000","0844 412 1000",NULL,NULL,"http://www.viking.com",5,"office-depot-international-uk-ltd"
29,"Hamble Distribution Ltd","Spring Industrial Estate","Lanesfield Drive","Wolverhampton","West Midlands","WV4 6TZ","UK","01902 353636","01902 493715",NULL,NULL,"http://www.blackspur.com",2,"hamble-distribution-ltd"
30,"Maxim Lamps","Unit 23","More House Farm","Wivelsfield","East Sussex","RH17 7RE","UK","01444 471491","01444 471777","sales@maximlamps.co.uk",NULL,NULL,3,"maxim-lamps"
31,"Southern Electric","55 Vastern Road",NULL,"Reading","Berkshire","RG1 8BU","UK","0845 725 2526",NULL,NULL,NULL,"http://www.southern-electric.co.uk",4,"southern-electric"
